replacing_term,replaced_term_localName
http://rs.tdwg.org/chrono/terms/ChronometricAge,ChronometricAge
http://rs.tdwg.org/chrono/terms/chronometricAgeConversionProtocol,verbatimChronometricAgeConversionProtocol
http://rs.tdwg.org/chrono/terms/chronometricAgeID,chronometricAgeID
http://rs.tdwg.org/chrono/terms/chronometricAgeProtocol,chronometricAgeProtocol
http://rs.tdwg.org/chrono/terms/chronometricAgeReferences,chronometricAgeReferences
http://rs.tdwg.org/chrono/terms/chronometricAgeRemarks,chronometricAgeRemarks
http://rs.tdwg.org/chrono/terms/chronometricAgeUncertaintyInYears,chronometricAgeUncertaintyInYears
http://rs.tdwg.org/chrono/terms/chronometricAgeUncertaintyMethod,chronometricAgeUncertaintyMethod
http://rs.tdwg.org/chrono/terms/materialDated,materialDated
http://rs.tdwg.org/chrono/terms/materialDatedID,materialDatedID
http://rs.tdwg.org/chrono/terms/maximumChronometricAge,maximumChronometricAge
http://rs.tdwg.org/chrono/terms/maximumChronometricAgeReferenceSystem,maximumChronometricAgeReferenceSystem
http://rs.tdwg.org/chrono/terms/minimumChronometricAge,minimumChronometricAge
http://rs.tdwg.org/chrono/terms/minimumChronometricAgeReferenceSystem,minimumChronometricAgeReferenceSystem
http://rs.tdwg.org/chrono/terms/verbatimChronometricAge,verbatimChronometricAge
http://zooarchnet.org/dwc/terms/ageUncertaintyInYears,ageUncertainty
http://zooarchnet.org/dwc/terms/ChronometricAge,ChronometricDate
http://zooarchnet.org/dwc/terms/chronometricAgeID,chronometricDateID
http://zooarchnet.org/dwc/terms/chronometricAgeProtocol,chronometricDateProtocol
http://zooarchnet.org/dwc/terms/chronometricAgeReferences,chronometricDateReferences
http://zooarchnet.org/dwc/terms/chronometricAgeRemarks,chronometricDateRemarks
http://zooarchnet.org/dwc/terms/chronometricAgeUncertaintyInYears,ageUncertaintyInYears
http://zooarchnet.org/dwc/terms/chronometricAgeUncertaintyMethod,ageUncertaintyMethod
http://zooarchnet.org/dwc/terms/maximumAgeReferenceSystem,maximumAgeUnits
http://zooarchnet.org/dwc/terms/maximumChronometricAge,maximumAge
http://zooarchnet.org/dwc/terms/maximumChronometricAgeReferenceSystem,maximumAgeReferenceSystem
http://zooarchnet.org/dwc/terms/minimumAgeReferenceSystem,minimumAgeUnits
http://zooarchnet.org/dwc/terms/minimumChronometricAge,minimumAge
http://zooarchnet.org/dwc/terms/minimumChronometricAgeReferenceSystem,minimumAgeReferenceSystem
http://zooarchnet.org/dwc/terms/verbatimChronometricAge,reportedAge
http://zooarchnet.org/dwc/terms/verbatimChronometricAgeConversionProtocol,reportedAgeConversionProtocol
