document_modified,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,rdfs_comment,dcterms_description,examples,rdf_type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_usageScope
2020-08-14T23:10:45-05:00,ageUncertainty,http://zooarchnet.org/dwc/terms/,2017-11-30,2017-11-30,true,,,,Age Uncertainty,"The assessed temporal uncertainty in the maximum or minimum age estimates, or overall uncertainty for both.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://zooarchnet.org/dwc/terms/ChronometricDate,,
2020-08-14T23:10:45-05:00,ageUncertaintyInYears,http://zooarchnet.org/dwc/terms/,2018-03-15,2018-03-15,true,http://zooarchnet.org/dwc/terms/ageUncertainty,,,Age Uncertainty In Years,"The temporal uncertainty of the maximumAge and minimumAge, in years.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://zooarchnet.org/dwc/terms/ChronometricDate,,
2020-08-14T23:10:45-05:00,ageUncertaintyMethod,http://zooarchnet.org/dwc/terms/,2017-11-30,2017-11-30,true,,,,Age Uncertainty Method,The method used to generate reported uncertainty calculations.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://zooarchnet.org/dwc/terms/ChronometricDate,,
2020-08-14T23:10:45-05:00,ChronometricAge,http://zooarchnet.org/dwc/terms/,2018-11-08,2018-11-08,true,http://zooarchnet.org/dwc/terms/ChronometricDate,,,Chronomatric Age,The age of a specimen or related materials that is generated from a dating assay.,,,http://www.w3.org/2000/01/rdf-schema#Class,not in ABCD,,,
2020-08-14T23:10:45-05:00,chronometricAgeID,http://zooarchnet.org/dwc/terms/,2018-11-08,2018-11-08,true,http://zooarchnet.org/dwc/terms/chronometricDateID,,,Chronometric Age ID,An identifier for the set of information associated with a ChronometricAge. May be a global unique identifier or an identifier specific to the data set.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://zooarchnet.org/dwc/terms/ChronometricAge,,
2020-08-14T23:10:45-05:00,chronometricAgeProtocol,http://zooarchnet.org/dwc/terms/,2018-11-13,2018-11-13,true,http://zooarchnet.org/dwc/terms/chronometricDateProtocol,,,Chronometric Age Protocol,A description of or reference to the methods used to determine the ChronometricAge.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://zooarchnet.org/dwc/terms/ChronometricAge,,
2020-08-14T23:10:45-05:00,chronometricAgeReferences,http://zooarchnet.org/dwc/terms/,2018-11-13,2018-11-13,true,http://zooarchnet.org/dwc/terms/chronometricDateReferences,,,Chronometric Age References,"A list (concatenated and separated) of identifiers (publication, bibliographic reference, global unique identifier, URI) of literature associated with the ChronometricAge.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://zooarchnet.org/dwc/terms/ChronometricAge,,
2020-08-14T23:10:45-05:00,chronometricAgeRemarks,http://zooarchnet.org/dwc/terms/,2018-11-08,2018-11-08,true,http://zooarchnet.org/dwc/terms/chronometricDateRemarks,,,Chronometric Age Remarks,Notes or comments about the ChronometricAge.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://zooarchnet.org/dwc/terms/ChronometricAge,,
2020-08-14T23:10:45-05:00,chronometricAgeUncertaintyInYears,http://zooarchnet.org/dwc/terms/,2018-05-04,2018-11-13,true,http://zooarchnet.org/dwc/terms/ageUncertaintyInYears,,,Chronometric Age Uncertainty In Years,"The temporal uncertainty of the maximumChronometricAge and minimumChronometicAge, in years.",,`100`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://zooarchnet.org/dwc/terms/ChronometricAge,,
2020-08-14T23:10:45-05:00,chronometricAgeUncertaintyMethod,http://zooarchnet.org/dwc/terms/,2018-05-04,2018-11-13,true,http://zooarchnet.org/dwc/terms/ageUncertaintyMethod,,,Chronometric Age Uncertainty Method,The method used to generate the reported uncertainty calculations.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://zooarchnet.org/dwc/terms/ChronometricAge,,
2020-08-14T23:10:45-05:00,ChronometricDate,http://zooarchnet.org/dwc/terms/,2017-11-30,2017-11-30,true,,,,Chronometric Date,The age of a specimen or related materials that is generated from a dating assay.,,,http://www.w3.org/2000/01/rdf-schema#Class,not in ABCD,,,
2020-08-14T23:10:45-05:00,chronometricDateID,http://zooarchnet.org/dwc/terms/,2017-11-30,2017-11-30,true,,,,Chronometric Date ID,An identifier for the set of information associated with a ChronometricDate. May be a global unique identifier or an identifier specific to the data set.,GUID reference to the combination of information for one ChronometricDate.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://zooarchnet.org/dwc/terms/ChronometricDate,,
2020-08-14T23:10:45-05:00,chronometricDateProtocol,http://zooarchnet.org/dwc/terms/,2017-11-30,2017-11-30,true,,,,Chronometric Date Protocol,A description or reference to the methods used to determine the ChronometricDate.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://zooarchnet.org/dwc/terms/ChronometricDate,,
2020-08-14T23:10:45-05:00,chronometricDateReferences,http://zooarchnet.org/dwc/terms/,2017-11-30,2017-11-30,true,,,,Chronometric Date References,"A list (concatenated and separated) of identifiers (publication, bibliographic reference, global unique identifier, URI) of literature associated with the ChronometricDate.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://zooarchnet.org/dwc/terms/ChronometricDate,,
2020-08-14T23:10:45-05:00,chronometricDateRemarks,http://zooarchnet.org/dwc/terms/,2017-11-30,2017-11-30,true,,,,Chronometric Date Remarks,Notes or comments about the ChronometricDate.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://zooarchnet.org/dwc/terms/ChronometricDate,,
2020-08-14T23:10:45-05:00,materialDated,http://zooarchnet.org/dwc/terms/,2017-11-30,2018-11-08,true,,,,Material Dated,"A description of the material on which the chronometricAgeProtocol was actually performed, if known.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://zooarchnet.org/dwc/terms/ChronometricAge,,
2020-08-14T23:10:45-05:00,materialDatedID,http://zooarchnet.org/dwc/terms/,2017-11-30,2018-11-08,true,,,,Material Dated ID,"An identifier for the material on which the chronometricAgeProtocol was performed, if applicable.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://zooarchnet.org/dwc/terms/ChronometricAge,,
2020-08-14T23:10:45-05:00,maximumAge,http://zooarchnet.org/dwc/terms/,2017-11-30,2017-11-30,true,,,,Maximum Age,Upper limit for the age of a specimen as determined by a dating method.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://zooarchnet.org/dwc/terms/ChronometricDate,,
2020-08-14T23:10:45-05:00,maximumAgeReferenceSystem,http://zooarchnet.org/dwc/terms/,2018-03-15,2018-03-15,true,http://zooarchnet.org/dwc/terms/maximumAgeUnits,,,Maximum Age Reference System,"The reference system associated with the maximumAge. For example, BC.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://zooarchnet.org/dwc/terms/ChronometricDate,,
