document,contributor_iri,contributor_literal,contributor_role,role_uri,affiliation,affiliation_uri
http://rs.tdwg.org/dwc/index/,https://orcid.org/0000-0002-6513-4996,Dave Vieglais,author,http://www.wikidata.org/entity/Q482980,KU Natural History Museum,http://www.wikidata.org/entity/Q1111807
http://rs.tdwg.org/dwc/index/,https://orcid.org/0000-0002-5178-4170,Gail E. Kampmeier,review manager,http://www.wikidata.org/entity/Q2462658,University of Illinois at Urbana-Champaign,http://www.wikidata.org/entity/Q457281
http://rs.tdwg.org/dwc/terms/guides/rdf/,https://orcid.org/0000-0003-4365-3135,Steve Baskauf,lead author,http://www.wikidata.org/entity/Q482980,TDWG RDF/OWL Task Group,http://www.wikidata.org/entity/Q4914768
http://rs.tdwg.org/dwc/terms/guides/rdf/,https://orcid.org/0000-0003-1144-0290,John Wieczorek,author,http://www.wikidata.org/entity/Q482980,TDWG Darwin Core Task Group,http://www.wikidata.org/entity/Q4914768
http://rs.tdwg.org/dwc/terms/guides/rdf/,https://orcid.org/0000-0002-5905-1617,John Deck,author,http://www.wikidata.org/entity/Q482980,Genomic Biodiversity Working Group,
http://rs.tdwg.org/dwc/terms/guides/rdf/,https://orcid.org/0000-0003-1031-3249,Campbell Webb,author,http://www.wikidata.org/entity/Q482980,TDWG RDF/OWL Task Group,http://www.wikidata.org/entity/Q4914768
http://rs.tdwg.org/dwc/terms/guides/rdf/,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/5e51de22-d841-4c47-b0c4-d5ad0bd03035,Paul J. Morris,author,http://www.wikidata.org/entity/Q482980,Harvard University Herbaria/Museum of Comparative Zoölogy,http://www.wikidata.org/entity/Q51926077
http://rs.tdwg.org/dwc/terms/guides/rdf/,https://orcid.org/0000-0003-0632-7576,Mark Schildhauer,author,http://www.wikidata.org/entity/Q482980,National Center for Ecological Analysis and Synthesis,http://www.wikidata.org/entity/Q6971323
http://rs.tdwg.org/dwc/terms/guides/text/,https://orcid.org/0000-0001-6215-3617,Tim Robertson,lead author,http://www.wikidata.org/entity/Q482980,Global Biodiversity Information Facility,http://www.wikidata.org/entity/Q1531570
http://rs.tdwg.org/dwc/terms/guides/text/,https://orcid.org/0000-0001-7757-1889,Markus Döring,author,http://www.wikidata.org/entity/Q482980,Global Biodiversity Information Facility,http://www.wikidata.org/entity/Q1531570
http://rs.tdwg.org/dwc/terms/guides/text/,https://orcid.org/0000-0003-1144-0290,John Wieczorek,author,http://www.wikidata.org/entity/Q482980,TDWG Darwin Core Task Group,http://www.wikidata.org/entity/Q4914768
http://rs.tdwg.org/dwc/terms/guides/text/,https://orcid.org/0000-0002-7104-7266,Renato De Giovanni,author,http://www.wikidata.org/entity/Q482980,Centro de Referência em Informação Ambiental,http://www.wikidata.org/entity/Q29168927
http://rs.tdwg.org/dwc/terms/guides/text/,https://orcid.org/0000-0002-6513-4996,Dave Vieglais,author,http://www.wikidata.org/entity/Q482980,KU Natural History Museum,http://www.wikidata.org/entity/Q1111807
http://rs.tdwg.org/dwc/terms/guides/text/,https://orcid.org/0000-0003-4365-3135,Steve Baskauf,author,http://www.wikidata.org/entity/Q482980,TDWG RDF/OWL Task Group,http://www.wikidata.org/entity/Q4914768
http://rs.tdwg.org/dwc/terms/guides/text/,https://orcid.org/0000-0002-5178-4170,Gail E. Kampmeier,review manager,http://www.wikidata.org/entity/Q2462658,University of Illinois at Urbana-Champaign,http://www.wikidata.org/entity/Q457281
http://rs.tdwg.org/dwc/terms/guides/xml/,https://orcid.org/0000-0003-1144-0290,John Wieczorek,lead author,http://www.wikidata.org/entity/Q482980,Museum of Vertebrate Zoology at Berkeley,http://www.wikidata.org/entity/Q1954759
http://rs.tdwg.org/dwc/terms/guides/xml/,https://orcid.org/0000-0001-7757-1889,Markus Döring,author,http://www.wikidata.org/entity/Q482980,Global Biodiversity Information Facility,http://www.wikidata.org/entity/Q1531570
http://rs.tdwg.org/dwc/terms/guides/xml/,https://orcid.org/0000-0002-7104-7266,Renato De Giovanni,author,http://www.wikidata.org/entity/Q482980,Centro de Referência em Informação Ambiental,http://www.wikidata.org/entity/Q29168927
http://rs.tdwg.org/dwc/terms/guides/xml/,https://orcid.org/0000-0001-6215-3617,Tim Robertson,author,http://www.wikidata.org/entity/Q482980,Global Biodiversity Information Facility,http://www.wikidata.org/entity/Q1531570
http://rs.tdwg.org/dwc/terms/guides/xml/,https://orcid.org/0000-0002-6513-4996,Dave Vieglais,author,http://www.wikidata.org/entity/Q482980,KU Natural History Museum,http://www.wikidata.org/entity/Q1111807
http://rs.tdwg.org/dwc/terms/guides/xml/,https://orcid.org/0000-0002-5178-4170,Gail E. Kampmeier,review manager,http://www.wikidata.org/entity/Q2462658,University of Illinois at Urbana-Champaign,http://www.wikidata.org/entity/Q457281
http://rs.tdwg.org/dwc/terms/simple/,https://orcid.org/0000-0003-1144-0290,John Wieczorek,lead author,http://www.wikidata.org/entity/Q482980,Museum of Vertebrate Zoology at Berkeley,http://www.wikidata.org/entity/Q1954759
http://rs.tdwg.org/dwc/terms/simple/,https://orcid.org/0000-0001-7757-1889,Markus Döring,author,http://www.wikidata.org/entity/Q482980,Global Biodiversity Information Facility,http://www.wikidata.org/entity/Q1531570
http://rs.tdwg.org/dwc/terms/simple/,https://orcid.org/0000-0002-7104-7266,Renato De Giovanni,author,http://www.wikidata.org/entity/Q482980,Centro de Referência em Informação Ambiental,http://www.wikidata.org/entity/Q29168927
http://rs.tdwg.org/dwc/terms/simple/,https://orcid.org/0000-0001-6215-3617,Tim Robertson,author,http://www.wikidata.org/entity/Q482980,Global Biodiversity Information Facility,http://www.wikidata.org/entity/Q1531570
http://rs.tdwg.org/dwc/terms/simple/,https://orcid.org/0000-0002-6513-4996,Dave Vieglais,author,http://www.wikidata.org/entity/Q482980,KU Natural History Museum,http://www.wikidata.org/entity/Q1111807
http://rs.tdwg.org/dwc/terms/simple/,https://orcid.org/0000-0002-5178-4170,Gail E. Kampmeier,review manager,http://www.wikidata.org/entity/Q2462658,University of Illinois at Urbana-Champaign,http://www.wikidata.org/entity/Q457281
http://rs.tdwg.org/dwc/terms/namespace/,https://orcid.org/0000-0003-1144-0290,John Wieczorek,lead author,http://www.wikidata.org/entity/Q482980,Museum of Vertebrate Zoology at Berkeley,http://www.wikidata.org/entity/Q1954759
http://rs.tdwg.org/dwc/terms/namespace/,https://orcid.org/0000-0001-7757-1889,Markus Döring,author,http://www.wikidata.org/entity/Q482980,Global Biodiversity Information Facility,http://www.wikidata.org/entity/Q1531570
http://rs.tdwg.org/dwc/terms/namespace/,https://orcid.org/0000-0002-7104-7266,Renato De Giovanni,author,http://www.wikidata.org/entity/Q482980,Centro de Referência em Informação Ambiental,http://www.wikidata.org/entity/Q29168927
http://rs.tdwg.org/dwc/terms/namespace/,https://orcid.org/0000-0001-6215-3617,Tim Robertson,author,http://www.wikidata.org/entity/Q482980,Global Biodiversity Information Facility,http://www.wikidata.org/entity/Q1531570
http://rs.tdwg.org/dwc/terms/namespace/,https://orcid.org/0000-0002-6513-4996,Dave Vieglais,author,http://www.wikidata.org/entity/Q482980,KU Natural History Museum,http://www.wikidata.org/entity/Q1111807
http://rs.tdwg.org/dwc/terms/namespace/,https://orcid.org/0000-0002-5178-4170,Gail E. Kampmeier,review manager,http://www.wikidata.org/entity/Q2462658,University of Illinois at Urbana-Champaign,http://www.wikidata.org/entity/Q457281
http://rs.tdwg.org/dwc/doc/doe/,https://orcid.org/0000-0002-0596-5376,Quentin Groom,lead author,http://www.wikidata.org/entity/Q482980,Botanic Garden Meise,http://www.wikidata.org/entity/Q3052500
http://rs.tdwg.org/dwc/doc/doe/,https://orcid.org/0000-0002-8442-8025,Peter Desmet,contributor,http://www.wikidata.org/entity/Q20204892,Instituut voor Natuur- en Bosonderzoek (INBO),http://www.wikidata.org/entity/Q7315097
http://rs.tdwg.org/dwc/doc/doe/,https://orcid.org/0000-0001-7484-9267,Lien Reyserhove,contributor,http://www.wikidata.org/entity/Q20204892,Instituut voor Natuur- en Bosonderzoek (INBO),http://www.wikidata.org/entity/Q7315097
http://rs.tdwg.org/dwc/doc/doe/,https://orcid.org/0000-0001-7268-4200,Tim Adriaens,contributor,http://www.wikidata.org/entity/Q20204892,Instituut voor Natuur- en Bosonderzoek (INBO),http://www.wikidata.org/entity/Q7315097
http://rs.tdwg.org/dwc/doc/doe/,https://orcid.org/0000-0003-3445-7562,Damiano Oldoni,contributor,http://www.wikidata.org/entity/Q20204892,Instituut voor Natuur- en Bosonderzoek (INBO),http://www.wikidata.org/entity/Q7315097
http://rs.tdwg.org/dwc/doc/doe/,https://orcid.org/0000-0002-6298-5373,Sonia Vanderhoeven,contributor,http://www.wikidata.org/entity/Q20204892,Belgian Biodiversity Platform,http://www.wikidata.org/entity/Q100600896
http://rs.tdwg.org/dwc/doc/doe/,https://orcid.org/0000-0003-4365-3135,Steven J Baskauf,contributor,http://www.wikidata.org/entity/Q20204892,Vanderbilt University Libraries,http://www.wikidata.org/entity/Q16849893
http://rs.tdwg.org/dwc/doc/doe/,https://orcid.org/0000-0003-1700-6962,Arthur Chapman,contributor,http://www.wikidata.org/entity/Q20204892,Australian Biodiversity Information Services,http://www.wikidata.org/entity/Q100600913
http://rs.tdwg.org/dwc/doc/doe/,https://orcid.org/0000-0003-3388-2241,Melodie McGeoch,contributor,http://www.wikidata.org/entity/Q20204892,McGeoch Research Group,http://www.wikidata.org/entity/Q100600923
http://rs.tdwg.org/dwc/doc/doe/,https://orcid.org/0000-0001-8815-0078,Ramona Walls,contributor,http://www.wikidata.org/entity/Q20204892,University of Arizona,http://www.wikidata.org/entity/Q503419
http://rs.tdwg.org/dwc/doc/doe/,https://orcid.org/0000-0003-1144-0290,John Wieczorek,contributor,http://www.wikidata.org/entity/Q20204892,VertNet,http://www.wikidata.org/entity/Q98382028
http://rs.tdwg.org/dwc/doc/doe/,https://orcid.org/0000-0003-0174-3239,John R.U. Wilson,contributor,http://www.wikidata.org/entity/Q20204892,South African National Biodiversity Institute,http://www.wikidata.org/entity/Q30296386
http://rs.tdwg.org/dwc/doc/doe/,https://orcid.org/0000-0002-6056-5084,Paula F Zermoglio,contributor,http://www.wikidata.org/entity/Q20204892,VertNet,http://www.wikidata.org/entity/Q98382028
http://rs.tdwg.org/dwc/doc/doe/,https://orcid.org/0000-0001-8338-5134,Annie Simpson,contributor,http://www.wikidata.org/entity/Q20204892,U.S. Geological Survey,http://www.wikidata.org/entity/Q193755
http://rs.tdwg.org/dwc/doc/em/,https://orcid.org/0000-0002-0596-5376,Quentin Groom,lead author,http://www.wikidata.org/entity/Q482980,Botanic Garden Meise,http://www.wikidata.org/entity/Q3052500
http://rs.tdwg.org/dwc/doc/em/,https://orcid.org/0000-0002-8442-8025,Peter Desmet,contributor,http://www.wikidata.org/entity/Q20204892,Instituut voor Natuur- en Bosonderzoek (INBO),http://www.wikidata.org/entity/Q7315097
http://rs.tdwg.org/dwc/doc/em/,https://orcid.org/0000-0001-7484-9267,Lien Reyserhove,contributor,http://www.wikidata.org/entity/Q20204892,Instituut voor Natuur- en Bosonderzoek (INBO),http://www.wikidata.org/entity/Q7315097
http://rs.tdwg.org/dwc/doc/em/,https://orcid.org/0000-0001-7268-4200,Tim Adriaens,contributor,http://www.wikidata.org/entity/Q20204892,Instituut voor Natuur- en Bosonderzoek (INBO),http://www.wikidata.org/entity/Q7315097
http://rs.tdwg.org/dwc/doc/em/,https://orcid.org/0000-0003-3445-7562,Damiano Oldoni,contributor,http://www.wikidata.org/entity/Q20204892,Instituut voor Natuur- en Bosonderzoek (INBO),http://www.wikidata.org/entity/Q7315097
http://rs.tdwg.org/dwc/doc/em/,https://orcid.org/0000-0002-6298-5373,Sonia Vanderhoeven,contributor,http://www.wikidata.org/entity/Q20204892,Belgian Biodiversity Platform,http://www.wikidata.org/entity/Q100600896
http://rs.tdwg.org/dwc/doc/em/,https://orcid.org/0000-0003-4365-3135,Steven J Baskauf,contributor,http://www.wikidata.org/entity/Q20204892,Vanderbilt University Libraries,http://www.wikidata.org/entity/Q16849893
http://rs.tdwg.org/dwc/doc/em/,https://orcid.org/0000-0003-1700-6962,Arthur Chapman,contributor,http://www.wikidata.org/entity/Q20204892,Australian Biodiversity Information Services,http://www.wikidata.org/entity/Q100600913
http://rs.tdwg.org/dwc/doc/em/,https://orcid.org/0000-0003-3388-2241,Melodie McGeoch,contributor,http://www.wikidata.org/entity/Q20204892,McGeoch Research Group,http://www.wikidata.org/entity/Q100600923
http://rs.tdwg.org/dwc/doc/em/,https://orcid.org/0000-0001-8815-0078,Ramona Walls,contributor,http://www.wikidata.org/entity/Q20204892,University of Arizona,http://www.wikidata.org/entity/Q503419
http://rs.tdwg.org/dwc/doc/em/,https://orcid.org/0000-0003-1144-0290,John Wieczorek,contributor,http://www.wikidata.org/entity/Q20204892,VertNet,http://www.wikidata.org/entity/Q98382028
http://rs.tdwg.org/dwc/doc/em/,https://orcid.org/0000-0003-0174-3239,John R.U. Wilson,contributor,http://www.wikidata.org/entity/Q20204892,South African National Biodiversity Institute,http://www.wikidata.org/entity/Q30296386
http://rs.tdwg.org/dwc/doc/em/,https://orcid.org/0000-0002-6056-5084,Paula F Zermoglio,contributor,http://www.wikidata.org/entity/Q20204892,VertNet,http://www.wikidata.org/entity/Q98382028
http://rs.tdwg.org/dwc/doc/em/,https://orcid.org/0000-0001-8338-5134,Annie Simpson,contributor,http://www.wikidata.org/entity/Q20204892,U.S. Geological Survey,http://www.wikidata.org/entity/Q193755
http://rs.tdwg.org/dwc/doc/pw/,https://orcid.org/0000-0002-0596-5376,Quentin Groom,lead author,http://www.wikidata.org/entity/Q482980,Botanic Garden Meise,http://www.wikidata.org/entity/Q3052500
http://rs.tdwg.org/dwc/doc/pw/,https://orcid.org/0000-0002-8442-8025,Peter Desmet,contributor,http://www.wikidata.org/entity/Q20204892,Instituut voor Natuur- en Bosonderzoek (INBO),http://www.wikidata.org/entity/Q7315097
http://rs.tdwg.org/dwc/doc/pw/,https://orcid.org/0000-0001-7484-9267,Lien Reyserhove,contributor,http://www.wikidata.org/entity/Q20204892,Instituut voor Natuur- en Bosonderzoek (INBO),http://www.wikidata.org/entity/Q7315097
http://rs.tdwg.org/dwc/doc/pw/,https://orcid.org/0000-0001-7268-4200,Tim Adriaens,contributor,http://www.wikidata.org/entity/Q20204892,Instituut voor Natuur- en Bosonderzoek (INBO),http://www.wikidata.org/entity/Q7315097
http://rs.tdwg.org/dwc/doc/pw/,https://orcid.org/0000-0003-3445-7562,Damiano Oldoni,contributor,http://www.wikidata.org/entity/Q20204892,Instituut voor Natuur- en Bosonderzoek (INBO),http://www.wikidata.org/entity/Q7315097
http://rs.tdwg.org/dwc/doc/pw/,https://orcid.org/0000-0002-6298-5373,Sonia Vanderhoeven,contributor,http://www.wikidata.org/entity/Q20204892,Belgian Biodiversity Platform,http://www.wikidata.org/entity/Q100600896
http://rs.tdwg.org/dwc/doc/pw/,https://orcid.org/0000-0003-4365-3135,Steven J Baskauf,contributor,http://www.wikidata.org/entity/Q20204892,Vanderbilt University Libraries,http://www.wikidata.org/entity/Q16849893
http://rs.tdwg.org/dwc/doc/pw/,https://orcid.org/0000-0003-1700-6962,Arthur Chapman,contributor,http://www.wikidata.org/entity/Q20204892,Australian Biodiversity Information Services,http://www.wikidata.org/entity/Q100600913
http://rs.tdwg.org/dwc/doc/pw/,https://orcid.org/0000-0003-3388-2241,Melodie McGeoch,contributor,http://www.wikidata.org/entity/Q20204892,McGeoch Research Group,http://www.wikidata.org/entity/Q100600923
http://rs.tdwg.org/dwc/doc/pw/,https://orcid.org/0000-0001-8815-0078,Ramona Walls,contributor,http://www.wikidata.org/entity/Q20204892,University of Arizona,http://www.wikidata.org/entity/Q503419
http://rs.tdwg.org/dwc/doc/pw/,https://orcid.org/0000-0003-1144-0290,John Wieczorek,contributor,http://www.wikidata.org/entity/Q20204892,VertNet,http://www.wikidata.org/entity/Q98382028
http://rs.tdwg.org/dwc/doc/pw/,https://orcid.org/0000-0003-0174-3239,John R.U. Wilson,contributor,http://www.wikidata.org/entity/Q20204892,South African National Biodiversity Institute,http://www.wikidata.org/entity/Q30296386
http://rs.tdwg.org/dwc/doc/pw/,https://orcid.org/0000-0002-6056-5084,Paula F Zermoglio,contributor,http://www.wikidata.org/entity/Q20204892,VertNet,http://www.wikidata.org/entity/Q98382028
http://rs.tdwg.org/dwc/doc/pw/,https://orcid.org/0000-0001-8338-5134,Annie Simpson,contributor,http://www.wikidata.org/entity/Q20204892,U.S. Geological Survey,http://www.wikidata.org/entity/Q193755
http://rs.tdwg.org/dwc/doc/chrono/,https://orcid.org/0000-0003-1144-0290,John Wieczorek,lead author,http://www.wikidata.org/entity/Q482980,VertNet,http://www.wikidata.org/entity/Q98382028
http://rs.tdwg.org/dwc/doc/chrono/,https://orcid.org/0000-0002-9284-8871,Laura Brenskelle,contributor,http://www.wikidata.org/entity/Q20204892,University of Florida,http://www.wikidata.org/entity/Q501758
http://rs.tdwg.org/dwc/doc/chrono/,https://orcid.org/0000-0001-6682-1504,Robert Guralnick,contributor,http://www.wikidata.org/entity/Q20204892,University of Florida,http://www.wikidata.org/entity/Q501758
http://rs.tdwg.org/dwc/doc/chrono/,https://orcid.org/0000-0002-4031-1968,Kitty Emery,contributor,http://www.wikidata.org/entity/Q20204892,University of Florida,http://www.wikidata.org/entity/Q501758
http://rs.tdwg.org/dwc/doc/chrono/,https://orcid.org/0000-0002-1741-9997,Michelle LeFebvre,contributor,http://www.wikidata.org/entity/Q20204892,University of Florida,http://www.wikidata.org/entity/Q501758
http://rs.tdwg.org/dwc/doc/chrono/,https://orcid.org/0000-0003-4740-286X,Neill Wallis,contributor,http://www.wikidata.org/entity/Q20204892,University of Florida,http://www.wikidata.org/entity/Q501758
http://rs.tdwg.org/dwc/doc/chrono/,https://orcid.org/0000-0003-4365-3135,Steve Baskauf,contributor,http://www.wikidata.org/entity/Q20204892,Vanderbilt University Libraries,http://www.wikidata.org/entity/Q16849893
http://rs.tdwg.org/dwc/doc/chrono/,https://orcid.org/0000-0002-8481-9034,Marie Elise Lecoq,contributor,http://www.wikidata.org/entity/Q20204892,,
http://rs.tdwg.org/dwc/doc/chrono/,https://orcid.org/0000-0001-5620-4764,Eric Kansa,contributor,http://www.wikidata.org/entity/Q20204892,Harvard University,http://www.wikidata.org/entity/Q13371
http://rs.tdwg.org/dwc/doc/chrono/,https://orcid.org/0000-0001-7920-5321,Sarah Kansa,contributor,http://www.wikidata.org/entity/Q20204892,The Alexandria Archive Institute,https://www.wikidata.org/wiki/Q30257865
http://rs.tdwg.org/dwc/doc/chrono/,https://orcid.org/0000-0001-9325-3100,Denné Reed,contributor,http://www.wikidata.org/entity/Q20204892,University of Texas at Austin,https://www.wikidata.org/wiki/Q49213
http://rs.tdwg.org/tapir/doc/summary/,https://orcid.org/0000-0002-7104-7266,Renato De Giovanni,lead author,http://www.wikidata.org/entity/Q482980,Centro de Referência em Informação Ambiental,http://www.wikidata.org/entity/Q29168927
http://rs.tdwg.org/tapir/doc/specification/,https://orcid.org/0000-0002-7104-7266,Renato De Giovanni,lead author,http://www.wikidata.org/entity/Q482980,Centro de Referência em Informação Ambiental,http://www.wikidata.org/entity/Q29168927
http://rs.tdwg.org/tapir/doc/specification/,http://www.wikidata.org/entity/Q51883987,Charles Copp,lead author,http://www.wikidata.org/entity/Q482980,Environmental Information Management ,
http://rs.tdwg.org/tapir/doc/specification/,https://orcid.org/0000-0001-7757-1889,Markus Döring,author,http://www.wikidata.org/entity/Q482980,Botanic Garden and Botanical Museum Berlin-Dahlem ,http://www.wikidata.org/entity/Q163255
http://rs.tdwg.org/tapir/doc/specification/,https://orcid.org/0000-0002-4325-4030,Anton Güntsch,author,http://www.wikidata.org/entity/Q482980,Botanic Garden and Botanical Museum Berlin-Dahlem ,http://www.wikidata.org/entity/Q163255
http://rs.tdwg.org/tapir/doc/specification/,https://orcid.org/0000-0002-6513-4996,Dave Vieglais,author,http://www.wikidata.org/entity/Q482980,KU Natural History Museum,http://www.wikidata.org/entity/Q1111807
http://rs.tdwg.org/tapir/doc/specification/,https://orcid.org/0000-0001-6492-4016,Donald Hobern,author,http://www.wikidata.org/entity/Q482980,Global Biodiversity Information Facility,http://www.wikidata.org/entity/Q1531570
http://rs.tdwg.org/tapir/doc/specification/,http://www.wikidata.org/entity/Q51883962,Javier de la Torre,author,http://www.wikidata.org/entity/Q482980,Botanic Garden and Botanical Museum Berlin-Dahlem ,http://www.wikidata.org/entity/Q163255
http://rs.tdwg.org/tapir/doc/specification/,https://orcid.org/0000-0003-1144-0290,John Wieczorek,author,http://www.wikidata.org/entity/Q482980,Museum of Vertebrate Zoology at Berkeley,http://www.wikidata.org/entity/Q1954759
http://rs.tdwg.org/tapir/doc/specification/,http://www.wikidata.org/entity/Q51883993,Robert Gales,author,http://www.wikidata.org/entity/Q482980,KU Natural History Museum,http://www.wikidata.org/entity/Q1111807
http://rs.tdwg.org/tapir/doc/specification/,https://orcid.org/0000-0003-4581-1379,Roger Hyam,author,http://www.wikidata.org/entity/Q482980,TDWG,http://www.wikidata.org/entity/Q4914768
