doc_iri,mediaType,accessUri
http://rs.tdwg.org/tl/doc/v1/,text/html,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=1#page/11
http://rs.tdwg.org/tl/doc/v2/,text/html,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=2#page/11
http://rs.tdwg.org/tl/doc/v3/,text/html,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=3#page/7
http://rs.tdwg.org/tl/doc/v4/,text/html,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=4#page/7
http://rs.tdwg.org/tl/doc/v5/,text/html,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=5#page/11
http://rs.tdwg.org/tl/doc/v6/,text/html,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=6#page/7
http://rs.tdwg.org/tl/doc/v7/,text/html,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=7#page/7
http://rs.tdwg.org/tl/doc/s1/,text/html,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=8#page/7
http://rs.tdwg.org/tl/doc/s2/,text/html,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=9#page/7
http://rs.tdwg.org/tl/doc/s3/,text/html,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=10#page/7
http://rs.tdwg.org/tl/doc/s4/,text/html,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=11#page/7
http://rs.tdwg.org/tl/doc/s5/,text/html,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=12#page/7
http://rs.tdwg.org/tl/doc/s6/,text/html,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=13#page/7
http://rs.tdwg.org/tl/doc/s7/,text/html,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=14#page/7
http://rs.tdwg.org/tl/doc/s8/,text/html,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=15#page/7
http://rs.tdwg.org/bph/doc/book/,print,urn:isbn:0913196789
http://rs.tdwg.org/ac/doc/orient/,text/markdown,https://github.com/tdwg/ac/raw/master/docs/orient/index.md
http://rs.tdwg.org/ac/doc/part/,text/markdown,https://github.com/tdwg/ac/raw/master/docs/part/index.md
http://rs.tdwg.org/dwc/doc/eco/,text/markdown,https://raw.githubusercontent.com/tdwg/hc/main/docs/list/index.md
http://rs.tdwg.org/dwc/doc/hierarchy/,text/markdown,https://raw.githubusercontent.com/tdwg/hc/main/docs/hierarchy/index.md
http://rs.tdwg.org/dwc/doc/inclusive/,text/markdown,https://raw.githubusercontent.com/tdwg/hc/main/docs/inclusive/index.md
http://rs.tdwg.org/dwc/doc/tcr/,text/markdown,https://raw.githubusercontent.com/tdwg/hc/main/docs/tcr/index.md
http://rs.tdwg.org/tag/doc/boolean/,text/markdown,https://raw.githubusercontent.com/tdwg/tag/master/docs/boolean/index.md
http://rs.tdwg.org/ltc/doc/list/,text/html,https://raw.githubusercontent.com/tdwg/ltc/main/docs/terms/index.html
http://rs.tdwg.org/dwc/doc/chrono/,text/markdown,https://raw.githubusercontent.com/tdwg/chrono/master/docs/list/index.md
