current_iri,version_iri
http://rs.tdwg.org/tl/doc/s8/,http://rs.tdwg.org/tl/doc/s8/2009
http://rs.tdwg.org/bph/doc/book/,http://rs.tdwg.org/bph/doc/book/1968
http://rs.tdwg.org/bph/doc/book/,http://rs.tdwg.org/bph/doc/book/2004
http://rs.tdwg.org/ac/doc/termlist/,http://rs.tdwg.org/ac/doc/termlist/2020-01-27
http://rs.tdwg.org/ac/doc/structure/,http://rs.tdwg.org/ac/doc/structure/2020-01-27
http://rs.tdwg.org/ac/doc/termlist/,http://rs.tdwg.org/ac/doc/termlist/2020-08-23
http://rs.tdwg.org/ac/doc/termlist/,http://rs.tdwg.org/ac/doc/termlist/2020-10-13
http://rs.tdwg.org/dwc/doc/list/,http://rs.tdwg.org/dwc/doc/list/2020-08-12
http://rs.tdwg.org/dwc/doc/list/,http://rs.tdwg.org/dwc/doc/list/2020-08-20
http://rs.tdwg.org/dwc/doc/list/,http://rs.tdwg.org/dwc/doc/list/2020-10-13
http://rs.tdwg.org/ac/doc/format/,http://rs.tdwg.org/ac/doc/format/2020-10-13
http://rs.tdwg.org/ac/doc/subtype/,http://rs.tdwg.org/ac/doc/subtype/2020-10-13
http://rs.tdwg.org/ac/doc/subtype/,http://rs.tdwg.org/ac/doc/subtype/2022-02-23
http://rs.tdwg.org/ac/doc/variant/,http://rs.tdwg.org/ac/doc/variant/2020-10-13
http://rs.tdwg.org/dwc/doc/doe/,http://rs.tdwg.org/dwc/doc/doe/2020-10-13
http://rs.tdwg.org/dwc/doc/em/,http://rs.tdwg.org/dwc/doc/em/2020-10-13
http://rs.tdwg.org/dwc/doc/pw/,http://rs.tdwg.org/dwc/doc/pw/2020-10-13
http://rs.tdwg.org/dwc/doc/chrono/,http://rs.tdwg.org/dwc/doc/chrono/2021-04-27
http://rs.tdwg.org/dwc/doc/list/,http://rs.tdwg.org/dwc/doc/list/2021-03-29
http://rs.tdwg.org/dwc/doc/list/,http://rs.tdwg.org/dwc/doc/list/2021-07-15
http://rs.tdwg.org/dwc/doc/doe/,http://rs.tdwg.org/dwc/doc/doe/2021-09-01
http://rs.tdwg.org/dwc/doc/em/,http://rs.tdwg.org/dwc/doc/em/2021-09-01
