header,predicate,type,value,attribute,subject_id
version_isDefinedBy,rdfs:isDefinedBy,iri,,,$root
version_issued,dcterms:issued,datatype,,xsd:date,$root
version_status,tdwgutility:status,datatype,,xsd:string,$root
replaces_version,dcterms:replaces,iri,,,$root
replaces1_version,dcterms:replaces,iri,,,$root
replaces2_version,dcterms:replaces,iri,,,$root
label,rdfs:label,language,,en,$root
label,skos:prefLabel,language,,en,$root
rdfs_comment,rdfs:comment,language,,en,$root
dcterms_description,dcterms:description,language,,en,$root
rdf_type,rdf:type,iri,,,$root
rdfs_subPropertyOf,rdfs:subPropertyOf,iri,,,$root
dwcattributes_abcdEquivalence,tdwgutility:abcdEquivalence,plain,,,$root
dwcattributes_organizedInClass,tdwgutility:organizedInClass,iri,,,$root
dwcattributes_decision,tdwgutility:decision,iri,,,$root
term,dcterms:isVersionOf,iri,,,$root
