rdf_type,replacing_version,replacing_version_localName,replacing_version_namespace,replaced_version,replaced_version_namespace,replaced_version_localName
http://www.w3.org/2000/01/rdf-schema#Class,http://rs-test.tdwg.org/dwc/dwctype/version/FossilSpecimen-2011-10-16,FossilSpecimen-2011-10-16,http://rs-test.tdwg.org/dwc/dwctype/version/,http://rs-test.tdwg.org/dwc/dwctype/version/FossilSpecimen-2008-11-19,http://rs-test.tdwg.org/dwc/dwctype/version/,FossilSpecimen-2008-11-19
http://www.w3.org/2000/01/rdf-schema#Class,http://rs-test.tdwg.org/dwc/terms/version/FossilSpecimen-2014-10-23,FossilSpecimen-2014-10-23,http://rs-test.tdwg.org/dwc/terms/version/,http://rs-test.tdwg.org/dwc/dwctype/version/FossilSpecimen-2011-10-16,http://rs-test.tdwg.org/dwc/dwctype/version/,FossilSpecimen-2011-10-16
http://www.w3.org/2000/01/rdf-schema#Class,http://rs-test.tdwg.org/dwc/dwctype/version/HumanObservation-2011-10-16,HumanObservation-2011-10-16,http://rs-test.tdwg.org/dwc/dwctype/version/,http://rs-test.tdwg.org/dwc/dwctype/version/HumanObservation-2008-11-19,http://rs-test.tdwg.org/dwc/dwctype/version/,HumanObservation-2008-11-19
http://www.w3.org/2000/01/rdf-schema#Class,http://rs-test.tdwg.org/dwc/terms/version/HumanObservation-2014-10-23,HumanObservation-2014-10-23,http://rs-test.tdwg.org/dwc/terms/version/,http://rs-test.tdwg.org/dwc/dwctype/version/HumanObservation-2011-10-16,http://rs-test.tdwg.org/dwc/dwctype/version/,HumanObservation-2011-10-16
http://www.w3.org/2000/01/rdf-schema#Class,http://rs-test.tdwg.org/dwc/dwctype/version/LivingSpecimen-2011-10-16,LivingSpecimen-2011-10-16,http://rs-test.tdwg.org/dwc/dwctype/version/,http://rs-test.tdwg.org/dwc/dwctype/version/LivingSpecimen-2008-11-19,http://rs-test.tdwg.org/dwc/dwctype/version/,LivingSpecimen-2008-11-19
http://www.w3.org/2000/01/rdf-schema#Class,http://rs-test.tdwg.org/dwc/terms/version/LivingSpecimen-2014-10-23,LivingSpecimen-2014-10-23,http://rs-test.tdwg.org/dwc/terms/version/,http://rs-test.tdwg.org/dwc/dwctype/version/LivingSpecimen-2011-10-16,http://rs-test.tdwg.org/dwc/dwctype/version/,LivingSpecimen-2011-10-16
http://www.w3.org/2000/01/rdf-schema#Class,http://dublincore.org/usage/terms/history/#Location-001,Location-001,http://dublincore.org/usage/terms/history/#,http://rs-test.tdwg.org/dwc/dwctype/version/Location-2009-04-24,http://rs-test.tdwg.org/dwc/dwctype/version/,Location-2009-04-24
http://www.w3.org/2000/01/rdf-schema#Class,http://rs-test.tdwg.org/dwc/dwctype/version/MachineObservation-2011-10-16,MachineObservation-2011-10-16,http://rs-test.tdwg.org/dwc/dwctype/version/,http://rs-test.tdwg.org/dwc/dwctype/version/MachineObservation-2008-11-19,http://rs-test.tdwg.org/dwc/dwctype/version/,MachineObservation-2008-11-19
http://www.w3.org/2000/01/rdf-schema#Class,http://rs-test.tdwg.org/dwc/terms/version/MachineObservation-2014-10-23,MachineObservation-2014-10-23,http://rs-test.tdwg.org/dwc/terms/version/,http://rs-test.tdwg.org/dwc/dwctype/version/MachineObservation-2011-10-16,http://rs-test.tdwg.org/dwc/dwctype/version/,MachineObservation-2011-10-16
http://www.w3.org/2000/01/rdf-schema#Class,http://rs-test.tdwg.org/dwc/terms/version/MaterialSample-2014-10-23,MaterialSample-2014-10-23,http://rs-test.tdwg.org/dwc/terms/version/,http://rs-test.tdwg.org/dwc/dwctype/version/MaterialSample-2013-06-24,http://rs-test.tdwg.org/dwc/dwctype/version/,MaterialSample-2013-06-24
http://www.w3.org/2000/01/rdf-schema#Class,http://rs-test.tdwg.org/dwc/dwctype/version/Occurrence-2011-10-16,Occurrence-2011-10-16,http://rs-test.tdwg.org/dwc/dwctype/version/,http://rs-test.tdwg.org/dwc/dwctype/version/Occurrence-2009-04-24,http://rs-test.tdwg.org/dwc/dwctype/version/,Occurrence-2009-04-24
http://www.w3.org/2000/01/rdf-schema#Class,http://rs-test.tdwg.org/dwc/dwctype/version/PreservedSpecimen-2011-10-16,PreservedSpecimen-2011-10-16,http://rs-test.tdwg.org/dwc/dwctype/version/,http://rs-test.tdwg.org/dwc/dwctype/version/PreservedSpecimen-2008-11-19,http://rs-test.tdwg.org/dwc/dwctype/version/,PreservedSpecimen-2008-11-19
http://www.w3.org/2000/01/rdf-schema#Class,http://rs-test.tdwg.org/dwc/terms/version/PreservedSpecimen-2014-10-23,PreservedSpecimen-2014-10-23,http://rs-test.tdwg.org/dwc/terms/version/,http://rs-test.tdwg.org/dwc/dwctype/version/PreservedSpecimen-2011-10-16,http://rs-test.tdwg.org/dwc/dwctype/version/,PreservedSpecimen-2011-10-16
