"identifier","context","text"
"acceptedNameUsage:label","Label for Accepted Name Usage http://rs.tdwg.org/dwc/terms/acceptedNameUsage","有效學名使用"
"acceptedNameUsage:rdfs_comment","Comment for Accepted Name Usage http://rs.tdwg.org/dwc/terms/acceptedNameUsage","目前有效（動物）或接受（植物）並包含命名作者及年代（若已知）的完整學名。"
"acceptedNameUsage:dcterms_description","Description for Accepted Name Usage http://rs.tdwg.org/dwc/terms/acceptedNameUsage","植物學的接受名或動物學的有效名，包含已知的作者、年代的完整學名字串，用在當參考自 dwc:nameAccordingTo 屬性或內容提供者認為所提供的 dwc:scientificName 為同物異名或誤拼時。當應用在 dwc:Organism 或 dwc:Occurrence，此詞彙應在內容提供者認為 dwc:scientificName 與其分類觀點不一致的情況下使用。例如，標本蒐藏和觀測的資料集所記載的學名（最近一次專家對標本的鑑定，或針對 dwc:Organism 的野外觀測辨認），與內容提供者所認為在分類學上的接受的學名之間，常有許多差異。"
"acceptedNameUsage:examples","Examples for Accepted Name Usage http://rs.tdwg.org/dwc/terms/acceptedNameUsage","`Tamias minimus` （Eutamias minimus 的有效學名）"
"acceptedNameUsageID:label","Label for Accepted Name Usage ID http://rs.tdwg.org/dwc/terms/acceptedNameUsageID","有效學名使用識別碼"
"acceptedNameUsageID:rdfs_comment","Comment for Accepted Name Usage ID http://rs.tdwg.org/dwc/terms/acceptedNameUsageID","目前動物學有效或植物學接受的學名使用（根據來源所記載的學名涵義）識別碼。"
"acceptedNameUsageID:dcterms_description","Description for Accepted Name Usage ID http://rs.tdwg.org/dwc/terms/acceptedNameUsageID","此詞應使用在同物異名或誤拼學名，以指向一分類群記錄的 dwc:taxonID；該分類群代表植物學的接受名或動物學的有效名。在達爾文核心集檔案中，相關的記錄應該包含在檔案本身內部。"
"acceptedNameUsageID:examples","Examples for Accepted Name Usage ID http://rs.tdwg.org/dwc/terms/acceptedNameUsageID","`tsn:41107` (ITIS); `urn:lsid:ipni.org:names:320035-2` (IPNI); `2704179` (GBIF); `6W3C4` (COL)"
"associatedMedia:label","Label for Associated Media http://rs.tdwg.org/dwc/terms/associatedMedia","相關多媒體資訊"
"associatedMedia:rdfs_comment","Comment for Associated Media http://rs.tdwg.org/dwc/terms/associatedMedia","與該筆紀錄相關的多媒體連結，若有多個連結以 ""|"" 分隔。"
"associatedOccurrences:label","Label for Associated Occurrences http://rs.tdwg.org/dwc/terms/associatedOccurrences","相關物種出現紀錄"
"associatedOccurrences:rdfs_comment","Comment for Associated Occurrences http://rs.tdwg.org/dwc/terms/associatedOccurrences","與該筆紀錄相關的其他出現紀錄，若有多個連結以 ""|"" 分隔。"
"associatedOccurrences:dcterms_description","Description for Associated Occurrences http://rs.tdwg.org/dwc/terms/associatedOccurrences",""
"associatedOrganisms:label","Label for Associated Organisms http://rs.tdwg.org/dwc/terms/associatedOrganisms","相關生物體"
"associatedOrganisms:rdfs_comment","Comment for Associated Organisms http://rs.tdwg.org/dwc/terms/associatedOrganisms",""
"associatedOrganisms:dcterms_description","Description for Associated Organisms http://rs.tdwg.org/dwc/terms/associatedOrganisms",""
"associatedReferences:label","Label for Associated References http://rs.tdwg.org/dwc/terms/associatedReferences","相關參考資料"
"associatedReferences:rdfs_comment","Comment for Associated References http://rs.tdwg.org/dwc/terms/associatedReferences",""
"associatedReferences:dcterms_description","Description for Associated References http://rs.tdwg.org/dwc/terms/associatedReferences",""
"associatedSequences:label","Label for Associated Sequences http://rs.tdwg.org/dwc/terms/associatedSequences","相關基因序列"
"associatedSequences:rdfs_comment","Comment for Associated Sequences http://rs.tdwg.org/dwc/terms/associatedSequences",""
"associatedTaxa:label","Label for Associated Taxa http://rs.tdwg.org/dwc/terms/associatedTaxa","相關物種"
"associatedTaxa:rdfs_comment","Comment for Associated Taxa http://rs.tdwg.org/dwc/terms/associatedTaxa",""
"associatedTaxa:dcterms_description","Description for Associated Taxa http://rs.tdwg.org/dwc/terms/associatedTaxa",""
"basisOfRecord:label","Label for Basis Of Record http://rs.tdwg.org/dwc/terms/basisOfRecord","紀錄類型"
"basisOfRecord:rdfs_comment","Comment for Basis Of Record http://rs.tdwg.org/dwc/terms/basisOfRecord","資料紀錄的特定性質、類型。"
"basisOfRecord:dcterms_description","Description for Basis Of Record http://rs.tdwg.org/dwc/terms/basisOfRecord","建議使用 Darwin Core 的控制詞彙。"
"bed:label","Label for Bed http://rs.tdwg.org/dwc/terms/bed",""
"bed:rdfs_comment","Comment for Bed http://rs.tdwg.org/dwc/terms/bed",""
"behavior:label","Label for Behavior http://rs.tdwg.org/dwc/terms/behavior","行為"
