rdf_type,replacing_term,replacing_term_localName,replacing_term_namespace,replaced_term,replaced_term_namespace,replaced_term_localName
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/acceptedNameUsage,acceptedNameUsage,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/acceptedScientificName,http://rs.tdwg.org/dwc/terms/,acceptedScientificName
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/acceptedTaxonID,acceptedTaxonID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/acceptedScientificNameID,http://rs.tdwg.org/dwc/terms/,acceptedScientificNameID
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/acceptedTaxonName,acceptedTaxonName,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/AcceptedTaxon,http://rs.tdwg.org/dwc/terms/,AcceptedTaxon
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/acceptedNameUsageID,acceptedNameUsageID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/acceptedTaxonID,http://rs.tdwg.org/dwc/terms/,acceptedTaxonID
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/acceptedTaxonNameID,acceptedTaxonNameID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/AcceptedTaxonID,http://rs.tdwg.org/dwc/terms/,AcceptedTaxonID
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/acceptedScientificName,acceptedScientificName,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/acceptedTaxonName,http://rs.tdwg.org/dwc/terms/,acceptedTaxonName
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/acceptedScientificNameID,acceptedScientificNameID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/acceptedTaxonNameID,http://rs.tdwg.org/dwc/terms/,acceptedTaxonNameID
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/accessRights,accessRights,http://purl.org/dc/terms/,http://rs.tdwg.org/dwc/terms/AccessConstraints,http://rs.tdwg.org/dwc/terms/,AccessConstraints
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/originalNameUsage,originalNameUsage,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/basionym,http://rs.tdwg.org/dwc/terms/,basionym
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/originalNameUsageID,originalNameUsageID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/basionymID,http://rs.tdwg.org/dwc/terms/,basionymID
