document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,rdfs_comment,dcterms_description,examples,rdf_type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_usageScope,term_localName
2020-09-10T22:13:34-05:00,http://zooarchnet.org/dwc/terms/version/ageUncertainty-2017-11-30,ageUncertainty-2017-11-30,http://zooarchnet.org/dwc/terms/version/,2017-11-30,deprecated,,,,Age Uncertainty,"The assessed temporal uncertainty in the maximum or minimum age estimates, or overall uncertainty for both.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://zooarchnet.org/dwc/terms/ChronometricDate,,,ageUncertainty
2020-09-10T22:13:34-05:00,http://zooarchnet.org/dwc/terms/version/ageUncertaintyInYears-2018-03-15,ageUncertaintyInYears-2018-03-15,http://zooarchnet.org/dwc/terms/version/,2018-03-15,deprecated,http://zooarchnet.org/dwc/terms/version/ageUncertainty-2017-11-30,,,Age Uncertainty In Years,"The temporal uncertainty of the maximumAge and minimumAge, in years.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://zooarchnet.org/dwc/terms/ChronometricDate,,,ageUncertaintyInYears
2020-09-10T22:13:34-05:00,http://zooarchnet.org/dwc/terms/version/ageUncertaintyMethod-2017-11-30,ageUncertaintyMethod-2017-11-30,http://zooarchnet.org/dwc/terms/version/,2017-11-30,deprecated,,,,Age Uncertainty Method,The method used to generate reported uncertainty calculations.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://zooarchnet.org/dwc/terms/ChronometricDate,,,ageUncertaintyMethod
2020-09-10T22:13:34-05:00,http://zooarchnet.org/dwc/terms/version/ChronometricAge-2018-11-08,ChronometricAge-2018-11-08,http://zooarchnet.org/dwc/terms/version/,2018-11-08,deprecated,http://zooarchnet.org/dwc/terms/version/ChronometricDate-2017-11-30,,,Chronomatric Age,The age of a specimen or related materials that is generated from a dating assay.,,,http://www.w3.org/2000/01/rdf-schema#Class,not in ABCD,,,,ChronometricAge
2020-09-10T22:13:34-05:00,http://zooarchnet.org/dwc/terms/version/chronometricAgeID-2018-11-08,chronometricAgeID-2018-11-08,http://zooarchnet.org/dwc/terms/version/,2018-11-08,deprecated,http://zooarchnet.org/dwc/terms/version/chronometricDateID-2017-11-30,,,Chronometric Age ID,An identifier for the set of information associated with a ChronometricAge. May be a global unique identifier or an identifier specific to the data set.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://zooarchnet.org/dwc/terms/ChronometricAge,,,chronometricAgeID
2020-09-10T22:13:34-05:00,http://zooarchnet.org/dwc/terms/version/chronometricAgeProtocol-2018-11-13,chronometricAgeProtocol-2018-11-13,http://zooarchnet.org/dwc/terms/version/,2018-11-13,deprecated,http://zooarchnet.org/dwc/terms/version/chronometricDateProtocol-2017-11-30,,,Chronometric Age Protocol,A description of or reference to the methods used to determine the ChronometricAge.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://zooarchnet.org/dwc/terms/ChronometricAge,,,chronometricAgeProtocol
2020-09-10T22:13:34-05:00,http://zooarchnet.org/dwc/terms/version/chronometricAgeReferences-2018-11-13,chronometricAgeReferences-2018-11-13,http://zooarchnet.org/dwc/terms/version/,2018-11-13,deprecated,http://zooarchnet.org/dwc/terms/version/chronometricDateReferences-2017-11-30,,,Chronometric Age References,"A list (concatenated and separated) of identifiers (publication, bibliographic reference, global unique identifier, URI) of literature associated with the ChronometricAge.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://zooarchnet.org/dwc/terms/ChronometricAge,,,chronometricAgeReferences
2020-09-10T22:13:34-05:00,http://zooarchnet.org/dwc/terms/version/chronometricAgeRemarks-2018-11-08,chronometricAgeRemarks-2018-11-08,http://zooarchnet.org/dwc/terms/version/,2018-11-08,deprecated,http://zooarchnet.org/dwc/terms/version/chronometricDateRemarks-2017-11-30,,,Chronometric Age Remarks,Notes or comments about the ChronometricAge.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://zooarchnet.org/dwc/terms/ChronometricAge,,,chronometricAgeRemarks
2020-09-10T22:13:34-05:00,http://zooarchnet.org/dwc/terms/version/chronometricAgeUncertaintyInYears-2018-05-04,chronometricAgeUncertaintyInYears-2018-05-04,http://zooarchnet.org/dwc/terms/version/,2018-05-04,superseded,http://zooarchnet.org/dwc/terms/version/ageUncertaintyInYears-2018-03-15,,,Chronometric Age Uncertainty In Years,"The temporal uncertainty of the maximumAge and minimumAge, in years.",,`100`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://zooarchnet.org/dwc/terms/ChronometricDate,,,chronometricAgeUncertaintyInYears
2020-09-10T22:13:34-05:00,http://zooarchnet.org/dwc/terms/version/chronometricAgeUncertaintyInYears-2018-11-13,chronometricAgeUncertaintyInYears-2018-11-13,http://zooarchnet.org/dwc/terms/version/,2018-11-13,deprecated,http://zooarchnet.org/dwc/terms/version/chronometricAgeUncertaintyInYears-2018-05-04,,,Chronometric Age Uncertainty In Years,"The temporal uncertainty of the maximumChronometricAge and minimumChronometicAge, in years.",,`100`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://zooarchnet.org/dwc/terms/ChronometricAge,,,chronometricAgeUncertaintyInYears
2020-09-10T22:13:34-05:00,http://zooarchnet.org/dwc/terms/version/chronometricAgeUncertaintyMethod-2018-05-04,chronometricAgeUncertaintyMethod-2018-05-04,http://zooarchnet.org/dwc/terms/version/,2018-05-04,superseded,http://zooarchnet.org/dwc/terms/version/ageUncertaintyMethod-2017-11-30,,,Chronometric Age Uncertainty Method,The method used to generate the reported uncertainty calculations.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://zooarchnet.org/dwc/terms/ChronometricDate,,,chronometricAgeUncertaintyMethod
2020-09-10T22:13:34-05:00,http://zooarchnet.org/dwc/terms/version/chronometricAgeUncertaintyMethod-2018-11-13,chronometricAgeUncertaintyMethod-2018-11-13,http://zooarchnet.org/dwc/terms/version/,2018-11-13,deprecated,http://zooarchnet.org/dwc/terms/version/chronometricAgeUncertaintyMethod-2018-05-04,,,Chronometric Age Uncertainty Method,The method used to generate the reported uncertainty calculations.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://zooarchnet.org/dwc/terms/ChronometricAge,,,chronometricAgeUncertaintyMethod
2020-09-10T22:13:34-05:00,http://zooarchnet.org/dwc/terms/version/ChronometricDate-2017-11-30,ChronometricDate-2017-11-30,http://zooarchnet.org/dwc/terms/version/,2017-11-30,deprecated,,,,Chronometric Date,The age of a specimen or related materials that is generated from a dating assay.,,,http://www.w3.org/2000/01/rdf-schema#Class,not in ABCD,,,,ChronometricDate
