identifier,context,text
p0021:label,Label for foreleg http://rs.tdwg.org/dwc/terms/p0021,foreleg
p0021:examples,Examples for foreleg http://rs.tdwg.org/dwc/terms/p0021,https://www.morphbank.net/?id=861240
p0021:definition,Definition for foreleg http://rs.tdwg.org/dwc/terms/p0021,Leg of the prothoracic segment
p0022:label,Label for midleg http://rs.tdwg.org/dwc/terms/p0022,midleg
p0022:examples,Examples for midleg http://rs.tdwg.org/dwc/terms/p0022,https://www.morphbank.net/?id=102967
p0022:definition,Definition for midleg http://rs.tdwg.org/dwc/terms/p0022,Leg of the mesothoracic segment
p0023:label,Label for hindleg http://rs.tdwg.org/dwc/terms/p0023,hindleg
p0023:examples,Examples for hindleg http://rs.tdwg.org/dwc/terms/p0023,https://www.morphbank.net/?id=468627
p0023:definition,Definition for hindleg http://rs.tdwg.org/dwc/terms/p0023,Leg of the metathoracic segment
p0024:label,Label for eye http://rs.tdwg.org/dwc/terms/p0024,eye
p0024:examples,Examples for eye http://rs.tdwg.org/dwc/terms/p0024,https://commons.wikimedia.org/wiki/File:Compound_eye_of_a_Bumblebee.jpg
p0024:definition,Definition for eye http://rs.tdwg.org/dwc/terms/p0024,An organ that detects light
p0025:label,Label for shell http://rs.tdwg.org/dwc/terms/p0025,shell
p0025:examples,Examples for shell http://rs.tdwg.org/dwc/terms/p0025,https://www.inaturalist.org/photos/251026905
p0025:definition,Definition for shell http://rs.tdwg.org/dwc/terms/p0025,A rigid covering that envelops an object
p0026:label,Label for genitalia http://rs.tdwg.org/dwc/terms/p0026,genitalia
p0026:examples,Examples for genitalia http://rs.tdwg.org/dwc/terms/p0026,"https://commons.wikimedia.org/wiki/File:Dragonfly,_U,_genitalia_top_2013-01-11-14.10.09_ZS_PMax_(8372440610).jpg"
p0026:definition,Definition for genitalia http://rs.tdwg.org/dwc/terms/p0026,The outer sex organs
p0027:label,Label for skull http://rs.tdwg.org/dwc/terms/p0027,skull
p0027:examples,Examples for skull http://rs.tdwg.org/dwc/terms/p0027,https://www.inaturalist.org/photos/251216754
p0027:definition,Definition for skull http://rs.tdwg.org/dwc/terms/p0027,The part of the head consisting entirely of cranium and mandible
p0028:label,Label for cranium http://rs.tdwg.org/dwc/terms/p0028,cranium
p0028:examples,Examples for cranium http://rs.tdwg.org/dwc/terms/p0028,http://arctos.database.museum/media/10508734
p0028:definition,Definition for cranium http://rs.tdwg.org/dwc/terms/p0028,Upper portion of the skull
p0029:label,Label for mandible http://rs.tdwg.org/dwc/terms/p0029,mandible
p0029:examples,Examples for mandible http://rs.tdwg.org/dwc/terms/p0029,http://arctos.database.museum/media/10473443
p0029:definition,Definition for mandible http://rs.tdwg.org/dwc/terms/p0029,A dentary bone that is the only bone in one of the lateral halves of the lower jaw
p0030:label,Label for fin http://rs.tdwg.org/dwc/terms/p0030,fin
p0030:examples,Examples for fin http://rs.tdwg.org/dwc/terms/p0030,https://www.inaturalist.org/photos/249623779
p0030:definition,Definition for fin http://rs.tdwg.org/dwc/terms/p0030,An external projection of an aquatic animal used in propelling or guiding the body
p0031:label,Label for egg http://rs.tdwg.org/dwc/terms/p0031,egg
p0031:examples,Examples for egg http://rs.tdwg.org/dwc/terms/p0031,http://arctos.database.museum/media/10517057
p0031:definition,Definition for egg http://rs.tdwg.org/dwc/terms/p0031,The hard-shelled reproductive body produced by an animal
p0032:label,Label for bud http://rs.tdwg.org/dwc/terms/p0032,bud
p0032:examples,Examples for bud http://rs.tdwg.org/dwc/terms/p0032,http://bioimages.vanderbilt.edu/baskauf/16256
p0032:definition,Definition for bud http://rs.tdwg.org/dwc/terms/p0032,An undeveloped shoot system
