document_modified,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,skos_broader,skos_inScheme,definition,definition_derived_from,usage,notes,examples,controlled_value_string,type
2023-05-07T20:14:27-05:00,p0011,http://rs.tdwg.org/acpart/values/,2023-04-26,2023-04-26,,,,,female cone,p0006,p,Plant strobilis bearing ovules,http://purl.obolibrary.org/obo/PO_0005032,,,http://bioimages.vanderbilt.edu/baskauf/51363,femaleCone,http://www.w3.org/2004/02/skos/core#Concept
2023-05-07T20:14:27-05:00,p0012,http://rs.tdwg.org/acpart/values/,2023-04-26,2023-04-26,,,,,flower,p0007,p,Plant reproductive shoot system containing a carpel,http://purl.obolibrary.org/obo/PO_0009046,,,http://bioimages.vanderbilt.edu/baskauf/52498,flower,http://www.w3.org/2004/02/skos/core#Concept
2023-05-07T20:14:27-05:00,p0013,http://rs.tdwg.org/acpart/values/,2023-04-26,2023-04-26,,,,,head,,p,Anterior-most division of the body,http://purl.obolibrary.org/obo/UBERON_0000033,,,https://monarch.calacademy.org/mnt/target-images/CASTYPE/00001/CASTYPE1503_h.jpg,head,http://www.w3.org/2004/02/skos/core#Concept
2023-05-07T20:14:27-05:00,p0014,http://rs.tdwg.org/acpart/values/,2023-04-26,2023-04-26,,,,,thorax,,p,The middle division of the insect body bearing locomotor appendages,http://purl.obolibrary.org/obo/UBERON_6000015,,,https://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00610536_Lasioglossum_oblongum_thl.jpg,thorax,http://www.w3.org/2004/02/skos/core#Concept
2023-05-07T20:14:27-05:00,p0015,http://rs.tdwg.org/acpart/values/,2023-04-26,2023-04-26,,,,,abdomen,,p,The posterior-most division of the insect body,http://purl.obolibrary.org/obo/UBERON_6000020,,,"https://commons.wikimedia.org/wiki/File:Halictus_scabiosae,_specimen_exonie54,_from_Botevgrad,_Bulgaria_10_(dorsal,_abdomen).jpg",abdomen,http://www.w3.org/2004/02/skos/core#Concept
2023-05-07T20:14:27-05:00,p0016,http://rs.tdwg.org/acpart/values/,2023-04-26,2023-04-26,,,,,leg,,p,Walking appendage,http://purl.obolibrary.org/obo/UBERON_0002101,,,https://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00000547_Halictus_albitarsis_hlg.jpg,leg,http://www.w3.org/2004/02/skos/core#Concept
2023-05-07T20:14:27-05:00,p0017,http://rs.tdwg.org/acpart/values/,2023-04-26,2023-04-26,,,,,wing,,p,Appendage that is shaped in order to produce lift for flight through the air,http://purl.obolibrary.org/obo/UBERON_0000023,,,https://commons.wikimedia.org/wiki/File:Monarch_Butterfly_Danaus_plexippus_Wing_2400px.jpg,wing,http://www.w3.org/2004/02/skos/core#Concept
2023-05-07T20:14:27-05:00,p0018,http://rs.tdwg.org/acpart/values/,2023-04-26,2023-04-26,,,,,antenna,,p,"The paired, usually multiple jointed, sensory organs on the head",http://purl.obolibrary.org/obo/UBERON_0000972,,,"https://commons.wikimedia.org/wiki/File:Blatta_orientalis_male_from_Botevgrad,_Bulgaria_05.jpg",antenna,http://www.w3.org/2004/02/skos/core#Concept
2023-05-07T20:14:27-05:00,p0019,http://rs.tdwg.org/acpart/values/,2023-04-26,2023-04-26,,,,,forewing,p0017,p,The paired insect wing that is continuous with the mesonotum,http://purl.obolibrary.org/obo/AISM_0000037,,,https://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00017211_Melissa_porteri_fwg.jpg,forewing,http://www.w3.org/2004/02/skos/core#Concept
2023-05-07T20:14:27-05:00,p0020,http://rs.tdwg.org/acpart/values/,2023-04-26,2023-04-26,,,,,hindwing,p0017,p,The paired insect wing that is continuous with the metanotum,http://purl.obolibrary.org/obo/AISM_0000038,,,https://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00610195_Agapostemon_texanus_hwg.jpg,hindwing,http://www.w3.org/2004/02/skos/core#Concept
