document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,rdfs_comment,dcterms_description,examples,rdf_type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_usageScope,term_localName
2025-08-17T14:26:42-05:00,http://rs.tdwg.org/eco/iri/version/absentTaxa-2024-03-26,absentTaxa-2024-03-26,http://rs.tdwg.org/eco/iri/version/,2024-03-26,superseded,,,,Absent Taxa (IRI),A taxon reported absent during the dwc:Event.,Absences can be reported at any taxonomic level. Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,,,extension,absentTaxa
2025-08-17T14:26:42-05:00,http://rs.tdwg.org/eco/iri/version/compilationSourceTypes-2024-03-26,compilationSourceTypes-2024-03-26,http://rs.tdwg.org/eco/iri/version/,2024-03-26,superseded,,,,Compilation Source Types (IRI),The type of data source contributing to the compilation reported.,This term is only relevant if the dwc:Event is a compilation in which one or more types of data sources were used. Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,,,extension,compilationSourceTypes
2025-08-17T14:26:42-05:00,http://rs.tdwg.org/eco/iri/version/compilationTypes-2024-03-26,compilationTypes-2024-03-26,http://rs.tdwg.org/eco/iri/version/,2024-03-26,superseded,,,,Compilation Types (IRI),"A statement specifying whether data reported are derived from sampling events, ancillary data compiled from other sources, or a combination of both.",This term is only relevant if the dwc:Event is an inventory. Recommended best practice is to use an IRI from a controlled vocabulary. Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,,,extension,compilationTypes
2024-03-26T14:27:47-05:00,http://rs.tdwg.org/eco/iri/version/eventDurationUnit-2024-03-26,eventDurationUnit-2024-03-26,http://rs.tdwg.org/eco/iri/version/,2024-03-26,recommended,,,,Event Duration Unit (IRI),The units associated with the eco:eventDurationValue.,"Recommended best practice is to use an IRI from a controlled vocabulary of SI units, derived units, or other non-SI units accepted for use within the SI.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,,,extension,eventDurationUnit
2025-08-17T14:26:42-05:00,http://rs.tdwg.org/eco/iri/version/excludedDegreeOfEstablishmentScope-2024-03-26,excludedDegreeOfEstablishmentScope-2024-03-26,http://rs.tdwg.org/eco/iri/version/,2024-03-26,superseded,,,,Excluded Degree of Establishment Scope (IRI),The degree of establishment of the dwc:Organisms explicitly excluded from sampling during the dwc:Event.,"Recommended best practice is to use an IRI from the controlled vocabulary designated for use with this term, listed at http://rs.tdwg.org/dwc/doc/doe/. For details, refer to https://doi.org/10.3897/biss.3.38084 . Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.",`http://rs.tdwg.org/dwcem/values/e001`; `http://rs.tdwg.org/dwcem/values/e005`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,,,extension,excludedDegreeOfEstablishmentScope
2025-08-17T14:26:42-05:00,http://rs.tdwg.org/eco/iri/version/excludedGrowthFormScope-2024-03-26,excludedGrowthFormScope-2024-03-26,http://rs.tdwg.org/eco/iri/version/,2024-03-26,superseded,,,,Excluded Growth Form Scope (IRI),The growth form or habit of the dwc:Organisms explicitly excluded from sampling during the dwc:Event.,Recommended best practice is to use an IRI from a controlled vocabulary. Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,,,extension,excludedGrowthFormScope
2025-08-17T14:26:42-05:00,http://rs.tdwg.org/eco/iri/version/excludedHabitatScope-2024-03-26,excludedHabitatScope-2024-03-26,http://rs.tdwg.org/eco/iri/version/,2024-03-26,superseded,,,,Excluded Habitat Scope (IRI),The habitat explicitly excluded from sampling during the dwc:Event.,Recommended best practice is to use an IRI from a controlled vocabulary. Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,,,extension,excludedHabitatScope
2025-08-17T14:26:42-05:00,http://rs.tdwg.org/eco/iri/version/excludedLifeStageScope-2024-03-26,excludedLifeStageScope-2024-03-26,http://rs.tdwg.org/eco/iri/version/,2024-03-26,superseded,,,,Excluded Life Stage Scope (IRI),The age class or life stage of the dwc:Organisms explicitly excluded from sampling during the dwc:Event.,This term is defined based on dwciri:lifeStage (http://rs.tdwg.org/dwc/terms/iri/lifeStage). Recommended best practice is to use an IRI from the same controlled vocabulary as for dwciri:lifeStage. Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,,,extension,excludedLifeStageScope
2025-08-17T14:26:42-05:00,http://rs.tdwg.org/eco/iri/version/excludedTaxonomicScope-2024-03-26,excludedTaxonomicScope-2024-03-26,http://rs.tdwg.org/eco/iri/version/,2024-03-26,superseded,,,,Excluded Taxonomic Scope (IRI),The taxonomic group explicitly excluded from sampling during the dwc:Event.,"The dwc:Event to which the ecoiri:excludedTaxonomicScope refers could be at any level of hierarchy. In the case of a higher level (parent) dwc:Event, include all the taxonomic groups explicitly excluded from the child dwc:Events that contributed to the parent dwc:Event. Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,,,extension,excludedTaxonomicScope
2024-03-26T14:27:47-05:00,http://rs.tdwg.org/eco/iri/version/geospatialScopeAreaUnit-2024-03-26,geospatialScopeAreaUnit-2024-03-26,http://rs.tdwg.org/eco/iri/version/,2024-03-26,recommended,,,,Geospatial Scope Area Unit (IRI),The units associated with eco:geospatialScopeAreaValue,"Recommended best practice is to use an IRI from a controlled vocabulary of SI units, derived units, or other non-SI units accepted for use within the SI.",,,not in ABCD,,,extension,geospatialScopeAreaUnit
2025-08-17T14:26:42-05:00,http://rs.tdwg.org/eco/iri/version/inventoryTypes-2024-03-26,inventoryTypes-2024-03-26,http://rs.tdwg.org/eco/iri/version/,2024-03-26,superseded,,,,Inventory Types (IRI),The type of search process used to conduct the inventory.,This term is only relevant if the dwc:Event represents an inventory. Recommended best practice is to use an IRI from a controlled vocabulary. Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,,,extension,inventoryTypes
2025-08-17T14:26:42-05:00,http://rs.tdwg.org/eco/iri/version/materialSampleTypes-2024-03-26,materialSampleTypes-2024-03-26,http://rs.tdwg.org/eco/iri/version/,2024-03-26,superseded,,,,Material Sample Types (IRI),A material sample type collected during the dwc:Event.,Recommended best practice is to use an IRI from a controlled vocabulary. Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,,,extension,materialSampleTypes
2025-08-17T14:26:42-05:00,http://rs.tdwg.org/eco/iri/version/nonTargetTaxa-2024-03-26,nonTargetTaxa-2024-03-26,http://rs.tdwg.org/eco/iri/version/,2024-03-26,superseded,,,,Non-target Taxa (IRI),A taxon reported during the dwc:Event that is outside of the target taxonomic scope (the combination of ecoiri:targetTaxonomicScope and ecoiri:excludedTaxonomicScope).,This term is meant to allow a taxon that is considered outside of the taxonomic scope and yet was reported in the dataset to be shared. This term is relevant only if a target taxonomic scope is declared and eco:hasNonTargetTaxa is ‘true’. Taxonomic scope is based on the combination of ecoiri:targetTaxonomicScope and ecoiri:excludedTaxonomicScope. Non-target taxa (in some disciplines called “bycatch”) can be reported at any taxonomic level. Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,,,extension,nonTargetTaxa
2025-08-17T14:26:42-05:00,http://rs.tdwg.org/eco/iri/version/protocolNames-2024-03-26,protocolNames-2024-03-26,http://rs.tdwg.org/eco/iri/version/,2024-03-26,superseded,,,,Protocol Names (IRI),Categorical descriptive name for the methods used during the dwc:Event.,Recommended best practice is to use an IRI from a controlled vocabulary. Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,,,extension,protocolNames
2025-07-07T15:53:13-05:00,http://rs.tdwg.org/eco/iri/version/samplingEffortProtocol-2024-03-26,samplingEffortProtocol-2024-03-26,http://rs.tdwg.org/eco/iri/version/,2024-03-26,superseded,,,,Sampling Effort Protocol (IRI),"A method or protocol used to determine the sampling effort, denoted by an IRI.","This protocol should be associated with the values reported in eco:samplingEffortValue and eco:samplingEffortUnit. This is a specialization of eco:protocolDescription focused on effort, distinct from the survey method. The effort relates to the intensity of sampling and therefore can assist in interpreting estimates of completeness. Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,,,extension,samplingEffortProtocol
2024-03-26T14:27:47-05:00,http://rs.tdwg.org/eco/iri/version/samplingEffortUnit-2024-03-26,samplingEffortUnit-2024-03-26,http://rs.tdwg.org/eco/iri/version/,2024-03-26,recommended,,,,Sampling Effort Unit (IRI),The units associated with the eco:samplingEffortValue.,"Recommended best practice is to use an IRI from a controlled vocabulary of SI units, derived units, or other non-SI units accepted for use within the SI.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,,,extension,samplingEffortUnit
2025-08-17T14:26:42-05:00,http://rs.tdwg.org/eco/iri/version/samplingPerformedBy-2024-03-26,samplingPerformedBy-2024-03-26,http://rs.tdwg.org/eco/iri/version/,2024-03-26,superseded,,,,Sampling Performed By (IRI),"A person, group, or organization responsible for recording the dwc:Event.","The sampling dwc:Event could be at any level of hierarchy. In the case of a higher level (parent) dwc:Event, include all the organizations or people involved in the child dwc:Events that contributed to the parent dwc:Event. Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,,,extension,samplingPerformedBy
2025-08-17T14:26:42-05:00,http://rs.tdwg.org/eco/iri/version/targetDegreeOfEstablishmentScope-2024-03-26,targetDegreeOfEstablishmentScope-2024-03-26,http://rs.tdwg.org/eco/iri/version/,2024-03-26,superseded,,,,Target Degree of Establishment Scope (IRI),The degree of establishment of the dwc:Organisms targeted for sampling during the dwc:Event.,"Recommended best practice is to use an IRI from the controlled vocabulary designated for use with this term, listed at http://rs.tdwg.org/dwc/doc/doe/. For details, refer to https://doi.org/10.3897/biss.3.38084 . Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.",`http://rs.tdwg.org/dwcem/values/e001`; `http://rs.tdwg.org/dwcem/values/e005`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,,,extension,targetDegreeOfEstablishmentScope
