"identifier","context","text"
"v:label","Label for variant concept scheme http://rs.tdwg.org/dwc/terms/v",""
"v:definition","Definition for variant concept scheme http://rs.tdwg.org/dwc/terms/v",""
"v001:label","Label for Thumbnail http://rs.tdwg.org/dwc/terms/v001",""
"v001:definition","Definition for Thumbnail http://rs.tdwg.org/dwc/terms/v001",""
"v001:notes","Notes for Thumbnail http://rs.tdwg.org/dwc/terms/v001",""
"v002:label","Label for Trailer http://rs.tdwg.org/dwc/terms/v002",""
"v002:definition","Definition for Trailer http://rs.tdwg.org/dwc/terms/v002",""
"v003:label","Label for Lower Quality http://rs.tdwg.org/dwc/terms/v003",""
"v003:examples","Examples for Lower Quality http://rs.tdwg.org/dwc/terms/v003",""
"v003:definition","Definition for Lower Quality http://rs.tdwg.org/dwc/terms/v003",""
"v004:label","Label for Medium Quality http://rs.tdwg.org/dwc/terms/v004",""
"v004:examples","Examples for Medium Quality http://rs.tdwg.org/dwc/terms/v004",""
"v004:definition","Definition for Medium Quality http://rs.tdwg.org/dwc/terms/v004",""
"v005:label","Label for Good Quality http://rs.tdwg.org/dwc/terms/v005",""
"v005:examples","Examples for Good Quality http://rs.tdwg.org/dwc/terms/v005",""
"v005:definition","Definition for Good Quality http://rs.tdwg.org/dwc/terms/v005",""
"v006:label","Label for Best Quality http://rs.tdwg.org/dwc/terms/v006",""
"v006:definition","Definition for Best Quality http://rs.tdwg.org/dwc/terms/v006",""
"v007:label","Label for Offline http://rs.tdwg.org/dwc/terms/v007",""
"v007:definition","Definition for Offline http://rs.tdwg.org/dwc/terms/v007",""
"v008:label","Label for Visual http://rs.tdwg.org/dwc/terms/v008",""
"v008:examples","Examples for Visual http://rs.tdwg.org/dwc/terms/v008",""
"v008:definition","Definition for Visual http://rs.tdwg.org/dwc/terms/v008",""
