document_modified,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,definition,usage,notes,examples,type,tdwgutility_organizedInClass
2021-06-27T22:26:15-05:00,Geologists-OrgUnit,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,Geologists OrgUnit,(vCard:OrgUnit),,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,Completeness,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,Completeness,"Free text descrbing the degree of completeness of the specimen e.g. complete, cephalon only, but may describe completeness of a part e.g. complete skull.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,DipDegrees,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,DipDegrees,The dip in degrees of laminae or stratal surfaces in this layer.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,Hazard,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,Hazard,"Container for describing hazards that may be associated with the specimen e.g. radioactive, toxic, carcinogens etc.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,Geologists-PreferredName,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,Geologists PreferredName,"May differ from the first given name: second given name, nickname ('Bob' for 'Robert'), etc. (vCard:Nickname)",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,Geologists-Name,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,Geologists Name,"Full organization or corporate name in multiple languages (en: 'Botanical Garden of ...', de: 'Botanischer Garten von ...'). vCard:Org.OrgName). The Label mechanism also supports acronyms / abbreviations (no vCard equivalent!).",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,AnalysisReferences-CitationDetail,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,AnalysisReferences CitationDetail,"Specific page, figure or illustration number(s) within the reference.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,CrystalMeasurement-Duration,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,CrystalMeasurement Duration,Duration of measurement in time.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,EarthScienceSpecimen,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,EarthScienceSpecimen,Container for details that generally relate to the management of earth science specimens and their individual stratigraphic age (which may be different or more specific than that recorderd for the gathering site or the host rock.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,CrystalMeasurement-Accuracy,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,CrystalMeasurement Accuracy,Statement of accuracy of measurement.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,AnalysisDateTime-TimeOfDayBegin,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,AnalysisDateTime TimeOfDayBegin,Time of day in hours from midnight for an exact point in time or for the beginning of a time period.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,DrillMethod,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,DrillMethod,"How the borehole or well was drilled e.g. reverse circulation drilling, diamond coring, percussion drilling, auger drilling, rotary/barber drilling etc.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,BottomSurface,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,BottomSurface,Container for details of bottom surface of layer or stratum.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,Geologists-SortingName,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,Geologists SortingName,The full name with the elements in preferred sorting sequence (vCard: Sort-String).,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,Geologists-Suffix,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,Geologists Suffix,"Suffix to name that should be output after name, regardless whether it is in sorting sequence (Inherited, Given) or not. Examples: 'Jun.', 'III.'. (vCard:N.Suffix)",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,Contractor,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,Contractor,The drilling contractor who carried out the work.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,BottomSurfaceFeature,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,BottomSurfaceFeature,Text describing features at the base of a layer or stratum.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,DatingQualifier,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,DatingQualifier,"Allows for qualification of date terms e.g. early/lower, middle, late/upper.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,Geologists-Organisation,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,Geologists Organisation,Organisation type from the abcd schema.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,CrystalMeasurement-MeasurementOrFactText,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,CrystalMeasurement MeasurementOrFactText,Free text alternative to atomised version.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,AnalysisReferences-AnalysisReference,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,AnalysisReferences AnalysisReference,Individual documentary reference linked to an analysis. Uses abcd:Reference Type,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,HostRockStratigraphy-BiostratigraphicAttribution-AppliesTo,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,HostRockStratigraphy BiostratigraphicAttribution AppliesTo,"Depending on the use of the type, this can further specify the actual part measured. For example, a measurement of temperature may be a surface, air or sub-surface measurement.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,DiageneticChange,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,DiageneticChange,"Free text for describing any physical and chemical changes that took place in a sediment during the lithification process e.g. compaction, cementation, recrystallisation, dolomitisation and replacement.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,HostRockStratigraphy-BiostratigraphicAttribution,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,HostRockStratigraphy BiostratigraphicAttribution,A single declaration of a fossil zone or subzone.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,CrystalMeasurement-CitationDetail,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,CrystalMeasurement CitationDetail,"Specific page, figure or illustration number(s) within the reference.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,AssemblageOrigin,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,AssemblageOrigin,"Free text description relating to the mode of origin of the assemblage e.g. unknown, allochthonous, autochthonous, paraautochthonous etc.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,AlterationType,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,AlterationType,"Free text describing the type of change that has taken place e.g. chloritisation, migmatisation, cataclastic brecciation etc.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,CrystalMeasurements,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,CrystalMeasurements,Container for measurements of crystal physical and chemical characteristics.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,Geologists-Text,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,Geologists Text,Label text in a specific language.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,AnalysisDateTime-TimeOfDayEnd,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,AnalysisDateTime TimeOfDayEnd,Time of day in hours from midnight for the end of a time period.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,AnalysisDateTime-ExactDate-DateText,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,AnalysisDateTime ExactDate DateText,The date in text format.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,AnalysisDateTime-DayNumberEnd,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,AnalysisDateTime DayNumberEnd,The Julian day number of the last day in a period.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,AllocthonousMaterial,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,AllocthonousMaterial,Container for descriptive elements related to transported material ranging from glacial erratics to meteorites,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,CrystalMeasurement-LowerValue,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,CrystalMeasurement LowerValue,Lower or only value or fact text.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
