"identifier","context","text"
"fundingAttribution:label","Label for Funding Attribution http://rs.tdwg.org/dwc/terms/fundingAttribution",""
"fundingAttribution:rdfs_comment","Comment for Funding Attribution http://rs.tdwg.org/dwc/terms/fundingAttribution",""
"fundingAttribution:dcterms_description","Description for Funding Attribution http://rs.tdwg.org/dwc/terms/fundingAttribution",""
