"identifier","context","text"
"Media:label","Label for Media Entity http://rs.tdwg.org/dwc/terms/Media",""
"Media:rdfs_comment","Comment for Media Entity http://rs.tdwg.org/dwc/terms/Media",""
"Media:dcterms_description","Description for Media Entity http://rs.tdwg.org/dwc/terms/Media",""
"fundingAttribution:label","Label for Funding Attribution http://rs.tdwg.org/dwc/terms/fundingAttribution","Atribución de Financiamiento"
"fundingAttribution:rdfs_comment","Comment for Funding Attribution http://rs.tdwg.org/dwc/terms/fundingAttribution","Descripción textual de las organizaciones o personas que financiaron la creación del recurso."
"fundingAttribution:dcterms_description","Description for Funding Attribution http://rs.tdwg.org/dwc/terms/fundingAttribution",""
