term_localName,label,rdfs_comment,skos_scopeNote,dcterms_description,rdf_type,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_layer,tdwgutility_required,tdwgutility_repeatable
PixelXDimension,Image Width,"Information specific to compressed data. When a compressed file is recorded, the valid width of the meaningful image shall be recorded in this tag, whether or not there is padding data or a restart marker.  This tag shall not exist in an uncompressed file.","The width in pixels of the media specified by the access point. Contrary to the definition, in Audubon Core, this term MAY be used with uncompressed files.","Audubon Core uses this term for any image type, including those to which EXIF does not apply and those that are not a compressed file type like JPEG.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/ServiceAccessPoint,,,No,No
PixelYDimension,Image Height,"Information specific to compressed data. When a compressed file is recorded, the valid height of the meaningful image shall be recorded in this tag, whether or not there is padding data or a restart marker.  This tag shall not exist in an uncompressed file.","The height in pixels of the media specified by the access point. Contrary to the definition, in Audubon Core, this term MAY be used with uncompressed files.","Audubon Core uses this term for any image type, including those to which EXIF does not apply and those that are not a compressed file type like JPEG.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/ServiceAccessPoint,,,No,No
