"identifier","context","text"
"accessRights:label","Label for Access Rights http://rs.tdwg.org/dwc/terms/accessRights",""
"accessRights:rdfs_comment","Comment for Access Rights http://rs.tdwg.org/dwc/terms/accessRights",""
"accessRights:dcterms_description","Description for Access Rights http://rs.tdwg.org/dwc/terms/accessRights",""
"accessRights:examples","Examples for Access Rights http://rs.tdwg.org/dwc/terms/accessRights",""
"bibliographicCitation:label","Label for Bibliographic Citation http://rs.tdwg.org/dwc/terms/bibliographicCitation",""
"bibliographicCitation:rdfs_comment","Comment for Bibliographic Citation http://rs.tdwg.org/dwc/terms/bibliographicCitation",""
"bibliographicCitation:dcterms_description","Description for Bibliographic Citation http://rs.tdwg.org/dwc/terms/bibliographicCitation",""
"bibliographicCitation:examples","Examples for Bibliographic Citation http://rs.tdwg.org/dwc/terms/bibliographicCitation",""
"language:label","Label for Language http://rs.tdwg.org/dwc/terms/language",""
"language:rdfs_comment","Comment for Language http://rs.tdwg.org/dwc/terms/language",""
"language:dcterms_description","Description for Language http://rs.tdwg.org/dwc/terms/language",""
"license:label","Label for License http://rs.tdwg.org/dwc/terms/license",""
"license:rdfs_comment","Comment for License http://rs.tdwg.org/dwc/terms/license",""
"Location:label","Label for Location http://rs.tdwg.org/dwc/terms/Location",""
"Location:rdfs_comment","Comment for Location http://rs.tdwg.org/dwc/terms/Location",""
"modified:label","Label for Date Modified http://rs.tdwg.org/dwc/terms/modified",""
"modified:rdfs_comment","Comment for Date Modified http://rs.tdwg.org/dwc/terms/modified",""
"modified:dcterms_description","Description for Date Modified http://rs.tdwg.org/dwc/terms/modified",""
"modified:examples","Examples for Date Modified http://rs.tdwg.org/dwc/terms/modified",""
"references:label","Label for References http://rs.tdwg.org/dwc/terms/references",""
"references:rdfs_comment","Comment for References http://rs.tdwg.org/dwc/terms/references",""
"references:dcterms_description","Description for References http://rs.tdwg.org/dwc/terms/references",""
"references:examples","Examples for References http://rs.tdwg.org/dwc/terms/references",""
"rightsHolder:label","Label for Rights Holder http://rs.tdwg.org/dwc/terms/rightsHolder",""
"rightsHolder:rdfs_comment","Comment for Rights Holder http://rs.tdwg.org/dwc/terms/rightsHolder",""
