"identifier","context","text"
"accessRights:label","Label for Access Rights http://rs.tdwg.org/dwc/terms/accessRights","Přístupová práva"
"accessRights:rdfs_comment","Comment for Access Rights http://rs.tdwg.org/dwc/terms/accessRights","Informace o tom, kdo má ke zdroji přístup, nebo údaj o jeho stavu zabezpečení."
"accessRights:dcterms_description","Description for Access Rights http://rs.tdwg.org/dwc/terms/accessRights","Přístupová práva mohou zahrnovat informace týkající se přístupu nebo omezení na základě zásad ochrany osobních údajů, bezpečnosti nebo jiných zásad."
"accessRights:examples","Examples for Access Rights http://rs.tdwg.org/dwc/terms/accessRights","`pouze pro neziskové použití` (příklad doslovného řetězce); `https://www.fieldmuseum.org/field-museum-natural-history-conditions-and-suggested-norms-use-collections-data-and-images` (příklad URI)"
"bibliographicCitation:label","Label for Bibliographic Citation http://rs.tdwg.org/dwc/terms/bibliographicCitation","Bibliografická citace"
"bibliographicCitation:rdfs_comment","Comment for Bibliographic Citation http://rs.tdwg.org/dwc/terms/bibliographicCitation","Bibliografický odkaz na zdroj."
"bibliographicCitation:dcterms_description","Description for Bibliographic Citation http://rs.tdwg.org/dwc/terms/bibliographicCitation",""
"bibliographicCitation:examples","Examples for Bibliographic Citation http://rs.tdwg.org/dwc/terms/bibliographicCitation",""
"language:label","Label for Language http://rs.tdwg.org/dwc/terms/language",""
"language:rdfs_comment","Comment for Language http://rs.tdwg.org/dwc/terms/language",""
"language:dcterms_description","Description for Language http://rs.tdwg.org/dwc/terms/language",""
"license:label","Label for License http://rs.tdwg.org/dwc/terms/license",""
"license:rdfs_comment","Comment for License http://rs.tdwg.org/dwc/terms/license",""
"Location:label","Label for Location http://rs.tdwg.org/dwc/terms/Location",""
"Location:rdfs_comment","Comment for Location http://rs.tdwg.org/dwc/terms/Location",""
"modified:label","Label for Date Modified http://rs.tdwg.org/dwc/terms/modified",""
"modified:rdfs_comment","Comment for Date Modified http://rs.tdwg.org/dwc/terms/modified",""
"modified:dcterms_description","Description for Date Modified http://rs.tdwg.org/dwc/terms/modified",""
"modified:examples","Examples for Date Modified http://rs.tdwg.org/dwc/terms/modified",""
"references:label","Label for References http://rs.tdwg.org/dwc/terms/references",""
"references:rdfs_comment","Comment for References http://rs.tdwg.org/dwc/terms/references",""
"references:dcterms_description","Description for References http://rs.tdwg.org/dwc/terms/references",""
"references:examples","Examples for References http://rs.tdwg.org/dwc/terms/references","`http://arctos.database.museum/guid/MVZ:Mamm:165861` (příklad MaterialEntity); `https://www.catalogueoflife.org/data/taxon/32664` (příklad Taxonu)"
"rightsHolder:label","Label for Rights Holder http://rs.tdwg.org/dwc/terms/rightsHolder","Držitel práv"
"rightsHolder:rdfs_comment","Comment for Rights Holder http://rs.tdwg.org/dwc/terms/rightsHolder","Osoba nebo organizace, která vlastní nebo spravuje práva k danému zdroji."
