document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,skos_inScheme,definition,definition_derived_from,usage,notes,examples,controlled_value_string,type,term_localName
2024-03-08T18:06:42-05:00,http://rs.tdwg.org/ecotcr/values/version/tcr-2024-02-28,tcr-2024-02-28,http://rs.tdwg.org/ecotcr/values/version/,2024-02-28,recommended,,,,taxon completeness reported concept scheme,,a SKOS concept scheme for categorizing taxon completeness reporting,,,,,,http://www.w3.org/2004/02/skos/core#ConceptScheme,tcr
2024-03-08T18:06:42-05:00,http://rs.tdwg.org/ecotcr/values/version/tcr00-2024-02-28,tcr00-2024-02-28,http://rs.tdwg.org/ecotcr/values/version/,2024-02-28,recommended,,,,not reported,tcr,Taxonomic completeness was not assessed or reported for the dwc:Event.,,,,,notReported,http://www.w3.org/2004/02/skos/core#Concept,tcr00
2024-03-08T18:06:42-05:00,http://rs.tdwg.org/ecotcr/values/version/tcr01-2024-02-28,tcr01-2024-02-28,http://rs.tdwg.org/ecotcr/values/version/,2024-02-28,recommended,,,,reported complete,tcr,"Taxonomic completeness was assessed for the dwc:Event, and it was determined to be complete.",,,,,reportedComplete,http://www.w3.org/2004/02/skos/core#Concept,tcr01
2024-03-08T18:06:42-05:00,http://rs.tdwg.org/ecotcr/values/version/tcr02-2024-02-28,tcr02-2024-02-28,http://rs.tdwg.org/ecotcr/values/version/,2024-02-28,recommended,,,,reported incomplete,tcr,"Taxonomic completeness was assessed for the dwc:Event, and it was determined to be incomplete.",,,,,reportedIncomplete,http://www.w3.org/2004/02/skos/core#Concept,tcr02
