replacing_version,replaced_version,replaced_version_namespace
http://rs-test.tdwg.org/dwc/dwcore/version/LifeStage-2007-04-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/AgeClass-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/
http://www.iobis.org/obis/version/Lifestage-2005-07-10,http://digir.net/schema/conceptual/darwin/2003/1.0/version/AgeClass-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/
http://digir.net/schema/conceptual/darwin/2003/1.0/version/BasisOfRecord-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/BasisOfRecord-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/
http://rs-test.tdwg.org/dwc/dwcore/version/BasisOfRecord-2007-04-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/BasisOfRecord-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/
http://digir.net/schema/conceptual/darwin/2003/1.0/version/BoundingBox-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/BoundingBox-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/
http://digir.net/schema/conceptual/darwin/2003/1.0/version/CatalogNumberText-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/CatalogNumber-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/
http://rs-test.tdwg.org/dwc/curatorial/version/CatalogNumberNumeric-2007-04-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/CatalogNumberNumeric-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/
http://rs-test.tdwg.org/dwc/terms/version/CatalogNumberNumeric-2008-11-19,http://digir.net/schema/conceptual/darwin/2003/1.0/version/CatalogNumberNumeric-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/
http://rs-test.tdwg.org/dwc/dwcore/version/CatalogNumber-2007-04-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/CatalogNumberText-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/
http://digir.net/schema/conceptual/darwin/2003/1.0/version/Class-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Class-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/
http://rs-test.tdwg.org/dwc/dwcore/version/Class-2007-04-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Class-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/
http://digir.net/schema/conceptual/darwin/2003/1.0/version/CollectionCode-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/CollectionCode-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/
http://rs-test.tdwg.org/dwc/dwcore/version/CollectionCode-2007-04-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/CollectionCode-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/
http://digir.net/schema/conceptual/darwin/2003/1.0/version/Collector-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Collector-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/
http://rs-test.tdwg.org/dwc/dwcore/version/Collector-2007-04-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Collector-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/
http://digir.net/schema/conceptual/darwin/2003/1.0/version/CollectorNumber-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/CollectorNumber-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/
http://rs-test.tdwg.org/dwc/curatorial/version/CollectorNumber-2007-04-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/CollectorNumber-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/
http://digir.net/schema/conceptual/darwin/2003/1.0/version/ContinentOcean-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/ContinentOcean-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/
http://rs-test.tdwg.org/dwc/dwcore/version/Continent-2007-04-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/ContinentOcean-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/
http://rs-test.tdwg.org/dwc/dwcore/version/WaterBody-2007-04-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/ContinentOcean-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/
http://digir.net/schema/conceptual/darwin/2003/1.0/version/CoordinateUncertaintyInMeters-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/CoordinatePrecision-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/
