document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,rdfs_comment,rdf_type,term_localName
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/AgeClass-2003-06-17,AgeClass-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,,,,Age Class,"The age class, reproductive stage, life stage of the biological individual (e.g., juvenile, adult, eft, nymph, etc.).",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,AgeClass
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/BasisOfRecord-2003-06-13,BasisOfRecord-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,superseded,,,,Basis of Record,"An abbreviation indicating whether the record represents an observation (O), living organism (L), specimen (S), germplasm/seed (G), etc.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,BasisOfRecord
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/BasisOfRecord-2003-06-17,BasisOfRecord-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/BasisOfRecord-2003-06-13,,,Basis of Record,"A description indicating whether the record represents an observation, tissue sample, living organism, voucher specimen, germplasm/seed, genetic information, etc.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,BasisOfRecord
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/BoundingBox-2003-06-13,BoundingBox-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,superseded,,,,Bounding Box,"This access point provides a mechanism for performing searches using a bounding box. A Bounding Box element is not typically present in the database, but rather is derived from the Latitude and Longitude columns by the data provider",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,BoundingBox
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/BoundingBox-2003-06-17,BoundingBox-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/BoundingBox-2003-06-13,,,Bounding Box,"This access point provides a mechanism for performing searches using a bounding box. A Bounding Box element is not typically present in the database, but rather is derived from the DecimalLatitude and DecimalLongitude columns by the data provider.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,BoundingBox
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/CatalogNumber-2003-06-13,CatalogNumber-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,deprecated,,,,Catalog Number,"A unique alphanumeric value which identifies an individual record within the collection. It is recommended that this value provides a key by which the actual specimen can be identified. If the specimen has several items such as various types of preparation, this value should identify the individual component of the specimen",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,CatalogNumber
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/CatalogNumberNumeric-2003-06-17,CatalogNumberNumeric-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,,,,Catalog Number Numeric,"The CatalogNumber as a numeric value, if applicable. Allows searching on numeric ranges of CatalogNumbers.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,CatalogNumberNumeric
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/CatalogNumberText-2003-06-17,CatalogNumberText-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/CatalogNumber-2003-06-13,,,Catalog Number Text,An alphanumeric value which identifies an individual cataloged item within the collection. It is recommended that this value provides a key by which the individual cataloged item can be identified.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,CatalogNumberText
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Class-2003-06-13,Class-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,superseded,,,,Class,The class name of the organism,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Class
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Class-2003-06-17,Class-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Class-2003-06-13,,,Class,The phylogenetic class to which the cataloged item belongs.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Class
