rdf_type,replacing_version,replacing_version_localName,replacing_version_namespace,replaced_version,replaced_version_namespace,replaced_version_localName
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/version/coordinateUncertaintyInMeters-2009-04-24,coordinateUncertaintyInMeters-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,http://rs-test.tdwg.org/dwc/geospatial/version/CoordinateUncertaintyInMeters-2007-04-17,http://rs-test.tdwg.org/dwc/geospatial/version/,CoordinateUncertaintyInMeters-2007-04-17
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/version/decimalLatitude-2009-04-24,decimalLatitude-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,http://rs-test.tdwg.org/dwc/geospatial/version/DecimalLatitude-2007-04-17,http://rs-test.tdwg.org/dwc/geospatial/version/,DecimalLatitude-2007-04-17
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/version/decimalLongitude-2009-04-24,decimalLongitude-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,http://rs-test.tdwg.org/dwc/geospatial/version/DecimalLongitude-2007-04-17,http://rs-test.tdwg.org/dwc/geospatial/version/,DecimalLongitude-2007-04-17
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/version/footprintSpatialFit-2009-04-24,footprintSpatialFit-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,http://rs-test.tdwg.org/dwc/geospatial/version/FootprintSpatialFit-2007-04-17,http://rs-test.tdwg.org/dwc/geospatial/version/,FootprintSpatialFit-2007-04-17
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/version/footprintWKT-2009-04-24,footprintWKT-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,http://rs-test.tdwg.org/dwc/geospatial/version/FootprintWKT-2007-04-17,http://rs-test.tdwg.org/dwc/geospatial/version/,FootprintWKT-2007-04-17
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/version/geodeticDatum-2009-04-24,geodeticDatum-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,http://rs-test.tdwg.org/dwc/geospatial/version/GeodeticDatum-2007-04-17,http://rs-test.tdwg.org/dwc/geospatial/version/,GeodeticDatum-2007-04-17
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/version/georeferenceProtocol-2009-04-24,georeferenceProtocol-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,http://rs-test.tdwg.org/dwc/geospatial/version/GeoreferenceProtocol-2007-04-17,http://rs-test.tdwg.org/dwc/geospatial/version/,GeoreferenceProtocol-2007-04-17
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/version/georeferenceRemarks-2009-04-24,georeferenceRemarks-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,http://rs-test.tdwg.org/dwc/geospatial/version/GeoreferenceRemarks-2007-04-17,http://rs-test.tdwg.org/dwc/geospatial/version/,GeoreferenceRemarks-2007-04-17
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/version/georeferenceSources-2009-04-24,georeferenceSources-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,http://rs-test.tdwg.org/dwc/geospatial/version/GeoreferenceSources-2007-04-17,http://rs-test.tdwg.org/dwc/geospatial/version/,GeoreferenceSources-2007-04-17
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/version/georeferenceVerificationStatus-2009-04-24,georeferenceVerificationStatus-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,http://rs-test.tdwg.org/dwc/geospatial/version/GeoreferenceVerificationStatus-2007-04-17,http://rs-test.tdwg.org/dwc/geospatial/version/,GeoreferenceVerificationStatus-2007-04-17
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/version/pointRadiusSpatialFit-2009-04-24,pointRadiusSpatialFit-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,http://rs-test.tdwg.org/dwc/geospatial/version/PointRadiusSpatialFit-2007-04-17,http://rs-test.tdwg.org/dwc/geospatial/version/,PointRadiusSpatialFit-2007-04-17
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/version/verbatimCoordinates-2009-04-24,verbatimCoordinates-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,http://rs-test.tdwg.org/dwc/geospatial/version/VerbatimCoordinates-2007-04-17,http://rs-test.tdwg.org/dwc/geospatial/version/,VerbatimCoordinates-2007-04-17
