document_modified,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,rdfs_comment,rdf_type
2017-09-23T06:53:00-05:00,abcdEquivalence,http://rs-test.tdwg.org/dwc/terms/attributes/,2009-01-25,2009-01-25,,,,,ABCD Equivalence,Used to show the xpath(s) to the equivalent term(s) in the current version of the Access to Biological Collections Data (ABCD) schema.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
2017-09-23T06:53:00-05:00,organizedInClass,http://rs-test.tdwg.org/dwc/terms/attributes/,2009-08-24,2009-08-24,,,,,Organized in Class,Used to organize properties within classes for easier human understanding.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
2017-09-23T06:53:00-05:00,decision,http://rs-test.tdwg.org/dwc/terms/attributes/,2009-01-25,2017-10-10,,,,,Has Decision,Used to reference the formal decision that resulted in this version of the term.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
2017-09-23T06:53:00-05:00,status,http://rs-test.tdwg.org/dwc/terms/attributes/,2009-01-25,2009-01-25,,,,,Status,Used to indicate if the term is recommended for use or if it is only of historical significance.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
2017-09-23T06:53:00-05:00,Vocabulary,http://rs-test.tdwg.org/dwc/terms/attributes/,2017-06-06,2017-06-06,,,,,Vocabulary ,A collection of standardized terms. ,http://www.w3.org/2000/01/rdf-schema#Class
2017-09-23T06:53:00-05:00,TermList,http://rs-test.tdwg.org/dwc/terms/attributes/,2017-06-06,2017-06-06,,,,,Term List ,"An IRI-identified set of terms that is part of a vocabulary and that includes terms within the vocabulary that are grouped in a particular way, such as falling within a particular namespace. ",http://www.w3.org/2000/01/rdf-schema#Class
2017-09-23T06:53:00-05:00,layer,http://rs-test.tdwg.org/dwc/terms/attributes/,2017-09-23,2017-09-23,,,,,Layer,Used to indicate the centrality of vocabulary terms.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
2017-09-23T06:53:00-05:00,required,http://rs-test.tdwg.org/dwc/terms/attributes/,2017-09-23,2017-09-23,,,,,Required,Indicates that a term is required to conform to a profile.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
2017-09-23T06:53:00-05:00,repeatable,http://rs-test.tdwg.org/dwc/terms/attributes/,2017-09-23,2017-09-23,,,,,Repeatable,Indicates that the term may be repeated in a metadata record.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
2017-09-23T06:53:00-05:00,UseWithIRI,http://rs-test.tdwg.org/dwc/terms/attributes/,2017-09-23,2017-09-23,,,,,Use with IRI,Indicates that the term should have an IRI value.,http://www.w3.org/2000/01/rdf-schema#Class
2017-10-10T08:14:00-05:00,DecisionClass,http://rs-test.tdwg.org/dwc/terms/attributes/,2017-10-10,2017-10-10,,,,,A Decision,A decision made by the TDWG Executive Committee.,http://www.w3.org/2000/01/rdf-schema#Class
2018-06-14T13:58:00-05:00,Management,http://rs-test.tdwg.org/dwc/terms/attributes/,2018-06-14,2018-06-14,,,,,Management Category,Indicates that the term should be included in the Management category.,http://www.w3.org/2000/01/rdf-schema#Class
2018-06-14T13:58:00-05:00,Attribution,http://rs-test.tdwg.org/dwc/terms/attributes/,2018-06-14,2018-06-14,,,,,Attribution Category,Indicates that the term should be included in the Attribution category.,http://www.w3.org/2000/01/rdf-schema#Class
2018-06-14T13:58:00-05:00,ContentCoverage,http://rs-test.tdwg.org/dwc/terms/attributes/,2018-06-14,2018-06-14,,,,,Content Coverage Category,Indicates that the term should be included in the Content Coverage category.,http://www.w3.org/2000/01/rdf-schema#Class
2018-06-14T13:58:00-05:00,TaxonomicCoverage,http://rs-test.tdwg.org/dwc/terms/attributes/,2018-06-14,2018-06-14,,,,,Taxonomic Coverage Category,Indicates that the term should be included in the Taxonomic Coverage category.,http://www.w3.org/2000/01/rdf-schema#Class
2018-06-14T13:58:00-05:00,ResourceCreation,http://rs-test.tdwg.org/dwc/terms/attributes/,2018-06-14,2018-06-14,,,,,Resource Creation Category,Indicates that the term should be included in the Resource Creation category.,http://www.w3.org/2000/01/rdf-schema#Class
2018-06-14T13:58:00-05:00,RelatedResource,http://rs-test.tdwg.org/dwc/terms/attributes/,2018-06-14,2018-06-14,,,,,Related Resources Category,Indicates that the term should be included in the Related Resources category.,http://www.w3.org/2000/01/rdf-schema#Class
2018-06-14T13:58:00-05:00,ServiceAccessPoint,http://rs-test.tdwg.org/dwc/terms/attributes/,2018-06-14,2018-06-14,,,,,Service Access Point,"A specific digital representation of a resource (e.g., a specific resolution, quality, or format).",http://www.w3.org/2000/01/rdf-schema#Class
