term_localName,label,rdfs_comment,dcterms_description,examples,rdf_type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_usageScope
acceptedNameUsage,Accepted Name Usage,"The full name, with authorship and date information if known, of the currently valid (zoological) or accepted (botanical) taxon.",,`Tamias minimus` (valid name for Eutamias minimus).,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/Taxon,,simple
acceptedNameUsageID,Accepted Name Usage ID,An identifier for the name usage (documented meaning of the name according to a source) of the currently valid (zoological) or accepted (botanical) taxon.,,`8fa58e08-08de-4ac1-b69c-1235340b7001`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/Taxon,,simple
associatedMedia,Associated Media,"A list (concatenated and separated) of identifiers (publication, global unique identifier, URI) of media associated with the Occurrence.",,"`http://arctos.database.museum/SpecimenImages/UAMObs/Mamm/2/P7291179.JPG`, `http://204.140.246.24/Fish/Collection%20Pictures/10118-00.jpg | http://204.140.246.24/Fish/Collection%20Pictures/10118-00a.jpg`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/MultimediaObjects,http://rs.tdwg.org/dwc/terms/Occurrence,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-30_16,simple
associatedOccurrences,Associated Occurrences,A list (concatenated and separated) of identifiers of other Occurrence records and their associations to this Occurrence.,,`http://arctos.database.museum/guid/MSB:Mamm:292063?seid=3175067 | http://arctos.database.museum/guid/MSB:Mamm:292063?seid=3177393 | http://arctos.database.museum/guid/MSB:Mamm:292063?seid=3177394 | http://arctos.database.museum/guid/MSB:Mamm:292063?seid=3177392 | http://arctos.database.museum/guid/MSB:Mamm:292063?seid=3609139`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Associations/UnitAssociation/AssociatedUnitSourceInstitutionCode + DataSets/DataSet/Units/Unit/Associations/UnitAssociation/AssociatedUnitSourceName + DataSets/DataSet/Units/Unit/Associations/UnitAssociation/AssociatedUnitID,http://rs.tdwg.org/dwc/terms/Organism,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-30_16,simple
associatedOrganisms,Associated Organisms,A list (concatenated and separated) of identifiers of other Organisms and their associations to this Organism.,,"`""sibling of"":""DMNS:Mamm http://arctos.database.museum/guid/DMNS:Mamm:14171""`, `""parent of"":""MSB:Mamm http://arctos.database.museum/guid/MSB:Mamm:196208"" | ""parent of"":""MSB:Mamm http://arctos.database.museum/guid/MSB:Mamm:196523"" | ""sibling of"":""MSB:Mamm http://arctos.database.museum/guid/MSB:Mamm:142638""`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/Organism,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_14,simple
associatedReferences,Associated References,"A list (concatenated and separated) of identifiers (publication, bibliographic reference, global unique identifier, URI) of literature associated with the Occurrence.",,"`http://www.sciencemag.org/cgi/content/abstract/322/5899/261`, `Christopher J. Conroy, Jennifer L. Neuwald. 2008. Phylogeographic study of the California vole, Microtus californicus Journal of Mammalogy, 89(3):755-767.`, `Steven R. Hoofer and Ronald A. Van Den Bussche. 2001. Phylogenetic Relationships of Plecotine Bats and Allies Based on Mitochondrial Ribosomal Sequences. Journal of Mammalogy 82(1):131-137. | Walker, Faith M., Jeffrey T. Foster, Kevin P. Drees, Carol L. Chambers. 2014. Spotted bat (Euderma maculatum) microsatellite discovery using illumina sequencing. Conservation Genetics Resources.`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/UnitReferences,http://rs.tdwg.org/dwc/terms/Occurrence,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-30_16,simple
associatedSequences,Associated Sequences,"A list (concatenated and separated) of identifiers (publication, global unique identifier, URI) of genetic sequence information associated with the Occurrence.",,"`http://www.ncbi.nlm.nih.gov/nuccore/U34853.1`, `http://www.ncbi.nlm.nih.gov/nuccore/GU328060 | http://www.ncbi.nlm.nih.gov/nuccore/AF326093`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Sequences/Sequence/ID-in-Database + constant,http://rs.tdwg.org/dwc/terms/Occurrence,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-30_16,simple
associatedTaxa,Associated Taxa,A list (concatenated and separated) of identifiers or names of taxa and their associations with the Occurrence.,,"`""host"":""Quercus alba""`, `""parasitoid of"":""Cyclocephala signaticollis"" | ""predator of"":""Apis mellifera""`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa,http://rs.tdwg.org/dwc/terms/Occurrence,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-30_16,simple
basisOfRecord,Basis of Record,The specific nature of the data record.,Recommended best practice is to use the standard label of one of the Darwin Core classes.,"`PreservedSpecimen`, `FossilSpecimen`, `LivingSpecimen`, `MaterialSample`, `Event`, `HumanObservation`, `MachineObservation`, `Taxon`, `Occurrence`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/RecordBasis,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15,simple
bed,Bed,The full name of the lithostratigraphic bed from which the cataloged item was collected.,,`Harlem coal`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/GeologicalContext,,simple
behavior,Behavior,The behavior shown by the subject at the time the Occurrence was recorded.,,"`roosting`, `foraging`, `running`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/Occurrence,,simple
catalogNumber,Catalog Number,An identifier (preferably unique) for the record within the data set or collection.,,"`145732`, `145732a`, `2008.1334`, `R-4313`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/UnitID,http://rs.tdwg.org/dwc/terms/Occurrence,,simple
class,Class,The full scientific name of the class in which the taxon is classified.,,"`Mammalia`, `Hepaticopsida`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/HigherTaxa/HigherTaxon/HigherTaxonName with HigherTaxa/HigherTaxon/HigherTaxonRank = classis,http://rs.tdwg.org/dwc/terms/Taxon,,simple
collectionCode,Collection Code,"The name, acronym, coden, or initialism identifying the collection or data set from which the record was derived.",,"`Mammals`, `Hildebrandt`, `EBIRD`, `VP`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/SourceID,http://rs.tdwg.org/dwc/terms/,,simple
collectionID,Collection ID,An identifier for the collection or dataset from which the record was derived.,"For physical specimens, the recommended best practice is to use an identifier from a collections registry such as the Global Registry of Biodiversity Repositories (http://grbio.org/).","`http://biocol.org/urn:lsid:biocol.org:col:1001`, `http://grbio.org/cool/p5fp-c036`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/SourceID,http://rs.tdwg.org/dwc/terms/,,simple
continent,Continent,The name of the continent in which the Location occurs.,Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,"`Africa`, `Antarctica`, `Asia`, `Europe`, `North America`, `Oceania`, `South America`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Gathering/NamedAreas/NamedArea/AreaName with NamedAreas/NamedArea/AreaClass= Continent,http://purl.org/dc/terms/Location,,simple
