term_localName,label,definition,usage,notes,examples,type,tdwgutility_organizedInClass
BottomSurface,BottomSurface,Container for details of bottom surface of layer or stratum.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Geologists-SortingName,Geologists SortingName,The full name with the elements in preferred sorting sequence (vCard: Sort-String).,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Geologists-Suffix,Geologists Suffix,"Suffix to name that should be output after name, regardless whether it is in sorting sequence (Inherited, Given) or not. Examples: 'Jun.', 'III.'. (vCard:N.Suffix)",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Contractor,Contractor,The drilling contractor who carried out the work.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
BottomSurfaceFeature,BottomSurfaceFeature,Text describing features at the base of a layer or stratum.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
DatingQualifier,DatingQualifier,"Allows for qualification of date terms e.g. early/lower, middle, late/upper.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Geologists-Organisation,Geologists Organisation,Organisation type from the abcd schema.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
CrystalMeasurement-MeasurementOrFactText,CrystalMeasurement MeasurementOrFactText,Free text alternative to atomised version.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AnalysisReferences-AnalysisReference,AnalysisReferences AnalysisReference,Individual documentary reference linked to an analysis. Uses abcd:Reference Type,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
HostRockStratigraphy-BiostratigraphicAttribution-AppliesTo,HostRockStratigraphy BiostratigraphicAttribution AppliesTo,"Depending on the use of the type, this can further specify the actual part measured. For example, a measurement of temperature may be a surface, air or sub-surface measurement.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
DiageneticChange,DiageneticChange,"Free text for describing any physical and chemical changes that took place in a sediment during the lithification process e.g. compaction, cementation, recrystallisation, dolomitisation and replacement.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
HostRockStratigraphy-BiostratigraphicAttribution,HostRockStratigraphy BiostratigraphicAttribution,A single declaration of a fossil zone or subzone.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
CrystalMeasurement-CitationDetail,CrystalMeasurement CitationDetail,"Specific page, figure or illustration number(s) within the reference.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AssemblageOrigin,AssemblageOrigin,"Free text description relating to the mode of origin of the assemblage e.g. unknown, allochthonous, autochthonous, paraautochthonous etc.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AlterationType,AlterationType,"Free text describing the type of change that has taken place e.g. chloritisation, migmatisation, cataclastic brecciation etc.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
CrystalMeasurements,CrystalMeasurements,Container for measurements of crystal physical and chemical characteristics.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Geologists-Text,Geologists Text,Label text in a specific language.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AnalysisDateTime-TimeOfDayEnd,AnalysisDateTime TimeOfDayEnd,Time of day in hours from midnight for the end of a time period.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AnalysisDateTime-ExactDate-DateText,AnalysisDateTime ExactDate DateText,The date in text format.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AnalysisDateTime-DayNumberEnd,AnalysisDateTime DayNumberEnd,The Julian day number of the last day in a period.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AllocthonousMaterial,AllocthonousMaterial,Container for descriptive elements related to transported material ranging from glacial erratics to meteorites,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
CrystalMeasurement-LowerValue,CrystalMeasurement LowerValue,Lower or only value or fact text.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
CommissionedBy,CommissionedBy,Company or organisation who commissioned the borehole or well.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Certainty,Certainty,"Degree of certainty associated with the date determination e.g. unknown, certain, uncertain, possibly, known wrong.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Geologists-Person,Geologists Person,Person type from the abcd schema.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AlterationDegree,AlterationDegree,Free text describing the degree of alteration or metamorphic phase that has affected a rock. [This element may need to be split into hydrothermal mineralogical change and metamorphic phases],,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
CrystalMeasurement-MeasurementOrFactReference,CrystalMeasurement MeasurementOrFactReference,Reference (publication) where this measurement was taken from.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
CrystalMeasurement-UpperValue,CrystalMeasurement UpperValue,Upper value where there is a range.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Bioerosion,Bioerosion,"Free text description of damage due to biological action, such as, boring worms and sponges.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AnalysisDateTime-DayNumberBegin,AnalysisDateTime DayNumberBegin,Julian day number in the year for the exact date or for the beginning day of a period,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
CrystalMeasurement-MeasurementDateTime,CrystalMeasurement MeasurementDateTime,Date and/or Time the measurement was taken.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
CrystalMeasurement-UnitOfMeasurement,CrystalMeasurement UnitOfMeasurement,Unit of measurement.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
DistanceFromBaseline,DistanceFromBaseline,Number representing distance measured.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
CrystalMeasurement-URI,CrystalMeasurement URI,Universal Resource Identifier - Path to electronic source of document.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AnalysisDateTime-ISODateTimeEnd,AnalysisDateTime ISODateTimeEnd,The end of a period expressed in a modified ISO/ANSI 8601 standard structured format.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
HostRockStratigraphy-BiostratigraphicAttribution-Abbreviation,HostRockStratigraphy BiostratigraphicAttribution Abbreviation,"Restricted to 50 characters maximum length, including blanks (recommended to be shorter!). Label abbreviations are especially important when displaying information in a tabular format.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AnalysisDateTime-ExactDate,AnalysisDateTime ExactDate,Uses DateTime element from ABCD.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Geologists-Prefix,Geologists Prefix,"Prefix to inherited name that should be output before name, but is usually not included in sorting. Examples: 'von', 'Lord'. Compare Title for 'Prof', 'Dr.' (vCard:N.Prefix)",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Geologists-InheritedName,Geologists InheritedName,"Family names, generational names, clan name, parents/grandparents personal names, etc. This (= last name in western cultures) may be compound ('Fischer von Waldheim', 'da Selva', 'Silvano Morales'). Depending on culture it is not necessarily the name of the parents nor common to the married couple and children, thus 'family name' should be avoided even though used in vCard.  (vCard:N.Family)",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Geologists-FullName,Geologists FullName,Preferred form of personal name for display as a string.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Borehole,Borehole,Container for details specific to boreholes and wells. Does not contain spatial reference as this and details of platform etc. are under Gathering in main ABCD schema - but they could be copied to make an independent schema.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Geologists-OrgUnits,Geologists OrgUnits,If the contact contains no person definition: the unit within the organization the agent represents; else a list of the various organisational units to which a person may belong. (vCard:OrgUnit),,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
CrystalMeasurement-MeasuredBy,CrystalMeasurement MeasuredBy,Attribution of the measurement to a Person,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
CrystalMeasurement-IsQuantitative,CrystalMeasurement IsQuantitative,Flag indicating if the value represents the numerical result of a quantitative measurement (TRUE) or a descriptor with textual or categorical result (FALSE).,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
HostRockStratigraphy-BiostratigraphicAttribution-Accuracy,HostRockStratigraphy BiostratigraphicAttribution Accuracy,Statement of accuracy of measurement.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AnalysisDateTime-PeriodExplicit,AnalysisDateTime PeriodExplicit,"Set to True if the event takes place for the period indicated, set to False if it occurs at some point of time during the period, not filled if unknown or no period specified.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
AnalysisReferences-URI,AnalysisReferences URI,Universal Resource Identifier - Path to electronic source of document.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Encrustation,Encrustation,"Free text description of biological encrustations, such as oysters and tube worms.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
HoleDiameter,HoleDiameter,Diameter of the borehole in milliimetres.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Geologists-GivenNames,Geologists GivenNames,"The name given to a person as a personal name (= first or christian name in western cultures, including 'middle initials') may contain several words ('Ana Maria', 'Jerry B.'). Applicable only to persons. (vCard:N.Given + vCard:N.Middle)",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Articulation,Articulation,"Free text description of the articulation in the preserved specimen - applies to invertebrate shells and exoskeletons as well as vertebrate skeletons. e.g. articulated, dis-articulated, single valves etc.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
