document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,definition,usage,notes,examples,rdf_type,isRequiredBy,tdwgutility_repeatable,term_localName
2026-05-12T12:57:38+02:00,http://rs.tdwg.org/mids/elements/version/physicalSpecimenID-2026-MM-DD,physicalSpecimenID-2026-MM-DD,http://rs.tdwg.org/mids/elements/version/,2026-MM-DD,recommended,,,,Physical Specimen ID,"A unique identity for the specimen within the curating institution. Whatever the institution uses to uniquely identify the item. For example: DOI, stable identifier, catalogue number, barcode, etc.","It is strongly recommended to use a globally unique persistent identifier, preferably resolvable, e.g. CETAF Stable Identifiers or DOIs. It is strongly recommended to map these to the DwC term materialSampleID.",To allow the curator/researcher to identify the physical specimen to which the data refer. To allow citation of the specimen. To enable the attachment of additional information to the specimen record.,,https://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Biology|Geology|Palaeontology,No,physicalSpecimenID
2026-05-12T12:57:38+02:00,http://rs.tdwg.org/mids/elements/version/organization-2026-MM-DD,organization-2026-MM-DD,http://rs.tdwg.org/mids/elements/version/,2026-MM-DD,recommended,,,,Organization,A term to indicate in which institution the specimen is held. This may include an institution code and an institution identifier.,"It is strongly recommended to include a human readable term and a globally unique persistent and resolvable identifier from GrSciColl, GRID, ROR, etc.",To allow a user to discover the location of the physical specimen to access additional information or to request access to the physical specimen.,,https://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Biology|Geology|Palaeontology,No,organization
2026-05-12T12:57:38+02:00,http://rs.tdwg.org/mids/elements/version/name-2026-MM-DD,name-2026-MM-DD,http://rs.tdwg.org/mids/elements/version/,2026-MM-DD,recommended,,,,Name,"A name given to the object. Any string of characters and/or numbers by which the object is referenced within a collection. For example, the name the specimen is stored under, its scientific or taxonomic name if known, how it is labelled, etc. This name is not necessarily its name according to an accepted scientific classification, identification, or taxonomic determination (i.e., scientific name) but it often can be the same as that.","It is recommended to follow standard nomenclators, e.g. the International Plant Names Index (IPNI), MycoBank, AlgaeBase, Mindat, etc",Information to aid the discoverability of specimens by users and the ability to retrieve them within a collection.,,https://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Biology|Geology|Palaeontology,No,name
2026-05-12T12:57:38+02:00,http://rs.tdwg.org/mids/elements/version/objectType-2026-MM-DD,objectType-2026-MM-DD,http://rs.tdwg.org/mids/elements/version/,2026-MM-DD,recommended,,,,Object Type,General term to describe the kind of specimen.,It is recommended to use the ontology being developed for the DwC term Preparations.,"To enable curators to determine equipment/method/cost of imaging the specimen, to enable researchers to determine equipment/method required for viewing/analysing the specimen, to enable curators/researchers to know in which collection/location within the institution the specimen is held.",,https://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Biology|Geology|Palaeontology,No,objectType
2026-05-12T12:57:38+02:00,http://rs.tdwg.org/mids/elements/version/license-2026-MM-DD,license-2026-MM-DD,http://rs.tdwg.org/mids/elements/version/,2026-MM-DD,recommended,,,,License,License under which the specimen data are published.,Use Creative Commons license framework. Use as unrestricted license as possible.,To enable all users to determine how they can use the specimen data.,,https://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Biology|Geology|Palaeontology,No,license
2026-05-12T12:57:38+02:00,http://rs.tdwg.org/mids/elements/version/modified-2026-MM-DD,modified-2026-MM-DD,http://rs.tdwg.org/mids/elements/version/,2026-MM-DD,recommended,,,,Modified,"UTC date/time of date/time of first creation or subsequent modification, if any.","Use ISO 8601. UTC date/time, extended format (for human readability).",To enable users (humans/machines) to determine if there have been any changes to the record since it was last viewed.,,https://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Biology|Geology|Palaeontology,No,modified
2026-05-12T12:57:38+02:00,http://rs.tdwg.org/mids/elements/version/qualitativeLocation-2026-MM-DD,qualitativeLocation-2026-MM-DD,http://rs.tdwg.org/mids/elements/version/,2026-MM-DD,recommended,,,,Qualitative Location,A term to describe the where the specimen was collected. In combination with quantitativeLocation; should capture textual geographic information.,"The most precise locality should be captured, given information available with the specimen. It is recommended to include additional higher level geography, mapped to the appropriate terms, to reduce ambiguity of place names.",A human readable location. Can also be used to help identify the quantitativeLocation.,,https://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Biology|Geology|Palaeontology,No,qualitativeLocation
2026-05-12T12:57:38+02:00,http://rs.tdwg.org/mids/elements/version/quantitativeLocation-2026-MM-DD,quantitativeLocation-2026-MM-DD,http://rs.tdwg.org/mids/elements/version/,2026-MM-DD,recommended,,,,Quantitative Location,"A term to describe where the specimen was collected. A quantitative measure that would include coordinate or shape data, an identifier, or data that can be easily converted into a quantitative measure. In combination with the qualitative term, qualitativeLocality.","It is strongly recommended to follow the best practice in the Georeferencing Quick Reference Guide (Zermoglio PF, Chapman AD, Wieczorek JR, Luna MC & Bloom DA, 2020 https://doi.org/10.35035/e09p-h128). It is recommended to use an identifier for the most precise spatial region or named place, given information available with the specimen. If an identifier is not being used then the data should correspond to a recognised geographic standard (eg, OGC webservices, WFS, ISO 3166, Geonames, GADM)",To enable a person or machine to identify and/or map the geographical location in which the collection was made.,,https://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Biology|Geology|Palaeontology,No,quantitativeLocation
2026-05-12T12:57:38+02:00,http://rs.tdwg.org/mids/elements/version/collectingAgent-2026-MM-DD,collectingAgent-2026-MM-DD,http://rs.tdwg.org/mids/elements/version/,2026-MM-DD,recommended,,,,Collecting Agent,"A list (concatenated and separated) of names of people, groups, or organizations responsible for recording the original Occurrence.","It is recommended to include a verbatim version of the name as it appears on the label. The primary collector or observer, especially one who applies a collecting identifier (recordNumber), should be listed first. It is also strongly recommended to also include people identifiers such as ORCID, Wikidata (See mids:CollectorID).",For many biological collections the collector in combination with collectingNumber has been used as an identifier for the specimen in literature. It also helps in the identification and validation of the collecting location.,,https://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Biology,Yes,collectingAgent
2026-05-12T12:57:38+02:00,http://rs.tdwg.org/mids/elements/version/dateCollected-2026-MM-DD,dateCollected-2026-MM-DD,http://rs.tdwg.org/mids/elements/version/,2026-MM-DD,recommended,,,,Date Collected,"The date/time at which a gathering event occurred. For specimen gathering, this is the date/time when the event was recorded.",It is strongly recommended to use ISO 8601 standard with extended format for human readability. s.d. (sine diem - without date) or equivalent if not present or not known.,To provide accurate information about when the specimen was collected.,,https://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Biology,No,dateCollected
2026-05-12T12:57:38+02:00,http://rs.tdwg.org/mids/elements/version/collectingNumber-2026-MM-DD,collectingNumber-2026-MM-DD,http://rs.tdwg.org/mids/elements/version/,2026-MM-DD,recommended,,,,Collecting Number,An identifier given to the specimen at the time it was recorded. Often serves as a link between field notes and a specimen record.,It is recommended to use s.n. (sine numero - without number) or equivalent if not present.,For many biological collections the collector in combination with collectingNumber has been used as an identifier for the specimen in literature. It also helps in the identification and validation of the collecting location.,,https://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Biology,No,collectingNumber
2026-05-12T12:57:38+02:00,http://rs.tdwg.org/mids/elements/version/media-2026-MM-DD,media-2026-MM-DD,http://rs.tdwg.org/mids/elements/version/,2026-MM-DD,recommended,,,,Media,A list (concatenated and separated) of media associated with the specimen.,It is strongly recommended to follow Audiovisual Core standards; identifier for IIIF manifest and/or image,To allow a user to locate mediafiles of the specimen.,,https://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Biology,Yes,media
2026-05-12T12:57:38+02:00,http://rs.tdwg.org/mids/elements/version/organizationID-2026-MM-DD,organizationID-2026-MM-DD,http://rs.tdwg.org/mids/elements/version/,2026-MM-DD,recommended,,,,Organization ID,An identifier for the institution having custody of the object(s).,"It is strongly recommended to use a globally unique persistent and resolvable identifier such as GrSciColl, ROR.",To allow a user (human or machine) to locate the physical location of the specimen.,,https://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Biology|Geology|Palaeontology,No,organizationID
2026-05-12T12:57:38+02:00,http://rs.tdwg.org/mids/elements/version/collectingAgentID-2026-MM-DD,collectingAgentID-2026-MM-DD,http://rs.tdwg.org/mids/elements/version/,2026-MM-DD,recommended,,,,Collecting Agent ID,"A list (concatenated and separated) of the identifier(s) for the person, people, groups, or expeditions responsible for collecting the specimen.","It is strongly recommended to use resolvable ORCiD identifiers for people, or Wikidata identifiers for people or expeditions. It is also recommended to list the primary collectorID, especially one who applies a field/collecting number, first.",To uniquely identify the collector of a specimen in a machine readable format.,,https://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Biology|Geology|Palaeontology,Yes,collectingAgentID
