header,predicate,type,value,attribute,subject_id
term_isDefinedBy,rdfs:isDefinedBy,iri,,,$root
term_isDefinedBy,dcterms:isPartOf,iri,,,$root
term_created,dcterms:created,datatype,,xsd:date,$root
term_modified,dcterms:modified,datatype,,xsd:date,$root
term_deprecated,owl:deprecated,datatype,,xsd:boolean,$root
replaces_term,dcterms:replaces,iri,,,$root
replaces1_term,dcterms:replaces,iri,,,$root
replaces2_term,dcterms:replaces,iri,,,$root
label,rdfs:label,language,,en,$root
label,skos:prefLabel,language,,en,$root
rdfs_comment,rdfs:comment,language,,en,$root
dcterms_description,dcterms:description,language,,en,$root
rdf_type,rdf:type,iri,,,$root
rdfs_subPropertyOf,rdfs:subPropertyOf,iri,,,$root
dwcattributes_abcdEquivalence,tdwgutility:abcdEquivalence,plain,,,$root
dwcattributes_organizedInClass,tdwgutility:organizedInClass,iri,,,$root
dwcattributes_decision,tdwgutility:decision,iri,,,$root
rdfs_seeAlso,rdfs:seeAlso,iri,,,$root
