document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,rdfs_comment,dcterms_description,examples,rdf_type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_usageScope,term_localName
2021-05-04T21:23:07-05:00,http://rs.tdwg.org/chrono/iri/version/chronometricAgeConversionProtocol-2021-01-26,chronometricAgeConversionProtocol-2021-01-26,http://rs.tdwg.org/chrono/iri/version/,2021-01-26,superseded,,,,Chronometric Age Conversion Protocol (IRI),"The method used to convert the uncalibratedChronometricAge into a chronometric age in years, as captured in maximumChronometricAge, maximumChronometricAgeReferenceSystem, minimumChronometricAge, and minimumChronometricAgeReferenceSystem.",Terms in the chronoiri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,extension,chronometricAgeConversionProtocol
2025-07-07T15:53:13-05:00,http://rs.tdwg.org/chrono/iri/version/chronometricAgeDeterminedBy-2021-01-26,chronometricAgeDeterminedBy-2021-01-26,http://rs.tdwg.org/chrono/iri/version/,2021-01-26,superseded,,,,Chronometric Age Determined By (IRI),"A person, group, or organization that determined the ChronometricAge.",Terms in the chronoiri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,extension,chronometricAgeDeterminedBy
2025-07-07T15:53:13-05:00,http://rs.tdwg.org/chrono/iri/version/chronometricAgeProtocol-2021-01-26,chronometricAgeProtocol-2021-01-26,http://rs.tdwg.org/chrono/iri/version/,2021-01-26,superseded,,,,Chronometric Age Protocol (IRI),A method used to determine the chronometric age.,Terms in the chronoiri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,extension,chronometricAgeProtocol
2025-07-07T15:53:13-05:00,http://rs.tdwg.org/chrono/iri/version/chronometricAgeUncertaintyMethod-2021-01-26,chronometricAgeUncertaintyMethod-2021-01-26,http://rs.tdwg.org/chrono/iri/version/,2021-01-26,superseded,,,,Chronometric Age Uncertainty Method (IRI),The method used to generate the value of chronometricAgeUncertaintyInYears.,Terms in the chronoiri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,extension,chronometricAgeUncertaintyMethod
2025-07-07T15:53:13-05:00,http://rs.tdwg.org/chrono/iri/version/earliestChronometricAgeReferenceSystem-2021-01-26,earliestChronometricAgeReferenceSystem-2021-01-26,http://rs.tdwg.org/chrono/iri/version/,2021-01-26,superseded,,,,Earliest Chronometric Age Reference System (IRI),The reference system associated with the earliestChronometricAge.,Terms in the chronoiri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,extension,earliestChronometricAgeReferenceSystem
2025-07-07T15:53:13-05:00,http://rs.tdwg.org/chrono/iri/version/latestChronometricAgeReferenceSystem-2021-01-26,latestChronometricAgeReferenceSystem-2021-01-26,http://rs.tdwg.org/chrono/iri/version/,2021-01-26,superseded,,,,Latest Chronometric Age Reference System (IRI),The reference system associated with the latestChronometricAge.,Terms in the chronoiri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,extension,latestChronometricAgeReferenceSystem
2025-07-07T15:53:13-05:00,http://rs.tdwg.org/chrono/iri/version/materialDated-2021-01-26,materialDated-2021-01-26,http://rs.tdwg.org/chrono/iri/version/,2021-01-26,superseded,,,,Material Dated (IRI),The material on which the chronometricAgeProtocol was actually performed.,Terms in the chronoiri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,extension,materialDated
2025-07-07T15:53:13-05:00,http://rs.tdwg.org/chrono/iri/version/chronometricAgeConversionProtocol-2021-02-02,chronometricAgeConversionProtocol-2021-02-02,http://rs.tdwg.org/chrono/iri/version/,2021-02-02,superseded,http://rs.tdwg.org/chrono/iri/version/chronometricAgeConversionProtocol-2021-01-26,,,Chronometric Age Conversion Protocol (IRI),"The method used to convert the uncalibratedChronometricAge into a chronometric age in years, as captured in earliestChronometricAge, earliestChronometricAgeReferenceSystem, latestChronometricAge, and latestChronometricAgeReferenceSystem.",Terms in the chronoiri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,extension,chronometricAgeConversionProtocol
2025-08-17T14:15:34-05:00,http://rs.tdwg.org/chrono/iri/version/chronometricAgeConversionProtocol-2025-06-12,chronometricAgeConversionProtocol-2025-06-12,http://rs.tdwg.org/chrono/iri/version/,2025-06-12,superseded,http://rs.tdwg.org/chrono/iri/version/chronometricAgeConversionProtocol-2021-02-02,,,Chronometric Age Conversion Protocol (IRI),"The method used to convert the chrono:uncalibratedChronometricAge into a chronometric age in years, as captured in chrono:earliestChronometricAge, chrono:earliestChronometricAgeReferenceSystem, chrono:latestChronometricAge, and chrono:latestChronometricAgeReferenceSystem.",Terms in the chronoiri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,,chronometricAgeConversionProtocol
2025-08-17T14:15:34-05:00,http://rs.tdwg.org/chrono/iri/version/chronometricAgeDeterminedBy-2025-06-12,chronometricAgeDeterminedBy-2025-06-12,http://rs.tdwg.org/chrono/iri/version/,2025-06-12,superseded,http://rs.tdwg.org/chrono/iri/version/chronometricAgeDeterminedBy-2021-01-26,,,Chronometric Age Determined By (IRI),"A person, group, or organization that determined the chrono:ChronometricAge.",Terms in the chronoiri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,,chronometricAgeDeterminedBy
