document_modified,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,skos_inScheme,definition,definition_derived_from,usage,notes,examples,controlled_value_string,type
2024-03-11T21:37:22-05:00,b,http://rs.tdwg.org/boolean/values/,2023-03-13,2023-03-13,,,,,boolean values concept scheme,,A SKOS Concept Scheme for boolean values,,,,,,http://www.w3.org/2004/02/skos/core#ConceptScheme
2024-03-11T21:37:22-05:00,b0,http://rs.tdwg.org/boolean/values/,2023-03-13,2023-03-13,,,,,false,b,Concept representing a boolean false value,,"In systems where datatyping is possible, this value SHOULD be serialized using the datatyped value appropriate for false values in that system.",,,false,http://www.w3.org/2004/02/skos/core#Concept
2024-03-11T21:37:22-05:00,b1,http://rs.tdwg.org/boolean/values/,2023-03-13,2023-03-13,,,,,true,b,Concept representing a boolean true value,,"In systems where datatyping is possible, this value SHOULD be serialized using the datatyped value appropriate for true values in that system.",,,true,http://www.w3.org/2004/02/skos/core#Concept
