document,lead_author,author,editor,translator,reviewer,review_manager,contributor,contributor_role,contributor_literal
http://rs.tdwg.org/tl/doc/v7/,http://viaf.org/viaf/270400376,,,,,,,lead author,Frans A. Stafleu
http://rs.tdwg.org/tl/doc/s1/,http://viaf.org/viaf/270400376,,,,,,,lead author,Frans A. Stafleu
http://rs.tdwg.org/tl/doc/s2/,http://viaf.org/viaf/270400376,,,,,,,lead author,Frans A. Stafleu
http://rs.tdwg.org/tl/doc/s3/,http://viaf.org/viaf/270400376,,,,,,,lead author,Frans A. Stafleu
http://rs.tdwg.org/tl/doc/s4/,http://viaf.org/viaf/270400376,,,,,,,lead author,Frans A. Stafleu
http://rs.tdwg.org/tl/doc/s5/,http://viaf.org/viaf/270400376,,,,,,,lead author,Frans A. Stafleu
http://rs.tdwg.org/tl/doc/s6/,http://viaf.org/viaf/270400376,,,,,,,lead author,Frans A. Stafleu
http://rs.tdwg.org/tl/doc/v1/,,http://viaf.org/viaf/9863210,,,,,,author,Richard S. Cowan
http://rs.tdwg.org/tl/doc/v2/,,http://viaf.org/viaf/9863210,,,,,,author,Richard S. Cowan
http://rs.tdwg.org/tl/doc/v3/,,http://viaf.org/viaf/9863210,,,,,,author,Richard S. Cowan
http://rs.tdwg.org/tl/doc/v4/,,http://viaf.org/viaf/9863210,,,,,,author,Richard S. Cowan
http://rs.tdwg.org/tl/doc/v5/,,http://viaf.org/viaf/9863210,,,,,,author,Richard S. Cowan
http://rs.tdwg.org/tl/doc/v6/,,http://viaf.org/viaf/9863210,,,,,,author,Richard S. Cowan
http://rs.tdwg.org/tl/doc/v7/,,http://viaf.org/viaf/9863210,,,,,,author,Richard S. Cowan
http://rs.tdwg.org/tl/doc/s7/,,http://viaf.org/viaf/80432287,,,,,,author,Laurence J. Dorr
http://rs.tdwg.org/tl/doc/s8/,,http://viaf.org/viaf/80432287,,,,,,author,Laurence J. Dorr
http://rs.tdwg.org/tl/doc/s1/,,http://viaf.org/viaf/11457657,,,,,,author,Erik A. Mennega
http://rs.tdwg.org/tl/doc/s2/,,http://viaf.org/viaf/11457657,,,,,,author,Erik A. Mennega
http://rs.tdwg.org/tl/doc/s3/,,http://viaf.org/viaf/11457657,,,,,,author,Erik A. Mennega
http://rs.tdwg.org/tl/doc/s4/,,http://viaf.org/viaf/11457657,,,,,,author,Erik A. Mennega
http://rs.tdwg.org/tl/doc/s5/,,http://viaf.org/viaf/11457657,,,,,,author,Erik A. Mennega
http://rs.tdwg.org/tl/doc/s6/,,http://viaf.org/viaf/11457657,,,,,,author,Erik A. Mennega
http://rs.tdwg.org/tl/doc/s7/,,http://viaf.org/viaf/84746223,,,,,,author,Dan H. Nicolson
http://rs.tdwg.org/tl/doc/s8/,,http://viaf.org/viaf/84746223,,,,,,author,Dan H. Nicolson
http://rs.tdwg.org/ac/doc/subtype/,https://orcid.org/0000-0003-4365-3135,,,,,,,lead author,Steven J Baskauf
http://rs.tdwg.org/ac/doc/format/,https://orcid.org/0000-0003-4365-3135,,,,,,,lead author,Steven J Baskauf
http://rs.tdwg.org/ac/doc/format/,,,,,,,https://orcid.org/0000-0003-0623-6682,contributor,Matthew Blissett
http://rs.tdwg.org/ac/doc/format/,,,,,,,http://www.wikidata.org/entity/Q100599637,contributor,Douglas Boyer
http://rs.tdwg.org/ac/doc/guide/,https://orcid.org/0000-0002-6992-9446,,,,,,,lead author,Robert A. Morris
http://rs.tdwg.org/ac/doc/guide/,,https://orcid.org/0000-0002-4852-2567,,,,,,author,Vijay Barve
http://rs.tdwg.org/ac/doc/guide/,,https://orcid.org/0000-0002-8234-0599,,,,,,author,Mihail Carausu
http://rs.tdwg.org/ac/doc/guide/,,https://orcid.org/0000-0002-3425-6499,,,,,,author,Vishwas Chavan
http://rs.tdwg.org/ac/doc/guide/,,http://www.wikidata.org/entity/Q51883873,,,,,,author,José Cuadra
http://rs.tdwg.org/ac/doc/guide/,,https://orcid.org/0000-0002-2541-5822,,,,,,author,Chris Freeland
http://rs.tdwg.org/ac/doc/guide/,,https://orcid.org/0000-0001-7023-7386,,,,,,author,Gregor Hagedorn
http://rs.tdwg.org/ac/doc/guide/,,https://orcid.org/0000-0001-5172-8577,,,,,,author,Patrick Leary
http://rs.tdwg.org/ac/doc/guide/,,https://orcid.org/0000-0003-1593-1417,,,,,,author,Dimitry Mozzherin
http://rs.tdwg.org/ac/doc/guide/,,https://orcid.org/0000-0002-0772-0022,,,,,,author,Annette Olson
http://rs.tdwg.org/ac/doc/guide/,,https://orcid.org/0000-0002-3850-9983,,,,,,author,Greg Riccardi
http://rs.tdwg.org/ac/doc/guide/,,https://orcid.org/0000-0003-4176-2274,,,,,,author,Ivan Teage
http://rs.tdwg.org/ac/doc/introduction/,https://orcid.org/0000-0002-6992-9446,,,,,,,lead author,Robert A. Morris
http://rs.tdwg.org/ac/doc/introduction/,,https://orcid.org/0000-0002-4852-2567,,,,,,author,Vijay Barve
http://rs.tdwg.org/ac/doc/introduction/,,https://orcid.org/0000-0002-8234-0599,,,,,,author,Mihail Carausu
http://rs.tdwg.org/ac/doc/introduction/,,https://orcid.org/0000-0002-3425-6499,,,,,,author,Vishwas Chavan
http://rs.tdwg.org/ac/doc/introduction/,,http://www.wikidata.org/entity/Q51883873,,,,,,author,José Cuadra
http://rs.tdwg.org/ac/doc/introduction/,,https://orcid.org/0000-0002-2541-5822,,,,,,author,Chris Freeland
http://rs.tdwg.org/ac/doc/introduction/,,https://orcid.org/0000-0001-7023-7386,,,,,,author,Gregor Hagedorn
http://rs.tdwg.org/ac/doc/introduction/,,https://orcid.org/0000-0001-5172-8577,,,,,,author,Patrick Leary
http://rs.tdwg.org/ac/doc/introduction/,,https://orcid.org/0000-0003-1593-1417,,,,,,author,Dimitry Mozzherin
http://rs.tdwg.org/ac/doc/introduction/,,https://orcid.org/0000-0002-0772-0022,,,,,,author,Annette Olson
http://rs.tdwg.org/ac/doc/introduction/,,https://orcid.org/0000-0002-3850-9983,,,,,,author,Greg Riccardi
http://rs.tdwg.org/ac/doc/introduction/,,https://orcid.org/0000-0003-4176-2274,,,,,,author,Ivan Teage
http://rs.tdwg.org/ac/doc/introduction/,,,,,,https://orcid.org/0000-0003-4365-3135,,review manager,Steve Baskauf
http://rs.tdwg.org/ac/doc/structure/,https://orcid.org/0000-0002-6992-9446,,,,,,,lead author,Robert A. Morris
http://rs.tdwg.org/ac/doc/structure/,,https://orcid.org/0000-0002-4852-2567,,,,,,author,Vijay Barve
http://rs.tdwg.org/ac/doc/structure/,,https://orcid.org/0000-0002-8234-0599,,,,,,author,Mihail Carausu
http://rs.tdwg.org/ac/doc/structure/,,https://orcid.org/0000-0002-3425-6499,,,,,,author,Vishwas Chavan
http://rs.tdwg.org/ac/doc/structure/,,http://www.wikidata.org/entity/Q51883873,,,,,,author,José Cuadra
http://rs.tdwg.org/ac/doc/structure/,,https://orcid.org/0000-0002-2541-5822,,,,,,author,Chris Freeland
http://rs.tdwg.org/ac/doc/structure/,,https://orcid.org/0000-0001-7023-7386,,,,,,author,Gregor Hagedorn
http://rs.tdwg.org/ac/doc/structure/,,https://orcid.org/0000-0001-5172-8577,,,,,,author,Patrick Leary
http://rs.tdwg.org/ac/doc/structure/,,https://orcid.org/0000-0003-1593-1417,,,,,,author,Dimitry Mozzherin
http://rs.tdwg.org/ac/doc/structure/,,https://orcid.org/0000-0002-0772-0022,,,,,,author,Annette Olson
http://rs.tdwg.org/ac/doc/structure/,,https://orcid.org/0000-0002-3850-9983,,,,,,author,Greg Riccardi
http://rs.tdwg.org/ac/doc/structure/,,https://orcid.org/0000-0003-4176-2274,,,,,,author,Ivan Teage
http://rs.tdwg.org/ac/doc/structure/,,https://orcid.org/0000-0003-4365-3135,,,,,,author,Steve Baskauf
http://rs.tdwg.org/ac/doc/structure/,,,,,,https://orcid.org/0000-0003-4365-3135,,review manager,Steve Baskauf
http://rs.tdwg.org/ac/doc/variant/,https://orcid.org/0000-0003-4365-3135,,,,,,,lead author,Steven J Baskauf
http://rs.tdwg.org/ac/doc/variant/,,,,,,,https://orcid.org/0000-0002-5887-9543,contributor,Ed Baker
http://rs.tdwg.org/ac/doc/variant/,,,,,,,https://orcid.org/0000-0001-8068-3769,contributor,Dan Stowell
http://rs.tdwg.org/ac/doc/orient/,https://orcid.org/0000-0003-4365-3135,,,,,,,lead_author,Steven J. Baskauf
http://rs.tdwg.org/ac/doc/orient/,,,,,,,https://orcid.org/0000-0002-6155-9444,contributor,Neil S. Cobb
http://rs.tdwg.org/ac/doc/orient/,,,,,,,https://orcid.org/0000-0002-0851-6883,contributor,Jennifer C. Girón Duque
http://rs.tdwg.org/ac/doc/orient/,,,,,,,https://orcid.org/0000-0002-0388-1187,contributor,Matthew Nielsen
http://rs.tdwg.org/ac/doc/orient/,,,,,,,https://orcid.org/0000-0003-4277-8948,contributor,Mervin E. Pérez
http://rs.tdwg.org/ac/doc/orient/,,,,,,,https://orcid.org/0000-0003-2440-7625,contributor,Randy Singer
http://rs.tdwg.org/ac/doc/part/,https://orcid.org/0000-0003-4365-3135,,,,,,,lead_author,Steven J. Baskauf
http://rs.tdwg.org/ac/doc/part/,,,,,,,https://orcid.org/0000-0002-6155-9444,contributor,Neil S. Cobb
http://rs.tdwg.org/ac/doc/part/,,,,,,,https://orcid.org/0000-0002-0851-6883,contributor,Jennifer C. Girón Duque
http://rs.tdwg.org/ac/doc/part/,,,,,,,https://orcid.org/0000-0002-0388-1187,contributor,Matthew Nielsen
http://rs.tdwg.org/ac/doc/part/,,,,,,,https://orcid.org/0000-0003-4277-8948,contributor,Mervin E. Pérez
http://rs.tdwg.org/ac/doc/part/,,,,,,,https://orcid.org/0000-0003-2440-7625,contributor,Randy Singer
http://rs.tdwg.org/ac/doc/part/,,,,,,,https://orcid.org/0000-0001-8939-0057,contributor,Anna M. L. Klompen
http://rs.tdwg.org/ac/doc/termlist/,https://orcid.org/0000-0002-6992-9446,,,,,,,lead author,Robert A. Morris
http://rs.tdwg.org/ac/doc/termlist/,,https://orcid.org/0000-0001-7023-7386,,,,,,author,Gregor Hagedorn
http://rs.tdwg.org/ac/doc/termlist/,,https://orcid.org/0000-0002-0772-0022,,,,,,author,Annette Olson
http://rs.tdwg.org/ac/doc/termlist/,,https://orcid.org/0000-0003-4365-3135,,,,,,author,Steve Baskauf
http://rs.tdwg.org/ac/doc/termlist/,,https://orcid.org/0000-0002-4852-2567,,,,,,author,Vijay Barve
http://rs.tdwg.org/ac/doc/termlist/,,https://orcid.org/0000-0002-8234-0599,,,,,,author,Mihail Carausu
http://rs.tdwg.org/ac/doc/termlist/,,https://orcid.org/0000-0002-3425-6499,,,,,,author,Vishwas Chavan
http://rs.tdwg.org/ac/doc/termlist/,,http://www.wikidata.org/entity/Q51883873,,,,,,author,José Cuadra
http://rs.tdwg.org/ac/doc/termlist/,,https://orcid.org/0000-0002-2541-5822,,,,,,author,Chris Freeland
http://rs.tdwg.org/ac/doc/termlist/,,https://orcid.org/0000-0001-5172-8577,,,,,,author,Patrick Leary
http://rs.tdwg.org/ac/doc/termlist/,,https://orcid.org/0000-0003-1593-1417,,,,,,author,Dimitry Mozzherin
http://rs.tdwg.org/ac/doc/termlist/,,https://orcid.org/0000-0002-3850-9983,,,,,,author,Greg Riccardi
http://rs.tdwg.org/ac/doc/termlist/,,https://orcid.org/0000-0003-4176-2274,,,,,,author,Ivan Teage
http://rs.tdwg.org/ac/doc/termlist/,,https://orcid.org/0000-0001-8068-3769,,,,,,author,Dan Stowell
http://rs.tdwg.org/ac/doc/termlist/,,https://orcid.org/0000-0002-5887-9543,,,,,,author,Edward Baker
http://rs.tdwg.org/ac/doc/termlist/,,https://orcid.org/0000-0003-0768-1286,,,,,,author,Richard Pyle
http://rs.tdwg.org/ac/doc/termlist/,,,,,,https://orcid.org/0000-0003-4365-3135,,review manager,Steve Baskauf
http://rs.tdwg.org/dwc/doc/list/,,,,,,,https://orcid.org/0000-0003-1144-0290,contributor,John Wieczorek
http://rs.tdwg.org/dwc/doc/list/,,,,,,,https://orcid.org/0000-0002-8442-8025,contributor,Peter Desmet
http://rs.tdwg.org/dwc/doc/list/,,,,,,,https://orcid.org/0000-0003-4365-3135,contributor,Steve Baskauf
http://rs.tdwg.org/dwc/doc/list/,,,,,,,https://orcid.org/0000-0001-6215-3617,contributor,Tim Robertson
http://rs.tdwg.org/dwc/doc/list/,,,,,,,https://orcid.org/0000-0001-7757-1889,contributor,Markus Döring
http://rs.tdwg.org/dwc/doc/list/,,,,,,,https://orcid.org/0000-0002-0596-5376,contributor,Quentin Groom
http://rs.tdwg.org/dwc/doc/list/,,,,,,,https://orcid.org/0000-0001-6413-3185,contributor,Stijn Van Hoey
http://rs.tdwg.org/dwc/doc/list/,,,,,,,https://orcid.org/0000-0003-1273-1807,contributor,David Bloom
http://rs.tdwg.org/dwc/doc/list/,,,,,,,https://orcid.org/0000-0002-6056-5084,contributor,Paula Zermoglio
http://rs.tdwg.org/dwc/doc/list/,,,,,,,https://orcid.org/0000-0001-6682-1504,contributor,Robert Guralnick
http://rs.tdwg.org/dwc/doc/list/,,,,,,,https://orcid.org/0000-0002-5905-1617,contributor,John Deck
http://rs.tdwg.org/dwc/doc/list/,,,,,,,https://orcid.org/0000-0002-5178-4170,contributor,Gail Kampmeier
http://rs.tdwg.org/dwc/doc/list/,,,,,,,https://orcid.org/0000-0002-6513-4996,contributor,Dave Vieglais
http://rs.tdwg.org/dwc/doc/list/,,,,,,,https://orcid.org/0000-0002-7104-7266,contributor,Renato De Giovanni
http://rs.tdwg.org/dwc/doc/list/,,,,,,,https://orcid.org/0000-0003-1031-3249,contributor,Campbell Webb
http://rs.tdwg.org/dwc/doc/list/,,,,,,,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/5e51de22-d841-4c47-b0c4-d5ad0bd03035,contributor,Paul J. Morris
http://rs.tdwg.org/dwc/doc/list/,,,,,,,https://orcid.org/0000-0003-0632-7576,contributor,Mark Schildhauer
http://rs.tdwg.org/dwc/doc/list/,,,,,,,https://orcid.org/0000-0001-9284-7900,contributor,Sophia Ratcliffe
http://rs.tdwg.org/dwc/doc/list/,,,,,,,https://orcid.org/0000-0002-1970-7044,contributor,Teresa J. Mayfield-Meyer
http://rs.tdwg.org/dwc/doc/list/,,,,,,,https://orcid.org/0000-0002-6544-1363,contributor,Christian Bölling
