document,lead_author,author,editor,translator,reviewer,review_manager,contributor,contributor_role,contributor_literal
http://rs.tdwg.org/dwc/terms/simple/,https://orcid.org/0000-0003-1144-0290,,,,,,,lead author,John Wieczorek
http://rs.tdwg.org/dwc/terms/simple/,,https://orcid.org/0000-0001-7757-1889,,,,,,author,Markus Döring
http://rs.tdwg.org/dwc/terms/simple/,,https://orcid.org/0000-0002-7104-7266,,,,,,author,Renato De Giovanni
http://rs.tdwg.org/dwc/terms/simple/,,https://orcid.org/0000-0001-6215-3617,,,,,,author,Tim Robertson
http://rs.tdwg.org/dwc/terms/simple/,,https://orcid.org/0000-0002-6513-4996,,,,,,author,Dave Vieglais
http://rs.tdwg.org/dwc/terms/simple/,,,,,,https://orcid.org/0000-0002-5178-4170,,review manager,Gail E. Kampmeier
http://rs.tdwg.org/dwc/terms/namespace/,https://orcid.org/0000-0003-1144-0290,,,,,,,lead author,John Wieczorek
http://rs.tdwg.org/dwc/terms/namespace/,,https://orcid.org/0000-0001-7757-1889,,,,,,author,Markus Döring
http://rs.tdwg.org/dwc/terms/namespace/,,https://orcid.org/0000-0002-7104-7266,,,,,,author,Renato De Giovanni
http://rs.tdwg.org/dwc/terms/namespace/,,https://orcid.org/0000-0001-6215-3617,,,,,,author,Tim Robertson
http://rs.tdwg.org/dwc/terms/namespace/,,https://orcid.org/0000-0002-6513-4996,,,,,,author,Dave Vieglais
http://rs.tdwg.org/dwc/terms/namespace/,,,,,,https://orcid.org/0000-0002-5178-4170,,review manager,Gail E. Kampmeier
http://rs.tdwg.org/dwc/doc/doe/,https://orcid.org/0000-0002-0596-5376,,,,,,,lead author,Quentin Groom
http://rs.tdwg.org/dwc/doc/doe/,,,,,,,https://orcid.org/0000-0002-8442-8025,contributor,Peter Desmet
http://rs.tdwg.org/dwc/doc/doe/,,,,,,,https://orcid.org/0000-0001-7484-9267,contributor,Lien Reyserhove
http://rs.tdwg.org/dwc/doc/doe/,,,,,,,https://orcid.org/0000-0001-7268-4200,contributor,Tim Adriaens
http://rs.tdwg.org/dwc/doc/doe/,,,,,,,https://orcid.org/0000-0003-3445-7562,contributor,Damiano Oldoni
http://rs.tdwg.org/dwc/doc/doe/,,,,,,,https://orcid.org/0000-0002-6298-5373,contributor,Sonia Vanderhoeven
http://rs.tdwg.org/dwc/doc/doe/,,,,,,,https://orcid.org/0000-0003-4365-3135,contributor,Steve Baskauf
http://rs.tdwg.org/dwc/doc/doe/,,,,,,,https://orcid.org/0000-0003-1700-6962,contributor,Arthur Chapman
http://rs.tdwg.org/dwc/doc/doe/,,,,,,,https://orcid.org/0000-0003-3388-2241,contributor,Melodie McGeoch
http://rs.tdwg.org/dwc/doc/doe/,,,,,,,https://orcid.org/0000-0001-8815-0078,contributor,Ramona Walls
http://rs.tdwg.org/dwc/doc/doe/,,,,,,,https://orcid.org/0000-0003-1144-0290,contributor,John Wieczorek
http://rs.tdwg.org/dwc/doc/doe/,,,,,,,https://orcid.org/0000-0003-0174-3239,contributor,John R.U. Wilson
http://rs.tdwg.org/dwc/doc/doe/,,,,,,,https://orcid.org/0000-0002-6056-5084,contributor,Paula F Zermoglio
http://rs.tdwg.org/dwc/doc/doe/,,,,,,,https://orcid.org/0000-0001-8338-5134,contributor,Annie Simpson
http://rs.tdwg.org/dwc/doc/em/,https://orcid.org/0000-0002-0596-5376,,,,,,,lead author,Quentin Groom
http://rs.tdwg.org/dwc/doc/em/,,,,,,,https://orcid.org/0000-0002-8442-8025,contributor,Peter Desmet
http://rs.tdwg.org/dwc/doc/em/,,,,,,,https://orcid.org/0000-0001-7484-9267,contributor,Lien Reyserhove
http://rs.tdwg.org/dwc/doc/em/,,,,,,,https://orcid.org/0000-0001-7268-4200,contributor,Tim Adriaens
http://rs.tdwg.org/dwc/doc/em/,,,,,,,https://orcid.org/0000-0003-3445-7562,contributor,Damiano Oldoni
http://rs.tdwg.org/dwc/doc/em/,,,,,,,https://orcid.org/0000-0002-6298-5373,contributor,Sonia Vanderhoeven
http://rs.tdwg.org/dwc/doc/em/,,,,,,,https://orcid.org/0000-0003-4365-3135,contributor,Steve Baskauf
http://rs.tdwg.org/dwc/doc/em/,,,,,,,https://orcid.org/0000-0003-1700-6962,contributor,Arthur Chapman
http://rs.tdwg.org/dwc/doc/em/,,,,,,,https://orcid.org/0000-0003-3388-2241,contributor,Melodie McGeoch
http://rs.tdwg.org/dwc/doc/em/,,,,,,,https://orcid.org/0000-0001-8815-0078,contributor,Ramona Walls
http://rs.tdwg.org/dwc/doc/em/,,,,,,,https://orcid.org/0000-0003-1144-0290,contributor,John Wieczorek
http://rs.tdwg.org/dwc/doc/em/,,,,,,,https://orcid.org/0000-0003-0174-3239,contributor,John R.U. Wilson
http://rs.tdwg.org/dwc/doc/em/,,,,,,,https://orcid.org/0000-0002-6056-5084,contributor,Paula F F Zermoglio
http://rs.tdwg.org/dwc/doc/em/,,,,,,,https://orcid.org/0000-0001-8338-5134,contributor,Annie Simpson
http://rs.tdwg.org/dwc/doc/pw/,https://orcid.org/0000-0002-0596-5376,,,,,,,lead author,Quentin Groom
http://rs.tdwg.org/dwc/doc/pw/,,,,,,,https://orcid.org/0000-0002-8442-8025,contributor,Peter Desmet
http://rs.tdwg.org/dwc/doc/pw/,,,,,,,https://orcid.org/0000-0001-7484-9267,contributor,Lien Reyserhove
http://rs.tdwg.org/dwc/doc/pw/,,,,,,,https://orcid.org/0000-0001-7268-4200,contributor,Tim Adriaens
