"identifier","context","text"
"CreateDate:label","Label for Original Date and Time http://rs.tdwg.org/dwc/terms/CreateDate","Původní datum a čas"
"CreateDate:rdfs_comment","Comment for Original Date and Time http://rs.tdwg.org/dwc/terms/CreateDate","Datum a čas vytvoření zdroje. U digitálního souboru se nemusí shodovat s časem vytvoření v systému souborů.  U nově vytvořeného zdroje by se měl blížit tomuto času, s přihlédnutím k času potřebnému k zápisu souboru.  Pozdější přenos souboru, kopírování atd. mohou způsobit, že se čas v systému souborů libovolně liší."
"CreateDate:dcterms_description","Description for Original Date and Time http://rs.tdwg.org/dwc/terms/CreateDate","Co představuje „originál“, určuje autor metadat. Příklad: Digitalizace fotografického diapozitivu mapy by normálně poskytla datum, kdy byla mapa vytvořena; nicméně fotografické umělecké dílo obsahující stejnou mapu může poskytnout datum původní fotografické expozice. Nepřesná nebo neznámá data mohou být vyjádřena jako data nebo rozsahy ISO. Srovnejte také Datum a čas digitalizace ve slovníku tvorby zdrojů. Další vysvětlení a příklady najdete také ve wikipedii IS0 8601, https://en.wikipedia.org/wiki/ISO_8601."
"CreateDate:skos_scopeNote","Usage for Original Date and Time http://rs.tdwg.org/dwc/terms/CreateDate","Datum vytvoření původního zdroje, ze kterého byla digitální média odvozena nebo vytvořena. Datum a čas MUSÍ být v souladu s praxí World Wide Web Consortium (W3C) pro datetime, https://www.w3.org/TR/NOTE-datetime, která vyžaduje, aby zobrazení data a času odpovídalo normě ISO 8601:1998, ale s ročními poli vždy obsahujícími 4 číslice. Díky tomu jsou záznamy datumu a času v souladu s normou 8601:2004, https://www.iso.org/standard/40874.html. Hodnoty datumu a času v AC mohou také odpovídat normě 8601:2004 pro rozsahy oddělením dvou polí datumu a času IS0 8601 lomítkem (""forward slash"", '/'). Při použití na mediální zdroj s časovým rozsahem, jako je audio nebo video, tato vlastnost označuje startTime nahrávky."
"MetadataDate:label","Label for Metadata Date http://rs.tdwg.org/dwc/terms/MetadataDate","Datum metadat"
"MetadataDate:rdfs_comment","Comment for Metadata Date http://rs.tdwg.org/dwc/terms/MetadataDate","Datum a čas poslední změny metadat tohoto zdroje. Mělo by být stejné nebo novější než xmp:ModifyDate."
"MetadataDate:dcterms_description","Description for Metadata Date http://rs.tdwg.org/dwc/terms/MetadataDate","Nejedná se o dcterms:modified, které odkazuje na samotný zdroj, nikoli na jeho metadata. Další vysvětlení a příklady najdete také ve wikipedii IS0 8601, https://en.wikipedia.org/wiki/ISO_8601."
"MetadataDate:skos_scopeNote","Usage for Metadata Date http://rs.tdwg.org/dwc/terms/MetadataDate","Záznam okamžiku, kdy došlo k poslední úpravě metadat (ne nutně samotného mediálního objektu). Datum a čas MUSÍ být v souladu s praxí World Wide Web Consortium (W3C) pro datetime, https://www.w3.org/TR/NOTE-datetime, která vyžaduje, aby zobrazení data a času odpovídalo normě ISO 8601:1998, ale s ročními poli vždy obsahujícími 4 číslice. Díky tomu jsou záznamy datumu a času v souladu s normou 8601:2004, https://www.iso.org/standard/40874.html. Hodnoty datumu a času v AC MŮŽOU také odpovídat normě 8601:2004 pro rozsahy oddělením dvou polí datumu a času IS0 8601 lomítkem (""forward slash"", '/')."
"Rating:label","Label for Rating http://rs.tdwg.org/dwc/terms/Rating","Hodnocení"
"Rating:rdfs_comment","Comment for Rating http://rs.tdwg.org/dwc/terms/Rating","Hodnocení tohoto souboru přidělené uživatelem. Hodnota musí být -1 nebo v rozmezí [0..5], kde -1 znamená „zamítnuto“ a 0 znamená „nehodnoceno“.  Pokud xmp:Rating není k dispozici, měla by být použita hodnota 0."
"Rating:dcterms_description","Description for Rating http://rs.tdwg.org/dwc/terms/Rating","Původ hodnocení není sdělen. Může být například založeno na zpětné vazbě uživatelů nebo na redakčních hodnoceních. Pod pojmem „přidělené uživatelem“ se rozumí přidělené původcem nebo editorem záznamu, který tento termín používá."
"Rating:skos_scopeNote","Usage for Rating http://rs.tdwg.org/dwc/terms/Rating","Hodnocení mediálních zdrojů poskytnuté původci nebo editory záznamů na škále od „1“ (nejhorší) do „5“ (nejlepší). Předpokládané použití je pro typické uživatelské rozhraní „hodnocení hvězdičkami“ s přidáním pojmu odmítnutí. Hodnoty MOHOU být desetinná čísla v povoleném rozsahu."
