document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,skos_broader,skos_inScheme,definition,definition_derived_from,usage,notes,examples,controlled_value_string,type,term_localName
2023-05-07T19:56:32-05:00,http://rs.tdwg.org/acorient/values/version/r-2023-04-26,r-2023-04-26,http://rs.tdwg.org/acorient/values/version/,2023-04-26,recommended,,,,subject orientation concept scheme,,,a SKOS concept scheme for orientation,,,,,,http://www.w3.org/2004/02/skos/core#ConceptScheme,r
2023-05-07T19:56:32-05:00,http://rs.tdwg.org/acorient/values/version/r0000-2023-04-26,r0000-2023-04-26,http://rs.tdwg.org/acorient/values/version/,2023-04-26,recommended,,,,unspecified orientation,,r,orientation is not known because it is not specified,,,,,unspecifiedOrientation,http://www.w3.org/2004/02/skos/core#Concept,r0000
2023-05-07T19:56:32-05:00,http://rs.tdwg.org/acorient/values/version/r0001-2023-04-26,r0001-2023-04-26,http://rs.tdwg.org/acorient/values/version/,2023-04-26,recommended,,,,anterior side,,r,view of the side towards the head or forward end of the organism,http://purl.obolibrary.org/obo/BSPO_0000055,,,,anterior,http://www.w3.org/2004/02/skos/core#Concept,r0001
2023-05-07T19:56:32-05:00,http://rs.tdwg.org/acorient/values/version/r0002-2023-04-26,r0002-2023-04-26,http://rs.tdwg.org/acorient/values/version/,2023-04-26,recommended,,,,posterior side,,r,view of the side away from the head or towards the rear end of the organism,http://purl.obolibrary.org/obo/BSPO_0000056,,,,posterior,http://www.w3.org/2004/02/skos/core#Concept,r0002
2023-05-07T19:56:32-05:00,http://rs.tdwg.org/acorient/values/version/r0003-2023-04-26,r0003-2023-04-26,http://rs.tdwg.org/acorient/values/version/,2023-04-26,recommended,,,,lateral side,,r,view of the side perpendicular to the main axis of the organism,http://purl.obolibrary.org/obo/BSPO_0000066,,,,lateral,http://www.w3.org/2004/02/skos/core#Concept,r0003
2023-05-07T19:56:32-05:00,http://rs.tdwg.org/acorient/values/version/r0004-2023-04-26,r0004-2023-04-26,http://rs.tdwg.org/acorient/values/version/,2023-04-26,recommended,,,,right side,r0003,r,view of the right side of a whole bilaterally symmetric organism,http://purl.obolibrary.org/obo/BSPO_0000007,,,,right,http://www.w3.org/2004/02/skos/core#Concept,r0004
2023-05-07T19:56:32-05:00,http://rs.tdwg.org/acorient/values/version/r0005-2023-04-26,r0005-2023-04-26,http://rs.tdwg.org/acorient/values/version/,2023-04-26,recommended,,,,left side,r0003,r,view of the left side of a whole bilaterally symmetric organism,http://purl.obolibrary.org/obo/BSPO_0000000,,,,left,http://www.w3.org/2004/02/skos/core#Concept,r0005
2023-05-07T19:56:32-05:00,http://rs.tdwg.org/acorient/values/version/r0006-2023-04-26,r0006-2023-04-26,http://rs.tdwg.org/acorient/values/version/,2023-04-26,recommended,,,,dorsal side,,r,view of the side dorsal to the frontal plane of a bilaterally symmetric organism,http://purl.obolibrary.org/obo/BSPO_0000063,,,,dorsal,http://www.w3.org/2004/02/skos/core#Concept,r0006
2023-05-07T19:56:32-05:00,http://rs.tdwg.org/acorient/values/version/r0007-2023-04-26,r0007-2023-04-26,http://rs.tdwg.org/acorient/values/version/,2023-04-26,recommended,,,,ventral side,,r,view of the side ventral to the frontal plane of a bilaterally symmetric organism,http://purl.obolibrary.org/obo/BSPO_0000068,,,,ventral,http://www.w3.org/2004/02/skos/core#Concept,r0007
2023-05-07T19:56:32-05:00,http://rs.tdwg.org/acorient/values/version/r0008-2023-04-26,r0008-2023-04-26,http://rs.tdwg.org/acorient/values/version/,2023-04-26,recommended,,,,upper side,,r,view of the side of the part oriented toward the central axis of a plant (adaxial),http://purl.obolibrary.org/obo/PATO_0002047,"In plants, use this term rather than ""dorsal"". For types of plants or fungi having horizontal parts and lacking a clear central axis, this is the surface away from the ground. ",BSPO has adaxial/abaxial axis http://purl.obolibrary.org/obo/BSPO_0000195 but not the sides defined by that axis,,upper,http://www.w3.org/2004/02/skos/core#Concept,r0008
2023-05-07T19:56:32-05:00,http://rs.tdwg.org/acorient/values/version/r0009-2023-04-26,r0009-2023-04-26,http://rs.tdwg.org/acorient/values/version/,2023-04-26,recommended,,,,lower side,,r,view of the side of the part oriented away from the central axis of a plant (abaxial),http://purl.obolibrary.org/obo/PATO_0002046,"In plants, use this term rather than ""ventral"". For types of plants or fungi having horizontal parts and lacking a clear central axis, this is the surface towards the ground. ",BSPO has adaxial/abaxial axis http://purl.obolibrary.org/obo/BSPO_0000195 but not the sides defined by that axis,,lower,http://www.w3.org/2004/02/skos/core#Concept,r0009
2023-05-07T19:56:32-05:00,http://rs.tdwg.org/acorient/values/version/r0010-2023-04-26,r0010-2023-04-26,http://rs.tdwg.org/acorient/values/version/,2023-04-26,recommended,,,,apical side,,r,view of the side of the part oriented towards the end of the axis away from its attachment point (the apex),http://purl.obolibrary.org/obo/BSPO_0000057,,,,apical,http://www.w3.org/2004/02/skos/core#Concept,r0010
2023-05-07T19:56:32-05:00,http://rs.tdwg.org/acorient/values/version/r0011-2023-04-26,r0011-2023-04-26,http://rs.tdwg.org/acorient/values/version/,2023-04-26,recommended,,,,basal side,,r,view of the side of the part oriented towards the attachment point of the axis,http://purl.obolibrary.org/obo/BSPO_0000058,,,,basal,http://www.w3.org/2004/02/skos/core#Concept,r0011
2023-05-07T19:56:32-05:00,http://rs.tdwg.org/acorient/values/version/r0012-2023-04-26,r0012-2023-04-26,http://rs.tdwg.org/acorient/values/version/,2023-04-26,recommended,,,,oral side,,r,view of the side of the organism oriented towards the oral opening,http://purl.obolibrary.org/obo/BSPO_0015201,,,,oral,http://www.w3.org/2004/02/skos/core#Concept,r0012
2023-05-07T19:56:32-05:00,http://rs.tdwg.org/acorient/values/version/r0013-2023-04-26,r0013-2023-04-26,http://rs.tdwg.org/acorient/values/version/,2023-04-26,recommended,,,,aboral side,,r,view of the side of the organism oriented away from the oral opening,http://purl.obolibrary.org/obo/BSPO_0015202,,,,aboral,http://www.w3.org/2004/02/skos/core#Concept,r0013
