document_modified,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,skos_inScheme,controlled_value_string,definition,usage,notes,examples,definition_derived_from ,type
2026-02-04T14:22:46-05:00,c,http://rs.tdwg.org/accd/values/,2026-01-23,2026-01-23,,,,,Content Description Controlled Vocabulary,,,A SKOS ConceptScheme to be used as a controlled vocabulary for the Audiovisual Core terms ac:CVtermLiteral and Iptc4xmpExt:CVterm properties.,Use the controlled value string as the value for ac:CVtermLiteral and use the term IRI as the value for Iptc4xmpExt:CVterm,,,,http://www.w3.org/2004/02/skos/core#ConceptScheme
2026-02-04T14:22:46-05:00,c01,http://rs.tdwg.org/accd/values/,2026-01-23,2026-01-23,,,,,Label,c,label,Physical text providing metadata about the focal resource.,,The focal resource MAY be any kind of specimen.,,,http://www.w3.org/2004/02/skos/core#Concept
2026-02-04T14:22:46-05:00,c02,http://rs.tdwg.org/accd/values/,2026-01-23,2026-01-23,,,,,Context,c,context,A depicted feature that is the context in which the focal resource was located.,"If the media item includes a depiction of the focal resource, the focal resource SHOULD NOT be the main feature of the media item.",,"the habitat in which an organism was found, the strata from which a fossil or mineral sample was removed",,http://www.w3.org/2004/02/skos/core#Concept
2026-02-04T14:22:46-05:00,c03,http://rs.tdwg.org/accd/values/,2026-01-23,2026-01-23,,,,,Scale Bar,c,scaleBar,A linear graphic used to associate size with a dimension of the media item.,,,a ruler,,http://www.w3.org/2004/02/skos/core#Concept
2026-02-04T14:22:46-05:00,c04,http://rs.tdwg.org/accd/values/,2026-01-23,2026-01-23,,,,,Color Bar,c,colorBar,Chromatic graphic used to calibrate the color profile of an image with the actual color of the object.,,,,,http://www.w3.org/2004/02/skos/core#Concept
2026-02-04T14:22:46-05:00,c05,http://rs.tdwg.org/accd/values/,2026-01-23,2026-01-23,,,,,Spoken Description,c,spokenDescription,Audio media that contains a voice description of the content of the media item.,,,,,http://www.w3.org/2004/02/skos/core#Concept
2026-02-04T14:22:46-05:00,c06,http://rs.tdwg.org/accd/values/,2026-01-23,2026-01-23,,,,,Organism Part,c,organismPart,All or part of an organism.,"The media item primarily depicts some part of a organism. If the organism is not the main feature that is depicted, context SHOULD be used instead.  If this value is used, the terms ac:subjectPart/ac:subjectPartLiteral and ac:subjectOrientation/ac:subjectOrientationLiteral SHOULD be used to provide more detailed information about what precisely is depicted and how the depicted part is oriented.","The organism MAY be living or dead, and MAY be preserved.",,,http://www.w3.org/2004/02/skos/core#Concept
2026-02-04T14:22:46-05:00,c07,http://rs.tdwg.org/accd/values/,2026-01-23,2026-01-23,,,,,Barcode,c,barcode,A visual pattern that provides machine-readable metadata about a resource.,,,"QR code, linear bar codes",,http://www.w3.org/2004/02/skos/core#Concept
2026-02-04T14:22:46-05:00,c08,http://rs.tdwg.org/accd/values/,2026-01-23,2026-01-23,,,,,Packet,c,packet,A small container attached to specimen mounting material used to contain all or part of the specimen..,,The container MAY contain parts of the specimen that have been removed from the main specimen and might otherwise be lost. It MAY also contain the entire specimen.,"fragmentation packet, envelope",,http://www.w3.org/2004/02/skos/core#Concept
