document_modified,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,rdfs_comment,dcterms_description,examples,rdf_type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_usageScope
2023-06-28T16:39:28-05:00,language,http://purl.org/dc/elements/1.1/,1999-07-02,2023-06-28,,http://purl.org/dc/terms/language,,,Language,A language of the resource.,Recommended best practice is to use a controlled vocabulary such as RFC 5646.,`en` (for English); `es` (for Spanish),http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://purl.org/dc/elements/1.1/,,simple
2023-06-28T16:39:28-05:00,type,http://purl.org/dc/elements/1.1/,1999-07-02,2023-06-28,,http://purl.org/dc/terms/type,,,Type,The nature or genre of the resource.,Must be populated with a value from the DCMI type vocabulary (http://dublincore.org/documents/2010/10/11/dcmi-type-vocabulary/).,`StillImage`; `MovingImage`; `Sound`; `PhysicalObject`; `Event`; `Text`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://purl.org/dc/elements/1.1/,,simple
