replacing_term,replaced_term_localName
http://rs.tdwg.org/dwc/dwcore/LifeStage,AgeClass
http://www.iobis.org/obis/Lifestage,AgeClass
http://rs.tdwg.org/dwc/dwcore/BasisOfRecord,BasisOfRecord
http://digir.net/schema/conceptual/darwin/2003/1.0/CatalogNumberText,CatalogNumber
http://rs.tdwg.org/dwc/curatorial/CatalogNumberNumeric,CatalogNumberNumeric
http://rs.tdwg.org/dwc/terms/CatalogNumberNumeric,CatalogNumberNumeric
http://rs.tdwg.org/dwc/dwcore/CatalogNumber,CatalogNumberText
http://rs.tdwg.org/dwc/dwcore/Class,Class
http://rs.tdwg.org/dwc/dwcore/CollectionCode,CollectionCode
http://rs.tdwg.org/dwc/dwcore/Collector,Collector
http://rs.tdwg.org/dwc/curatorial/CollectorNumber,CollectorNumber
http://rs.tdwg.org/dwc/dwcore/Continent,ContinentOcean
http://rs.tdwg.org/dwc/dwcore/WaterBody,ContinentOcean
http://digir.net/schema/conceptual/darwin/2003/1.0/CoordinateUncertaintyInMeters,CoordinatePrecision
http://rs.tdwg.org/dwc/terms/coordinatePrecision,CoordinatePrecision
http://rs.tdwg.org/dwc/geospatial/CoordinateUncertaintyInMeters,CoordinateUncertaintyInMeters
http://rs.tdwg.org/dwc/dwcore/Country,Country
http://rs.tdwg.org/dwc/dwcore/County,County
http://rs.tdwg.org/dwc/dwcore/DateLastModified,DateLastModified
http://rs.tdwg.org/dwc/dwcore/EarliestDateCollected,DayCollected
http://rs.tdwg.org/dwc/dwcore/LatestDateCollected,DayCollected
http://rs.tdwg.org/dwc/terms/day,DayCollected
http://rs.tdwg.org/dwc/curatorial/DateIdentified,DayIdentified
http://rs.tdwg.org/dwc/geospatial/DecimalLatitude,DecimalLatitude
http://rs.tdwg.org/dwc/geospatial/DecimalLongitude,DecimalLongitude
http://rs.tdwg.org/dwc/dwcore/Family,Family
http://rs.tdwg.org/dwc/curatorial/FieldNotes,FieldNotes
http://rs.tdwg.org/dwc/curatorial/FieldNumber,FieldNumber
http://rs.tdwg.org/dwc/curatorial/GenBankNumber,GenBankNum
http://rs.tdwg.org/dwc/dwcore/Genus,Genus
http://rs.tdwg.org/dwc/geospatial/GeoreferenceProtocol,GeorefMethod
http://rs.tdwg.org/dwc/dwcore/HigherGeography,HigherGeography
http://rs.tdwg.org/dwc/dwcore/HigherTaxon,HigherTaxon
http://rs.tdwg.org/dwc/geospatial/GeodeticDatum,HorizontalDatum
http://rs.tdwg.org/dwc/dwcore/IdentificationQualifier,IdentificationModifier
http://rs.tdwg.org/dwc/curatorial/IdentifiedBy,IdentifiedBy
http://rs.tdwg.org/dwc/curatorial/IndividualCount,IndividualCount
http://rs.tdwg.org/dwc/dwcore/InstitutionCode,InstitutionCode
http://rs.tdwg.org/dwc/dwcore/Island,Island
http://rs.tdwg.org/dwc/dwcore/IslandGroup,IslandGroup
http://rs.tdwg.org/dwc/dwcore/DayOfYear,JulianDay
http://rs.tdwg.org/dwc/dwcore/Kingdom,Kingdom
http://digir.net/schema/conceptual/darwin/2003/1.0/DecimalLatitude,Latitude
http://rs.tdwg.org/dwc/geospatial/GeoreferenceRemarks,LatLongComments
http://rs.tdwg.org/dwc/dwcore/Locality,Locality
http://digir.net/schema/conceptual/darwin/2003/1.0/DecimalLongitude,Longitude
http://digir.net/schema/conceptual/darwin/2003/1.0/MaximumDepthInMeters,MaximumDepth
http://rs.tdwg.org/dwc/dwcore/MaximumDepthInMeters,MaximumDepthInMeters
http://digir.net/schema/conceptual/darwin/2003/1.0/MaximumElevationInMeters,MaximumElevation
http://rs.tdwg.org/dwc/dwcore/MaximumElevationInMeters,MaximumElevationInMeters
http://digir.net/schema/conceptual/darwin/2003/1.0/MinimumDepthInMeters,MinimumDepth
http://rs.tdwg.org/dwc/dwcore/MinimumDepthInMeters,MinimumDepthInMeters
http://digir.net/schema/conceptual/darwin/2003/1.0/MinimumElevationInMeters,MinimumElevation
http://rs.tdwg.org/dwc/dwcore/MinimumElevationInMeters,MinimumElevationInMeters
http://rs.tdwg.org/dwc/terms/month,MonthCollected
http://rs.tdwg.org/dwc/dwcore/EarliestDateCollected,MonthCollected
http://rs.tdwg.org/dwc/dwcore/LatestDateCollected,MonthCollected
http://rs.tdwg.org/dwc/curatorial/DateIdentified,MonthIdentified
http://digir.net/schema/conceptual/darwin/2003/1.0/Remarks,Notes
http://rs.tdwg.org/dwc/dwcore/Order,Order
http://rs.tdwg.org/dwc/geospatial/VerbatimCoordinateSystem,OriginalCoordinateSystem
http://rs.tdwg.org/dwc/curatorial/OtherCatalogNumbers,OtherCatalogNumbers
http://rs.tdwg.org/dwc/dwcore/Phylum,Phylum
http://rs.tdwg.org/dwc/curatorial/Preparations,Preparations
http://digir.net/schema/conceptual/darwin/2003/1.0/Preparations,PreparationType
http://digir.net/schema/conceptual/darwin/2003/1.0/OtherCatalogNumbers,PreviousCatalogNumber
http://rs.tdwg.org/dwc/curatorial/RelatedCatalogedItems,RelatedCatalogedItems
http://digir.net/schema/conceptual/darwin/2003/1.0/RelatedCatalogedItems,RelatedCatalogItem
http://rs.tdwg.org/dwc/dwcore/Remarks,Remarks
http://rs.tdwg.org/dwc/dwcore/ScientificName,ScientificName
http://rs.tdwg.org/dwc/dwcore/AuthorYearOfScientificName,ScientificNameAuthor
http://rs.tdwg.org/dwc/dwcore/Sex,Sex
http://rs.tdwg.org/dwc/dwcore/SpecificEpithet,Species
http://rs.tdwg.org/dwc/dwcore/StateProvince,StateProvince
http://rs.tdwg.org/dwc/dwcore/InfraspecificEpithet,Subspecies
http://digir.net/schema/conceptual/darwin/2003/1.0/TimeCollected,TimeOfDay
http://rs.tdwg.org/dwc/curatorial/TypeStatus,TypeStatus
http://rs.tdwg.org/dwc/curatorial/VerbatimCollectingDate,VerbatimCollectingDate
http://rs.tdwg.org/dwc/curatorial/VerbatimDepth,VerbatimDepth
http://rs.tdwg.org/dwc/curatorial/VerbatimElevation,VerbatimElevation
http://rs.tdwg.org/dwc/geospatial/VerbatimLatitude,VerbatimLatitude
http://rs.tdwg.org/dwc/geospatial/VerbatimLongitude,VerbatimLongitude
http://rs.tdwg.org/dwc/terms/year,YearCollected
http://rs.tdwg.org/dwc/dwcore/EarliestDateCollected,YearCollected
http://rs.tdwg.org/dwc/dwcore/LatestDateCollected,YearCollected
http://rs.tdwg.org/dwc/curatorial/DateIdentified,YearIdentified
http://rs.tdwg.org/dwc/terms/bed,Bed
http://rs.tdwg.org/dwc/terms/earliestAgeOrLowestStage,EarliestAgeOrLowestStage
http://rs.tdwg.org/dwc/terms/earliestEonOrLowestEonothem,EarliestEonOrLowestEonothem
http://rs.tdwg.org/dwc/terms/earliestEpochOrLowestSeries,EarliestEpochOrLowestSeries
http://rs.tdwg.org/dwc/terms/earliestEraOrLowestErathem,EarliestEraOrLowestErathem
http://rs.tdwg.org/dwc/terms/earliestPeriodOrLowestSystem,EarliestPeriodOrLowestSystem
http://rs.tdwg.org/dwc/terms/formation,Formation
http://rs.tdwg.org/dwc/terms/group,Group
http://rs.tdwg.org/dwc/terms/highestBiostratigraphicZone,HighestBiostratigraphicZone
http://rs.tdwg.org/dwc/terms/latestAgeOrHighestStage,LatestAgeOrHighestStage
http://rs.tdwg.org/dwc/terms/latestEpochOrHighestSeries,LatestEpochOrHighestSeries
http://rs.tdwg.org/dwc/terms/latestEraOrHighestErathem,LatestEraOrHighestErathem
http://rs.tdwg.org/dwc/terms/latestPeriodOrHighestSystem,LatestPeriodOrHighestSystem
http://rs.tdwg.org/dwc/terms/lithostratigraphicTerms,LithostratigraphicTerms
