document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,definition,usage,notes,examples,type,tdwgutility_organizedInClass,term_localName
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/CrystalFormText-2021-06-27,CrystalFormText-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,CrystalFormText,Free text description of crystal form.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,CrystalFormText
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/AnalysisDateTime-2021-06-27,AnalysisDateTime-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,AnalysisDateTime,When the analysis was carried out.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,AnalysisDateTime
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/CrystalMeasurement-AppliesTo-2021-06-27,CrystalMeasurement-AppliesTo-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,CrystalMeasurement AppliesTo,"Depending on the use of the type, this can further specify the actual part measured. For example, a measurement of temperature may be a surface, air or sub-surface measurement.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,CrystalMeasurement-AppliesTo
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/AnalysisReferences-2021-06-27,AnalysisReferences-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,AnalysisReferences,Container for 1 or more references related to the analysis.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,AnalysisReferences
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/BaselineDatum-2021-06-27,BaselineDatum-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,BaselineDatum,Text - what is the baseline e.g. top of borehole or base of measured section,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,BaselineDatum
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/HostRockStratigraphy-2021-06-27,HostRockStratigraphy-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,HostRockStratigraphy,Container for any stratigraphic determination specific to the host rock. For instance the gathering site may include a range of stratigraphic horizons whilst the unit host rock may represent just one. The unit itself might be different if it is allochthonous in origin. Minerals may be of a different age from their host rock.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HostRockStratigraphy
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/Geologists-Abbreviation-2021-06-27,Geologists-Abbreviation-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,Geologists Abbreviation,"Restricted to 50 characters maximum length, including blanks (recommended to be shorter!). Label abbreviations are especially important when displaying information in a tabular format.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Geologists-Abbreviation
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/Geologists-OrgUnit-2021-06-27,Geologists-OrgUnit-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,Geologists OrgUnit,(vCard:OrgUnit),,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Geologists-OrgUnit
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/Completeness-2021-06-27,Completeness-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,Completeness,"Free text descrbing the degree of completeness of the specimen e.g. complete, cephalon only, but may describe completeness of a part e.g. complete skull.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Completeness
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/DipDegrees-2021-06-27,DipDegrees-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,DipDegrees,The dip in degrees of laminae or stratal surfaces in this layer.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DipDegrees
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/Hazard-2021-06-27,Hazard-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,Hazard,"Container for describing hazards that may be associated with the specimen e.g. radioactive, toxic, carcinogens etc.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Hazard
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/Geologists-PreferredName-2021-06-27,Geologists-PreferredName-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,Geologists PreferredName,"May differ from the first given name: second given name, nickname ('Bob' for 'Robert'), etc. (vCard:Nickname)",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Geologists-PreferredName
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/Geologists-Name-2021-06-27,Geologists-Name-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,Geologists Name,"Full organization or corporate name in multiple languages (en: 'Botanical Garden of ...', de: 'Botanischer Garten von ...'). vCard:Org.OrgName). The Label mechanism also supports acronyms / abbreviations (no vCard equivalent!).",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Geologists-Name
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/AnalysisReferences-CitationDetail-2021-06-27,AnalysisReferences-CitationDetail-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,AnalysisReferences CitationDetail,"Specific page, figure or illustration number(s) within the reference.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,AnalysisReferences-CitationDetail
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/CrystalMeasurement-Duration-2021-06-27,CrystalMeasurement-Duration-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,CrystalMeasurement Duration,Duration of measurement in time.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,CrystalMeasurement-Duration
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/EarthScienceSpecimen-2021-06-27,EarthScienceSpecimen-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,EarthScienceSpecimen,Container for details that generally relate to the management of earth science specimens and their individual stratigraphic age (which may be different or more specific than that recorderd for the gathering site or the host rock.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,EarthScienceSpecimen
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/CrystalMeasurement-Accuracy-2021-06-27,CrystalMeasurement-Accuracy-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,CrystalMeasurement Accuracy,Statement of accuracy of measurement.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,CrystalMeasurement-Accuracy
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/AnalysisDateTime-TimeOfDayBegin-2021-06-27,AnalysisDateTime-TimeOfDayBegin-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,AnalysisDateTime TimeOfDayBegin,Time of day in hours from midnight for an exact point in time or for the beginning of a time period.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,AnalysisDateTime-TimeOfDayBegin
