document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,definition,usage,notes,examples,type,tdwgutility_organizedInClass,term_localName
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/CrystalMeasurement-URI-2021-06-27,CrystalMeasurement-URI-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,CrystalMeasurement URI,Universal Resource Identifier - Path to electronic source of document.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,CrystalMeasurement-URI
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/AnalysisDateTime-ISODateTimeEnd-2021-06-27,AnalysisDateTime-ISODateTimeEnd-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,AnalysisDateTime ISODateTimeEnd,The end of a period expressed in a modified ISO/ANSI 8601 standard structured format.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,AnalysisDateTime-ISODateTimeEnd
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/HostRockStratigraphy-BiostratigraphicAttribution-Abbreviation-2021-06-27,HostRockStratigraphy-BiostratigraphicAttribution-Abbreviation-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,HostRockStratigraphy BiostratigraphicAttribution Abbreviation,"Restricted to 50 characters maximum length, including blanks (recommended to be shorter!). Label abbreviations are especially important when displaying information in a tabular format.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HostRockStratigraphy-BiostratigraphicAttribution-Abbreviation
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/AnalysisDateTime-ExactDate-2021-06-27,AnalysisDateTime-ExactDate-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,AnalysisDateTime ExactDate,Uses DateTime element from ABCD.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,AnalysisDateTime-ExactDate
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/Geologists-Prefix-2021-06-27,Geologists-Prefix-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,Geologists Prefix,"Prefix to inherited name that should be output before name, but is usually not included in sorting. Examples: 'von', 'Lord'. Compare Title for 'Prof', 'Dr.' (vCard:N.Prefix)",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Geologists-Prefix
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/Geologists-InheritedName-2021-06-27,Geologists-InheritedName-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,Geologists InheritedName,"Family names, generational names, clan name, parents/grandparents personal names, etc. This (= last name in western cultures) may be compound ('Fischer von Waldheim', 'da Selva', 'Silvano Morales'). Depending on culture it is not necessarily the name of the parents nor common to the married couple and children, thus 'family name' should be avoided even though used in vCard.  (vCard:N.Family)",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Geologists-InheritedName
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/Geologists-FullName-2021-06-27,Geologists-FullName-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,Geologists FullName,Preferred form of personal name for display as a string.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Geologists-FullName
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/Borehole-2021-06-27,Borehole-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,Borehole,Container for details specific to boreholes and wells. Does not contain spatial reference as this and details of platform etc. are under Gathering in main ABCD schema - but they could be copied to make an independent schema.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Borehole
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/Geologists-OrgUnits-2021-06-27,Geologists-OrgUnits-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,Geologists OrgUnits,If the contact contains no person definition: the unit within the organization the agent represents; else a list of the various organisational units to which a person may belong. (vCard:OrgUnit),,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Geologists-OrgUnits
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/CrystalMeasurement-MeasuredBy-2021-06-27,CrystalMeasurement-MeasuredBy-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,CrystalMeasurement MeasuredBy,Attribution of the measurement to a Person,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,CrystalMeasurement-MeasuredBy
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/CrystalMeasurement-IsQuantitative-2021-06-27,CrystalMeasurement-IsQuantitative-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,CrystalMeasurement IsQuantitative,Flag indicating if the value represents the numerical result of a quantitative measurement (TRUE) or a descriptor with textual or categorical result (FALSE).,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,CrystalMeasurement-IsQuantitative
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/HostRockStratigraphy-BiostratigraphicAttribution-Accuracy-2021-06-27,HostRockStratigraphy-BiostratigraphicAttribution-Accuracy-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,HostRockStratigraphy BiostratigraphicAttribution Accuracy,Statement of accuracy of measurement.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HostRockStratigraphy-BiostratigraphicAttribution-Accuracy
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/AnalysisDateTime-PeriodExplicit-2021-06-27,AnalysisDateTime-PeriodExplicit-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,AnalysisDateTime PeriodExplicit,"Set to True if the event takes place for the period indicated, set to False if it occurs at some point of time during the period, not filled if unknown or no period specified.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,AnalysisDateTime-PeriodExplicit
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/AnalysisReferences-URI-2021-06-27,AnalysisReferences-URI-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,AnalysisReferences URI,Universal Resource Identifier - Path to electronic source of document.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,AnalysisReferences-URI
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/Encrustation-2021-06-27,Encrustation-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,Encrustation,"Free text description of biological encrustations, such as oysters and tube worms.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Encrustation
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/HoleDiameter-2021-06-27,HoleDiameter-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,HoleDiameter,Diameter of the borehole in milliimetres.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HoleDiameter
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/Geologists-GivenNames-2021-06-27,Geologists-GivenNames-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,Geologists GivenNames,"The name given to a person as a personal name (= first or christian name in western cultures, including 'middle initials') may contain several words ('Ana Maria', 'Jerry B.'). Applicable only to persons. (vCard:N.Given + vCard:N.Middle)",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Geologists-GivenNames
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/Articulation-2021-06-27,Articulation-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,Articulation,"Free text description of the articulation in the preserved specimen - applies to invertebrate shells and exoskeletons as well as vertebrate skeletons. e.g. articulated, dis-articulated, single valves etc.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Articulation
