link_column,link_property,suffix1,link_characters,suffix2,filename,forward_link
term,dcterms:isVersionOf,version,http,,ac-borrowed-versions.csv,dcterms:hasVersion
replaced_term,dcterms:replaces,replacing_term,http,,ac-borrowed-replacements.csv,dcterms:isReplacedBy
