document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,skos_broader,skos_inScheme,definition,definition_derived_from,usage,notes,examples,controlled_value_string,type,term_localName
2023-05-07T20:14:27-05:00,http://rs.tdwg.org/acpart/values/version/p-2023-04-26,p-2023-04-26,http://rs.tdwg.org/acpart/values/version/,2023-04-26,recommended,,,,subject part concept scheme,,,a SKOS concept scheme for ac:subjectOrientation,,,,,,http://www.w3.org/2004/02/skos/core#ConceptScheme,p
2023-05-07T20:14:27-05:00,http://rs.tdwg.org/acpart/values/version/p0000-2023-04-26,p0000-2023-04-26,http://rs.tdwg.org/acpart/values/version/,2023-04-26,recommended,,,,unspecified part,,p,Part is not known because it is not specified,,,,,unspecifiedPart,http://www.w3.org/2004/02/skos/core#Concept,p0000
2023-05-07T20:14:27-05:00,http://rs.tdwg.org/acpart/values/version/p0001-2023-04-26,p0001-2023-04-26,http://rs.tdwg.org/acpart/values/version/,2023-04-26,recommended,,,,entire organism,,p,An entire multicellular organism,http://purl.obolibrary.org/obo/CARO_0000012,,,http://bioimages.vanderbilt.edu/baskauf/25638,entireOrganism,http://www.w3.org/2004/02/skos/core#Concept,p0001
2023-05-07T20:14:27-05:00,http://rs.tdwg.org/acpart/values/version/p0002-2023-04-26,p0002-2023-04-26,http://rs.tdwg.org/acpart/values/version/,2023-04-26,recommended,,,,bark,,p,Plant tissue outside the vascular cambium,http://purl.obolibrary.org/obo/PO_0004518,,,http://bioimages.vanderbilt.edu/baskauf/41910,bark,http://www.w3.org/2004/02/skos/core#Concept,p0002
2023-05-07T20:14:27-05:00,http://rs.tdwg.org/acpart/values/version/p0003-2023-04-26,p0003-2023-04-26,http://rs.tdwg.org/acpart/values/version/,2023-04-26,recommended,,,,twig,,p,Plant shoot axis developed from axillary buds,http://purl.obolibrary.org/obo/PO_0025073,,,http://bioimages.vanderbilt.edu/baskauf/63779,twig,http://www.w3.org/2004/02/skos/core#Concept,p0003
2023-05-07T20:14:27-05:00,http://rs.tdwg.org/acpart/values/version/p0004-2023-04-26,p0004-2023-04-26,http://rs.tdwg.org/acpart/values/version/,2023-04-26,recommended,,,,stem,,p,Plant shoot axis that defines the primary axis,http://purl.obolibrary.org/obo/PO_0009047,,,http://bioimages.vanderbilt.edu/baskauf/65236,stem,http://www.w3.org/2004/02/skos/core#Concept,p0004
2023-05-07T20:14:27-05:00,http://rs.tdwg.org/acpart/values/version/p0005-2023-04-26,p0005-2023-04-26,http://rs.tdwg.org/acpart/values/version/,2023-04-26,recommended,,,,leaf,,p,Plant non-reproductive phyllome,http://purl.obolibrary.org/obo/PO_0025034,,,http://bioimages.vanderbilt.edu/baskauf/41905,leaf,http://www.w3.org/2004/02/skos/core#Concept,p0005
2023-05-07T20:14:27-05:00,http://rs.tdwg.org/acpart/values/version/p0006-2023-04-26,p0006-2023-04-26,http://rs.tdwg.org/acpart/values/version/,2023-04-26,recommended,,,,strobilis (cone),,p,Plant reproductive system consisting of sporophylls,http://purl.obolibrary.org/obo/PO_0025083,,,http://bioimages.vanderbilt.edu/baskauf/60561,strobilis,http://www.w3.org/2004/02/skos/core#Concept,p0006
2023-05-07T20:14:27-05:00,http://rs.tdwg.org/acpart/values/version/p0007-2023-04-26,p0007-2023-04-26,http://rs.tdwg.org/acpart/values/version/,2023-04-26,recommended,,,,inflorescence,,p,Plant reproductive shoot system containing flowers,http://purl.obolibrary.org/obo/PO_0009049,,,http://bioimages.vanderbilt.edu/baskauf/57919,inflorescence,http://www.w3.org/2004/02/skos/core#Concept,p0007
2023-05-07T20:14:27-05:00,http://rs.tdwg.org/acpart/values/version/p0008-2023-04-26,p0008-2023-04-26,http://rs.tdwg.org/acpart/values/version/,2023-04-26,recommended,,,,fruit,,p,Plant structure developing from a flower,http://purl.obolibrary.org/obo/PO_0009001,,,http://bioimages.vanderbilt.edu/baskauf/41891,fruit,http://www.w3.org/2004/02/skos/core#Concept,p0008
2023-05-07T20:14:27-05:00,http://rs.tdwg.org/acpart/values/version/p0009-2023-04-26,p0009-2023-04-26,http://rs.tdwg.org/acpart/values/version/,2023-04-26,recommended,,,,seed,,p,Plant structure containing dormant embryo,http://purl.obolibrary.org/obo/PO_0009010,,,http://bioimages.vanderbilt.edu/baskauf/30744,seed,http://www.w3.org/2004/02/skos/core#Concept,p0009
2023-05-07T20:14:27-05:00,http://rs.tdwg.org/acpart/values/version/p0010-2023-04-26,p0010-2023-04-26,http://rs.tdwg.org/acpart/values/version/,2023-04-26,recommended,,,,male cone,p0006,p,Plant strobilis bearing pollen,http://purl.obolibrary.org/obo/PO_0005031,,,http://bioimages.vanderbilt.edu/baskauf/51365,maleCone,http://www.w3.org/2004/02/skos/core#Concept,p0010
2023-05-07T20:14:27-05:00,http://rs.tdwg.org/acpart/values/version/p0011-2023-04-26,p0011-2023-04-26,http://rs.tdwg.org/acpart/values/version/,2023-04-26,recommended,,,,female cone,p0006,p,Plant strobilis bearing ovules,http://purl.obolibrary.org/obo/PO_0005032,,,http://bioimages.vanderbilt.edu/baskauf/51363,femaleCone,http://www.w3.org/2004/02/skos/core#Concept,p0011
2023-05-07T20:14:27-05:00,http://rs.tdwg.org/acpart/values/version/p0012-2023-04-26,p0012-2023-04-26,http://rs.tdwg.org/acpart/values/version/,2023-04-26,recommended,,,,flower,p0007,p,Plant reproductive shoot system containing a carpel,http://purl.obolibrary.org/obo/PO_0009046,,,http://bioimages.vanderbilt.edu/baskauf/52498,flower,http://www.w3.org/2004/02/skos/core#Concept,p0012
2023-05-07T20:14:27-05:00,http://rs.tdwg.org/acpart/values/version/p0013-2023-04-26,p0013-2023-04-26,http://rs.tdwg.org/acpart/values/version/,2023-04-26,recommended,,,,head,,p,Anterior-most division of the body,http://purl.obolibrary.org/obo/UBERON_0000033,,,https://monarch.calacademy.org/mnt/target-images/CASTYPE/00001/CASTYPE1503_h.jpg,head,http://www.w3.org/2004/02/skos/core#Concept,p0013
2023-05-07T20:14:27-05:00,http://rs.tdwg.org/acpart/values/version/p0014-2023-04-26,p0014-2023-04-26,http://rs.tdwg.org/acpart/values/version/,2023-04-26,recommended,,,,thorax,,p,The middle division of the insect body bearing locomotor appendages,http://purl.obolibrary.org/obo/UBERON_6000015,,,https://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00610536_Lasioglossum_oblongum_thl.jpg,thorax,http://www.w3.org/2004/02/skos/core#Concept,p0014
2023-05-07T20:14:27-05:00,http://rs.tdwg.org/acpart/values/version/p0015-2023-04-26,p0015-2023-04-26,http://rs.tdwg.org/acpart/values/version/,2023-04-26,recommended,,,,abdomen,,p,The posterior-most division of the insect body,http://purl.obolibrary.org/obo/UBERON_6000020,,,"https://commons.wikimedia.org/wiki/File:Halictus_scabiosae,_specimen_exonie54,_from_Botevgrad,_Bulgaria_10_(dorsal,_abdomen).jpg",abdomen,http://www.w3.org/2004/02/skos/core#Concept,p0015
2023-05-07T20:14:27-05:00,http://rs.tdwg.org/acpart/values/version/p0016-2023-04-26,p0016-2023-04-26,http://rs.tdwg.org/acpart/values/version/,2023-04-26,recommended,,,,leg,,p,Walking appendage,http://purl.obolibrary.org/obo/UBERON_0002101,,,https://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00000547_Halictus_albitarsis_hlg.jpg,leg,http://www.w3.org/2004/02/skos/core#Concept,p0016
2023-05-07T20:14:27-05:00,http://rs.tdwg.org/acpart/values/version/p0017-2023-04-26,p0017-2023-04-26,http://rs.tdwg.org/acpart/values/version/,2023-04-26,recommended,,,,wing,,p,Appendage that is shaped in order to produce lift for flight through the air,http://purl.obolibrary.org/obo/UBERON_0000023,,,https://commons.wikimedia.org/wiki/File:Monarch_Butterfly_Danaus_plexippus_Wing_2400px.jpg,wing,http://www.w3.org/2004/02/skos/core#Concept,p0017
2023-05-07T20:14:27-05:00,http://rs.tdwg.org/acpart/values/version/p0018-2023-04-26,p0018-2023-04-26,http://rs.tdwg.org/acpart/values/version/,2023-04-26,recommended,,,,antenna,,p,"The paired, usually multiple jointed, sensory organs on the head",http://purl.obolibrary.org/obo/UBERON_0000972,,,"https://commons.wikimedia.org/wiki/File:Blatta_orientalis_male_from_Botevgrad,_Bulgaria_05.jpg",antenna,http://www.w3.org/2004/02/skos/core#Concept,p0018
2023-05-07T20:14:27-05:00,http://rs.tdwg.org/acpart/values/version/p0019-2023-04-26,p0019-2023-04-26,http://rs.tdwg.org/acpart/values/version/,2023-04-26,recommended,,,,forewing,p0017,p,The paired insect wing that is continuous with the mesonotum,http://purl.obolibrary.org/obo/AISM_0000037,,,https://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00017211_Melissa_porteri_fwg.jpg,forewing,http://www.w3.org/2004/02/skos/core#Concept,p0019
2023-05-07T20:14:27-05:00,http://rs.tdwg.org/acpart/values/version/p0020-2023-04-26,p0020-2023-04-26,http://rs.tdwg.org/acpart/values/version/,2023-04-26,recommended,,,,hindwing,p0017,p,The paired insect wing that is continuous with the metanotum,http://purl.obolibrary.org/obo/AISM_0000038,,,https://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00610195_Agapostemon_texanus_hwg.jpg,hindwing,http://www.w3.org/2004/02/skos/core#Concept,p0020
2023-05-07T20:14:27-05:00,http://rs.tdwg.org/acpart/values/version/p0021-2023-04-26,p0021-2023-04-26,http://rs.tdwg.org/acpart/values/version/,2023-04-26,recommended,,,,foreleg,p0016,p,Leg of the prothoracic segment,http://purl.obolibrary.org/obo/UBERON_6004663,,,https://www.morphbank.net/?id=861240,foreleg,http://www.w3.org/2004/02/skos/core#Concept,p0021
