link_column,link_property,suffix1,link_characters,suffix2,filename,forward_link
term_localName,dcterms:isVersionOf,version,http,,photoshop-for-ac-versions.csv,dcterms:hasVersion
replaced_term,dcterms:replaces,replacing_term,http,,photoshop-for-ac-replacements.csv,dcterms:isReplacedBy
