"identifier","context","text"
"Credit:label","Label for Credit http://rs.tdwg.org/dwc/terms/Credit","Autor"
"Credit:rdfs_comment","Comment for Credit http://rs.tdwg.org/dwc/terms/Credit",""
"Credit:dcterms_description","Description for Credit http://rs.tdwg.org/dwc/terms/Credit",""
