term_localName,label,rdfs_comment,skos_scopeNote,dcterms_description,examples,rdf_type,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_layer,tdwgutility_required,tdwgutility_repeatable
lifeStage,Subject Life Stage,The age class or life stage of the biological individual(s) at the time the Occurrence was recorded.,"A description of the life-cycle stage of any organisms featured within the media, when relevant to the subject of the media, e.g., larvae, juvenile, adult.",Recommended best practice is to use a controlled vocabulary.,"`egg`, `eft`, `juvenile`, `adult`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/TaxonomicCoverage,,,No,Yes
nameAccordingTo,Name According To,"The reference to the source in which the specific taxon concept circumscription is defined or implied - traditionally signified by the Latin ""sensu"" or ""sec."" (from secundum, meaning ""according to""). For taxa that result from identifications, a reference to the keys, monographs, experts and other sources should be given.","The taxonomic authority used to apply the name to the taxon, e.g., a person, book or web service.","Examples are ""Flora of North America"", ""Landrum 1981, Monograph of the Genus Myrceugenia (Myrtaceae)"", ""Peterson Field Guide to Birds of North America"", or ""Expert identification by J.Smith"".","`McCranie, J. R., D. B. Wake, and L. D. Wilson. 1996. The taxonomic status of Bolitoglossa schmidti, with comments on the biology of the Mesoamerican salamander Bolitoglossa dofleini (Caudata: Plethodontidae). Carib. J. Sci. 32:395-398.`, `Werner Greuter 2008`. `Lilljeborg 1861, Upsala Univ. Arsskrift, Math. Naturvet., pp. 4, 5`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/TaxonomicCoverage,,,No,Yes
sex,Subject Sex,The sex of the biological individual(s) represented in the Occurrence.,"A description of the sex of any organisms featured within the media, when relevant to the subject of the media, e.g., male, female, hermaphrodite, dioecious.",Recommended best practice is to use a controlled vocabulary.,"`female`, `male`, `hermaphrodite`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/TaxonomicCoverage,,,No,Yes
