term_localName,label,rdfs_comment,dcterms_description,examples,rdf_type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_usageScope
Survey,Survey,A biotic survey or inventory.,"This class includes properties found in the Humboldt Extension to Darwin Core (eco: namespace), except for the target scope terms, which can be accommodated in eco:SurveyTarget.","`a botanical survey of a protected area to assess native and invasive plant species`; `a wetland vegetation mapping`; `a camera trap deployment in a rainforest to monitor large mammals`; `a frog call survey in wetlands across breeding seasons`; `a coverboard survey for reptiles in forested environments`; `a pollinator survey in an agricultural landscape`; `a macroinvertebrate sampling in a freshwater stream to assess water quality`; `a habitat- or ecosystem-level survey (e.g., coral reef health assessment, forest biodiversity assessment)`; `an environmental impact assessment (e.g., pre-construction biological baseline survey for a wind farm project)`",http://www.w3.org/2000/01/rdf-schema#Class,not in ABCD,,,extension
surveyID,Survey ID,An identifier for an eco:Survey.,Recommended best practice is to use a globally unique identifier.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/eco/terms/Survey,,extension
SurveyTarget,SurveyTarget,One or more scopes that describe a target for dwc:Occurrences in an eco:Survey.,,"`all bird species`; `all bird species except Larus gulls, fulmars and kittiwakes`; `reproductive female Ctenomys sociabilis (only)`; `Oncorhynchus mykiss and Oncorhynchus clarkii (only)`, `all total lengths except < 12 inches`",http://www.w3.org/2000/01/rdf-schema#Class,not in ABCD,,,extension
surveyTargetID,Survey Target ID,An identifier for an eco:SurveyTarget.,Recommended best practice is to use a globally unique identifier. Note: values of this term are not meant to be unique within an eco:SurveyTarget. A full eco:SurveyTarget is composed of all records that share the same eco:surveyTargetID.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/eco/terms/SurveyTarget,,extension
surveyTargetType,Survey Target Type,A category that best matches the nature of a scope in an eco:SurveyTarget.,Recommended best practice is to use a controlled vocabulary. Terms in the ecoiri: namespace are intended to be used in RDF with non-literal objects.,`taxon`; `habitat`; `establishmentMeans`; `growthForm`; `sex`; `lifeStage`; `minimum length`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/eco/terms/SurveyTarget,,extension
surveyTargetValue,Survey Target Value,A value to include or exclude in a scope categorized by eco:surveyTargetType.,Recommended best practice is to use a controlled vocabulary. Terms in the ecoiri: namespace are intended to be used in RDF with non-literal objects.,`Aves`; `oak savannah`; `native`; `tree`; `female`; `adult`; `height`; `weight`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/eco/terms/SurveyTarget,,extension
surveyTargetUnit,Survey Target Unit,Unit associated with a value in eco:surveyTargetValue.,Recommended best practice is to use a controlled vocabulary. Terms in the ecoiri: namespace are intended to be used in RDF with non-literal objects.,`m`; `g`; `years`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/eco/terms/SurveyTarget,,extension
includeOrExclude,Include Or Exclude,Whether to include or exclude eco:surveyTargetValue in a scope categorized by eco:surveyTargetType.,Combinations of eco:SurveyTarget records of inclusions and exclusions can define complex scopes such as all flying adult Aves except Passeriformes. Recommended best practice is to use a controlled vocabulary consisting of 'include' and 'exclude' only.,`include`; `exclude`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/eco/terms/SurveyTarget,,extension
isSurveyTargetFullyReported,Is Survey Target Fully Reported,Whether an eco:SurveyTarget can be used to infer absence of detection because all counts of detected dwc:Occurrences matching an eco:SurveyTarget were fully reported.,"Recommended best practice is to follow the TDWG Boolean Controlled Vocabulary http://rs.tdwg.org/tag/doc/boolean/. If True (the survey target is fully reported - nothing was left unreported), then this enables inference of absence of detection for everything in that eco:SurveyTarget that is included but that does not appear in the counts (absent counts signify absence of detection).",`true`; `false`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/eco/terms/SurveyTarget,,extension
