document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,rdfs_comment,dcterms_description,rdf_type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,term_localName
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/dwcore/version/EarliestDateCollected-2007-04-17,EarliestDateCollected-2007-04-17,http://rs-test.tdwg.org/dwc/dwcore/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/DayCollected-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/MonthCollected-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/YearCollected-2003-06-17,Earliest Date Collected,"The earliest date-time (Common Era calendar) in a date-time period during which an organism or group of organisms was collected or observed. If the event is recorded as occurring at a single date-time, populate both EarliestDateCollected and LatestDateCollected with the same value.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Gathering/ISODateTimeBegin,,,EarliestDateCollected
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/dwcore/version/Family-2007-04-17,Family-2007-04-17,http://rs-test.tdwg.org/dwc/dwcore/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Family-2003-06-17,,,Family,The name of the family in which the organism is classified.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/HigherTaxa/HigherTaxon/HigherTaxonName with HigherTaxa/HigherTaxon/HigherTaxonRank = familia,,,Family
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/dwcore/version/Genus-2007-04-17,Genus-2007-04-17,http://rs-test.tdwg.org/dwc/dwcore/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Genus-2003-06-17,,,Genus,The name of the genus in which the organism is classified.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,{DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/ScientificName/NameAtomised/Bacterial/GenusOrMonomial or DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/ScientificName/NameAtomised/Botanical/GenusOrMonomial or DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/ScientificName/NameAtomised/Viral/GenusOrMonomial or DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/ScientificName/NameAtomised/Zoological/GenusOrMonomial},,,Genus
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/dwcore/version/GlobalUniqueIdentifier-2007-04-17,GlobalUniqueIdentifier-2007-04-17,http://rs-test.tdwg.org/dwc/dwcore/version/,2007-04-17,deprecated,,,,Global Unique Identifier,"A Uniform Resource Name (URN) as a unique identifier for the specimen or observation record. In the absence of a persistent global unique identifier, construct one in the form: ""[InstitutionCode]:[CollectionCode]: [CatalogNumber]"" Examples: 1) urn:lsid:nhm.ku.edu:Herps:32 2) ""FMNH:Mammal:145732""",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/UnitGUID,,,GlobalUniqueIdentifier
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/dwcore/version/HigherGeography-2007-04-17,HigherGeography-2007-04-17,http://rs-test.tdwg.org/dwc/dwcore/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/HigherGeography-2003-06-17,,,Higher Geography,"The names (concatenated and separated) of geographic elements less specific than the information in the Locality element. ""LIKE"" or ""contains"" substring query operations are meant to be used with this element to find matching geographic names. This can be useful if it is unclear in which element a name might be found, and in cases where there is no other appropriate geographic element. Example: ""South America, Argentina, Patagonia, Parque Nacional Nahuel Huapi, Neuquén, Los Lagos"" with accompanying values ""South America"" in Continent, ""Argentina"" in Country, ""Neuquén"" in StateProvince, and Los Lagos in County.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,{DataSets/DataSet/Units/Unit/Gathering/LocalityText or DataSets/DataSet/Units/Unit/Gathering/NamedAreas/NamedArea/AreaName},,,HigherGeography
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/dwcore/version/HigherTaxon-2007-04-17,HigherTaxon-2007-04-17,http://rs-test.tdwg.org/dwc/dwcore/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/HigherTaxon-2003-06-17,,,Higher Taxon,"The names of taxonomic ranks less specific than SpecificEpithet concatenated and separated. ""LIKE"" or ""contains"" substring query operations are meant to be used with this element to find matching higher taxon names. This element may contain the list of scientific names of all of the supra-specific taxa in the classification used to identify (determine) the specimen or observation. Example: ""Animalia, Chordata, Vertebrata, Mammalia, Theria, Eutheria, Rodentia, Hystricognatha, Hystricognathi, Ctenomyidae, Ctenomyini, Ctenomys"".",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/HigherTaxa/HigherTaxon/HigherTaxonName,,,HigherTaxon
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/dwcore/version/IdentificationQualifier-2007-04-17,IdentificationQualifier-2007-04-17,http://rs-test.tdwg.org/dwc/dwcore/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/IdentificationModifier-2003-06-17,,,Identification Qualifier,"A brief phrase or a standard term (""cf."", ""aff."") to qualify the identification of the organism when doubts have arisen as to its taxonomic identity (determination). Examples: 1) For the determination ""Quercus aff. agrifolia var. oxyadenia"", IdentificationQualifier would be ""aff. agrifolia var. oxyadenia"" with accompanying values ""Quercus"" in Genus, ""agrifolia"" in SpecificEpithet, ""oxyadenia"" in InfraspecificEpithet, and ""var."" in InfraspecificRank. 2) For the determination ""Quercus agrifolia cf. var. oxyadenia"", IdentificationQualifier would be ""cf. var. oxyadenia "" with accompanying values ""Quercus"" in Genus, ""agrifolia"" in SpecificEpithet, ""oxyadenia"" in InfraspecificEpithet, and ""var."" in InfraspecificRank.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/IdentificationQualifier,,,IdentificationQualifier
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/dwcore/version/ImageURL-2007-04-17,ImageURL-2007-04-17,http://rs-test.tdwg.org/dwc/dwcore/version/,2007-04-17,deprecated,,,,Image URL,A Universal Resource Locator reference to digital images associated with the specimen or observation.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/MultimediaObjects,,,ImageURL
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/dwcore/version/InformationWithheld-2007-04-17,InformationWithheld-2007-04-17,http://rs-test.tdwg.org/dwc/dwcore/version/,2007-04-17,deprecated,,,,Information Withheld,"Brief descriptions of additional information that may exist, but that has not been made public. Information about obtaining the withheld information should be sought from the administrative contact identified in the provider resource metadata (curator, collection manager). Examples: ""specific locality information given only to nearest county"", ""ask about tissue samples"", ""georeferences given only to nearest degree"".",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/InformationWithheld,,,InformationWithheld
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/dwcore/version/InfraspecificEpithet-2007-04-17,InfraspecificEpithet-2007-04-17,http://rs-test.tdwg.org/dwc/dwcore/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Subspecies-2003-06-17,,,Infraspecific Epithet,The infraspecific epithet of the scientific name applied to the organism.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,{DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/ScientificName/NameAtomised/Bacterial/SubspeciesEpithet or DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/ScientificName/NameAtomised/Botanical/SecondEpithet or DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/ScientificName/NameAtomised/Zoological/SubspeciesEpithet},,,InfraspecificEpithet
