rdf_type,replacing_version,replacing_version_localName,replacing_version_namespace,replaced_version,replaced_version_namespace,replaced_version_localName
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/version/dynamicProperties-2009-04-24,dynamicProperties-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,http://rs-test.tdwg.org/dwc/dwcore/version/Attributes-2007-04-17,http://rs-test.tdwg.org/dwc/dwcore/version/,Attributes-2007-04-17
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/version/occurrenceAttributes-2009-04-24,occurrenceAttributes-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,http://rs-test.tdwg.org/dwc/dwcore/version/Attributes-2007-04-17,http://rs-test.tdwg.org/dwc/dwcore/version/,Attributes-2007-04-17
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/version/scientificNameAuthorship-2009-04-24,scientificNameAuthorship-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,http://rs-test.tdwg.org/dwc/dwcore/version/AuthorYearOfScientificName-2007-04-17,http://rs-test.tdwg.org/dwc/dwcore/version/,AuthorYearOfScientificName-2007-04-17
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/version/basisOfRecord-2009-04-24,basisOfRecord-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,http://rs-test.tdwg.org/dwc/dwcore/version/BasisOfRecord-2007-04-17,http://rs-test.tdwg.org/dwc/dwcore/version/,BasisOfRecord-2007-04-17
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/version/catalogNumber-2009-04-24,catalogNumber-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,http://rs-test.tdwg.org/dwc/dwcore/version/CatalogNumber-2007-04-17,http://rs-test.tdwg.org/dwc/dwcore/version/,CatalogNumber-2007-04-17
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/version/class-2009-04-24,class-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,http://rs-test.tdwg.org/dwc/dwcore/version/Class-2007-04-17,http://rs-test.tdwg.org/dwc/dwcore/version/,Class-2007-04-17
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/version/samplingProtocol-2009-04-24,samplingProtocol-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,http://rs-test.tdwg.org/dwc/dwcore/version/CollectingMethod-2007-04-17,http://rs-test.tdwg.org/dwc/dwcore/version/,CollectingMethod-2007-04-17
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/version/collectionCode-2009-04-24,collectionCode-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,http://rs-test.tdwg.org/dwc/dwcore/version/CollectionCode-2007-04-17,http://rs-test.tdwg.org/dwc/dwcore/version/,CollectionCode-2007-04-17
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/version/recordedBy-2009-04-24,recordedBy-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,http://rs-test.tdwg.org/dwc/dwcore/version/Collector-2007-04-17,http://rs-test.tdwg.org/dwc/dwcore/version/,Collector-2007-04-17
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/version/continent-2009-04-24,continent-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,http://rs-test.tdwg.org/dwc/dwcore/version/Continent-2007-04-17,http://rs-test.tdwg.org/dwc/dwcore/version/,Continent-2007-04-17
