document_modified,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,skos_inScheme,controlled_value_string,definition,usage,notes,examples,sawsdlrdf_modelReference,type
2020-10-18T19:34:24-04:00,Drawing,http://rs.tdwg.org/acsubtype/values/,2020-10-13,2020-10-13,,,,,Drawing,,Drawing,"Visual works produced by drawing, which is the application of lines on a surface, often paper, by using a pencil, pen, chalk, or some other tracing instrument to focus on the delineation of form rather than the application of color.",,See http://vocab.getty.edu/page/aat/300033973,,,http://www.w3.org/2000/01/rdf-schema#Class
2020-10-18T19:34:24-04:00,Painting,http://rs.tdwg.org/acsubtype/values/,2020-10-13,2020-10-13,,,,,Painting,,Painting,"Unique works in which images are formed primarily by the direct application of pigments suspended in oil, water, egg yolk, molten wax, or other liquid, arranged in masses of color, onto a generally two-dimensional surface.",,See http://vocab.getty.edu/page/aat/300033618,,,http://www.w3.org/2000/01/rdf-schema#Class
2020-10-18T19:34:24-04:00,Logo,http://rs.tdwg.org/acsubtype/values/,2020-10-13,2020-10-13,,,,,Logo,,Logo,"Devices that are specifically symbol- or picture based, designed for ready recognition to identify a product, company, or organization and sometimes used as trademarks.",,See http://vocab.getty.edu/page/aat/300028715,,,http://www.w3.org/2000/01/rdf-schema#Class
2020-10-18T19:34:24-04:00,Icon,http://rs.tdwg.org/acsubtype/values/,2020-10-13,2020-10-13,,,,,Icon,,Icon,"Small pictures, pictograms, or symbols used on computer displays or in graphical user interfaces meant to represent files, objects, applications, actions, or messages.",,See http://vocab.getty.edu/page/aat/300266210,,,http://www.w3.org/2000/01/rdf-schema#Class
2020-10-18T19:34:24-04:00,Illustration,http://rs.tdwg.org/acsubtype/values/,2020-10-13,2020-10-13,,,,,Illustration,,Illustration,Pictures or diagrams that clarify or provide an example or visualization. They usually accompany a text; the term is most often used to refer to pictures in books or published journal.,,See http://vocab.getty.edu/page/aat/300015578,,,http://www.w3.org/2000/01/rdf-schema#Class
2020-10-18T19:34:24-04:00,Graphic,http://rs.tdwg.org/acsubtype/values/,2020-10-13,2020-10-13,,,,,Graphic,,Graphic,Visual images or designs preserved on some medium.,,,,,http://www.w3.org/2000/01/rdf-schema#Class
2020-10-18T19:34:24-04:00,Photograph,http://rs.tdwg.org/acsubtype/values/,2020-10-13,2020-10-13,,,,,Photograph,,Photograph,"Refers to still images produced from radiation-sensitive materials (sensitive to light, electron beams, or nuclear radiation), generally by means of the chemical action of light on a sensitive film, paper, glass, or metal. Photographs may be positive or negative, opaque or transparent. The concept may include photographs made by digital means.",,See http://vocab.getty.edu/page/aat/300046300,,,http://www.w3.org/2000/01/rdf-schema#Class
2020-10-18T19:34:24-04:00,Animation,http://rs.tdwg.org/acsubtype/values/,2020-10-13,2020-10-13,,,,,Animation,,Animation,"Works that present the illusion of movement and that may be created by a number of techniques including successive drawings, photographing positions of puppets or models, or using computers.",,See http://vocab.getty.edu/page/aat/300411663,,,http://www.w3.org/2000/01/rdf-schema#Class
2020-10-18T19:34:24-04:00,Film,http://rs.tdwg.org/acsubtype/values/,2020-10-13,2020-10-13,,,,,Film,,Film,"Works presented in the form of a series of pictures carried on photographic film or video tape, presented to the eye in such rapid succession as to give the illusion of natural movement.",,Also known as motion pictures. See http://vocab.getty.edu/page/aat/300136900,,,http://www.w3.org/2000/01/rdf-schema#Class
2020-10-18T19:34:24-04:00,SlideShow,http://rs.tdwg.org/acsubtype/values/,2020-10-13,2020-10-13,,,,,Slide Show,,SlideShow,"Visual representations of information for the purpose of achieving favorable visibility and persuading an audience to believe or support the presentor's ideas, projects, or goals.",,See http://vocab.getty.edu/page/aat/300258677,,,http://www.w3.org/2000/01/rdf-schema#Class
