document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,rdfs_comment,dcterms_description,examples,rdf_type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_usageScope,term_localName
2025-07-07T15:53:12-05:00,http://rs.tdwg.org/ac/terms/version/fundingAttribution-2020-01-27,fundingAttribution-2020-01-27,http://rs.tdwg.org/ac/terms/version/,2020-01-27,recommended,http://rs.tdwg.org/ac/terms/version/fundingAttribution-2013-10-28,,,Funding Attribution,Text description of organizations or individuals who funded the creation of the resource.,"Specify the full official name of the funding body. This should include the complete name without abbreviations, unless the abbreviation is an official and commonly recognized form (e.g., NSF for the National Science Foundation). The recommended best practice is to separate the values in a list with space vertical bar space ( | ).",`Norges forskningsråd`; `Artsdatabanken`; `Ocean Census | Nippon Foundation`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/Provenance,,simple,fundingAttribution
2026-06-05T00:51:30-03:00,http://rs.tdwg.org/ac/terms/version/Media-2026-02-24,Media-2026-02-24,http://rs.tdwg.org/ac/terms/version/,2026-02-24,recommended,,,,Media Entity,A digital or physical media resource.,An instance of digital textual media may be better represented as a dcterms:BibliographicResource.,`dcmi:Sound`; `dcmi:StillImage`; `dcmi:MovingImage`; `dcmi:InteractiveResource`; `ac:Digital3DResource`,http://www.w3.org/2000/01/rdf-schema#Class,This term is equivalent to the ABCD term http://rs.tdwg.org/abcd/terms/MultimediaObject .,,,extension,Media
