document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,rdfs_comment,dcterms_description,examples,rdf_type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,rdfs_seeAlso,tdwgutility_usageScope,term_localName
2020-10-16T16:31:04-04:00,http://rs.tdwg.org/dwc/iri/version/establishmentMeans-2015-03-27,establishmentMeans-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,superseded,,,,Establishment Means (IRI),The process by which the biological individual(s) represented in the Occurrence became established at the location.,Recommended best practice is to use a controlled vocabulary. Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,http://rs.tdwg.org/dwc/terms/establishmentMeans,,establishmentMeans
2023-06-28T16:39:28-05:00,http://rs.tdwg.org/dwc/iri/version/fieldNotes-2015-03-27,fieldNotes-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,superseded,,,,Field Notes (IRI),"One of a) an indicator of the existence of, b) a reference to (publication, URI), or c) the text of notes taken in the field about the Event.",The subject is a dwc:Event instance and the object is a (possibly IRI-identified) resource that is the field notes.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,http://rs.tdwg.org/dwc/terms/fieldNotes,,fieldNotes
2023-06-28T16:39:28-05:00,http://rs.tdwg.org/dwc/iri/version/fieldNumber-2015-03-27,fieldNumber-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,superseded,,,,Field Number (IRI),An identifier given to the event in the field. Often serves as a link between field notes and the Event.,The subject is a (possibly IRI-identified) resource that is the field notes and the object is a dwc:Event instance.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,http://rs.tdwg.org/dwc/terms/fieldNumber,,fieldNumber
2021-07-27T08:04:18-05:00,http://rs.tdwg.org/dwc/iri/version/footprintSRS-2015-03-27,footprintSRS-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,superseded,,,,Footprint SRS (IRI),"A Well-Known Text (WKT) representation of the Spatial Reference System (SRS) for the footprintWKT of the Location. Do not use this term to describe the SRS of the decimalLatitude and decimalLongitude, even if it is the same as for the footprintWKT - use the geodeticDatum instead.",Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,http://rs.tdwg.org/dwc/terms/footprintSRS,,footprintSRS
2023-06-28T16:39:28-05:00,http://rs.tdwg.org/dwc/iri/version/footprintWKT-2015-03-27,footprintWKT-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,superseded,,,,Footprint WKT (IRI),"A Well-Known Text (WKT) representation of the shape (footprint, geometry) that defines the Location. A Location may have both a point-radius representation (see decimalLatitude) and a footprint representation, and they may differ from each other.",Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,http://rs.tdwg.org/dwc/terms/footprintWKT,,footprintWKT
2020-07-26T07:00:00-04:00,http://rs.tdwg.org/dwc/iri/version/fromLithostratigraphicUnit-2015-03-27,fromLithostratigraphicUnit-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,From Lithostratigraphic Unit,Use to link a dwc:GeologicalContext instance to an IRI-identified lithostratigraphic unit at the lowest possible level in a hierarchy.,"Recommended best practice is to use an IRI from a controlled vocabulary. A ""convenience property"" that replaces Darwin Core literal-value terms related to geological context. See Section 2.7.7 of the Darwin Core RDF Guide for details.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,,,fromLithostratigraphicUnit
2023-06-28T16:39:28-05:00,http://rs.tdwg.org/dwc/iri/version/geodeticDatum-2015-03-27,geodeticDatum-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,superseded,,,,Geodetic Datum (IRI),"The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which the geographic coordinates given in decimalLatitude and decimalLongitude as based.","Recommended best practice is to use an IRI for the EPSG code of the SRS, if known. Otherwise use an IRI or controlled vocabulary for the name or code of the geodetic datum, if known. Otherwise use an IRI or controlled vocabulary for the name or code of the ellipsoid, if known. If none of these is known, use the value `unknown`.",`https://epsg.io/4326`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,http://rs.tdwg.org/dwc/terms/geodeticDatum,,geodeticDatum
2020-07-26T07:00:00-04:00,http://rs.tdwg.org/dwc/iri/version/georeferenceProtocol-2015-03-27,georeferenceProtocol-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,Georeference Protocol (IRI),"A description or reference to the methods used to determine the spatial footprint, coordinates, and uncertainties.",Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,http://rs.tdwg.org/dwc/terms/georeferenceProtocol,,georeferenceProtocol
2023-06-28T16:39:28-05:00,http://rs.tdwg.org/dwc/iri/version/georeferenceSources-2015-03-27,georeferenceSources-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,superseded,,,,Georeference Sources (IRI),"A map, gazetteer, or other resource used to georeference the Location.",Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,http://rs.tdwg.org/dwc/terms/georeferenceSources,,georeferenceSources
2021-07-27T08:04:18-05:00,http://rs.tdwg.org/dwc/iri/version/georeferenceVerificationStatus-2015-03-27,georeferenceVerificationStatus-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,superseded,,,,Georeference Verification Status (IRI),A categorical description of the extent to which the georeference has been verified to represent the best possible spatial description.,Recommended best practice is to use a controlled vocabulary. Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,http://rs.tdwg.org/dwc/terms/georeferenceVerificationStatus,,georeferenceVerificationStatus
2023-06-28T16:39:28-05:00,http://rs.tdwg.org/dwc/iri/version/habitat-2015-03-27,habitat-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,superseded,,,,Habitat (IRI),A category or description of the habitat in which the Event occurred.,Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,http://rs.tdwg.org/dwc/terms/habitat,,habitat
2023-06-28T16:39:28-05:00,http://rs.tdwg.org/dwc/iri/version/identificationQualifier-2015-03-27,identificationQualifier-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,superseded,,,,Identification Qualifier (IRI),A controlled value to express the determiner's doubts about the Identification.,Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,http://rs.tdwg.org/dwc/terms/identificationQualifier,,identificationQualifier
