"identifier","context","text"
"creator:label","Label for Creator http://rs.tdwg.org/dwc/terms/creator",""
"creator:rdfs_comment","Comment for Creator http://rs.tdwg.org/dwc/terms/creator",""
"creator:dcterms_description","Description for Creator http://rs.tdwg.org/dwc/terms/creator",""
"creator:skos_scopeNote","Usage for Creator http://rs.tdwg.org/dwc/terms/creator",""
"format:label","Label for Format (literal) http://rs.tdwg.org/dwc/terms/format",""
"format:rdfs_comment","Comment for Format (literal) http://rs.tdwg.org/dwc/terms/format",""
"format:dcterms_description","Description for Format (literal) http://rs.tdwg.org/dwc/terms/format",""
"format:skos_scopeNote","Usage for Format (literal) http://rs.tdwg.org/dwc/terms/format",""
"language:label","Label for Language http://rs.tdwg.org/dwc/terms/language",""
"language:rdfs_comment","Comment for Language http://rs.tdwg.org/dwc/terms/language",""
"language:dcterms_description","Description for Language http://rs.tdwg.org/dwc/terms/language",""
"language:skos_scopeNote","Usage for Language http://rs.tdwg.org/dwc/terms/language",""
"rights:label","Label for Copyright Statement http://rs.tdwg.org/dwc/terms/rights",""
"rights:rdfs_comment","Comment for Copyright Statement http://rs.tdwg.org/dwc/terms/rights",""
"rights:dcterms_description","Description for Copyright Statement http://rs.tdwg.org/dwc/terms/rights",""
"rights:skos_scopeNote","Usage for Copyright Statement http://rs.tdwg.org/dwc/terms/rights",""
"source:label","Label for Published Source http://rs.tdwg.org/dwc/terms/source",""
"source:rdfs_comment","Comment for Published Source http://rs.tdwg.org/dwc/terms/source",""
"source:dcterms_description","Description for Published Source http://rs.tdwg.org/dwc/terms/source",""
"source:skos_scopeNote","Usage for Published Source http://rs.tdwg.org/dwc/terms/source",""
"type:label","Label for Type http://rs.tdwg.org/dwc/terms/type",""
"type:rdfs_comment","Comment for Type http://rs.tdwg.org/dwc/terms/type",""
"type:dcterms_description","Description for Type http://rs.tdwg.org/dwc/terms/type",""
"type:skos_scopeNote","Usage for Type http://rs.tdwg.org/dwc/terms/type",""
