term_localName,label_en,label_cs,label_de,label_es,label_fr,label_ko,label_nl,label_pt,label_ru,label_zh-Hans,label_zh-Hant,rdfs_comment_en,rdfs_comment_cs,rdfs_comment_de,rdfs_comment_es,rdfs_comment_fr,rdfs_comment_ko,rdfs_comment_nl,rdfs_comment_pt,rdfs_comment_ru,rdfs_comment_zh-Hans,rdfs_comment_zh-Hant,dcterms_description_en,dcterms_description_cs,dcterms_description_de,dcterms_description_es,dcterms_description_fr,dcterms_description_ko,dcterms_description_nl,dcterms_description_pt,dcterms_description_ru,dcterms_description_zh-Hans,dcterms_description_zh-Hant,examples_en,examples_cs,examples_de,examples_es,examples_fr,examples_ko,examples_nl,examples_pt,examples_ru,examples_zh-Hans,examples_zh-Hant
Owner,Copyright Owner,Majitel autorských práv,,,,,,,,,,A list of legal owners of the resource.,Seznam zákonných vlastníků zdroje.,,,,,,,,,,"Some providers use dc:publisher for this purpose, but it seems doubtful that the publisher is by necessity the copyright owner. 'Public Domain' is not an appropriate value because it denotes something that is not under copyright. Except for 'Public Domain' resources, it is strongly urged that this field be supplied.","Někteří poskytovatelé používají pro tento účel dc:publisher, ale je sporné, zda vydavatel je nutně také vlastníkem autorských práv. „Public Domain“ (veřejná doména) není vhodnou hodnotou, protože označuje něco, co není chráněno autorskými právy. S výjimkou zdrojů „Public Domain“ se důrazně doporučuje, aby bylo toto pole vyplněno.",,,,,,,,,,,,,,,,,,,,
UsageTerms,License Terms,Licenční podmínky,,,,,,,,,,"A collection of text instructions on how a resource can be legally used, given in a variety of languages.",,,,,,,,,,,"Example: ""Available under Creative Commons BY-SA 3.0 license"". This also describes the commercial availability of items. Buying an identification tool or media resource is essentially the purchase of an individual license. Examples for such License statements: ""Available through bookstores"" for a commercially published CD, and ""Individual licenses available for purchase"" for a high-resolution image. In general, this term determines the default licensing for the media. License terms specific to variants or representations of the media resource (e.g., different resolutions) are dealt within the section on Service Access Point Vocabulary",,,,,,,,,,,,,,,,,,,,,
WebStatement,License URL,,,,,,,,,,,A Web URL for a statement of the ownership and usage rights for this resource.,,,,,,,,,,,"The value of this field may provide a complete definition of the terms of use. For Creative Commons, the appropriate value is the URL of the defining Web page for the license. Example: http://creativecommons.org/licenses/by-nc-sa/3.0/us/",,,,,,,,,,,,,,,,,,,,,
