document_modified,term,rdfs_subPropertyOf,rdfs_subClassOf
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/Dataset,http://purl.org/dc/dcmitype/Dataset,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/namePublishedIn,http://purl.org/dc/terms/bibliographicCitation,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/EarliestDateCollected,http://purl.org/dc/terms/date,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/EventAttributeDeterminedDate,http://purl.org/dc/terms/date,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/eventMeasurementDeterminedDate,http://purl.org/dc/terms/date,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/LatestDateCollected,http://purl.org/dc/terms/date,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/occurrenceMeasurementDeterminedDate,http://purl.org/dc/terms/date,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/SampleAttributeDeterminedDate,http://purl.org/dc/terms/date,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/dateIdentified,http://purl.org/dc/terms/date,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/eventDate,http://purl.org/dc/terms/date,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/georeferencedDate,http://purl.org/dc/terms/date,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,http://purl.org/dc/terms/date,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/relationshipEstablishedDate,http://purl.org/dc/terms/date,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/acceptedScientificNameID,http://purl.org/dc/terms/identifier,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/AcceptedTaxonID,http://purl.org/dc/terms/identifier,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/acceptedTaxonID,http://purl.org/dc/terms/identifier,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/acceptedTaxonNameID,http://purl.org/dc/terms/identifier,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/basionymID,http://purl.org/dc/terms/identifier,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/EventAttributeID,http://purl.org/dc/terms/identifier,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/eventMeasurementID,http://purl.org/dc/terms/identifier,
