document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,skos_broader,skos_inScheme,skos_exactMatch,controlled_value_string,definition,usage,notes,examples,dcam_memberOf,type,tdwgutility_organizedInClass,term_localName
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e009-2020-10-13,e009-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,Canon Raw,,e,m023,cr2,file extension for Canon Raw images,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e009
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e010-2020-10-13,e010-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,JPEG 2000,,e,m024,jp2,file extension for JPEG 2000 images,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e010
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e011-2020-10-13,e011-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,WAVE,,e,m025,wav,file extension for WAVE audio,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e011
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e012-2020-10-13,e012-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,MP3,,e,m016,mp3,ffle extension for MP3 audio,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e012
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e013-2020-10-13,e013-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,Nikon NEF Raw,,e,m026,nef,file extension for Nikon NEF Raw images,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e013
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e014-2020-10-13,e014-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,MP4 audio,,e,m015,m4a,file extension for MP4 audio,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e014
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e015-2020-10-13,e015-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,MP4 video,,e,m012,mp4,file extension for MP4 video,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e015
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e016-2020-10-13,e016-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,GIF,,e,m010,gif,file extension for GIF images,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e016
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e017-2020-10-13,e017-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,BMP,,e,m009,bmp,file extension for bitmap images,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e017
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e018-2020-10-13,e018-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,M4V,,e,m027,m4v,file extension for Apple M4V videos,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e018
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e019-2020-10-13,e019-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,PLY,,e,,ply,file extension for Polygon File Format,,"The media subtype is apparently text/plain, which would not be distinguishable from other types of plain text.",,,http://www.w3.org/2004/02/skos/core#Concept,e,e019
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e020-2020-10-13,e020-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,STL,,e,m055,stl,file extension for steriolithography files,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e020
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e021-2020-10-13,e021-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,3GPP,,e,m028,3gp,file extension for 3GPP video,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e021
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e022-2020-10-13,e022-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,ZVI,,e,m054,zvi,file extension for Zeiss Vision Image images,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e022
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e023-2020-10-13,e023-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,AVI,,e,m029,avi,file extension for AVI video,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e023
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e024-2020-10-13,e024-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,AMR,,e,m030,amr,file extension for Adaptive Multi-Rate audio,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e024
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e025-2020-10-13,e025-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,AIFF,,e,m031,aiff,file extension for Audio Interchange File Format audio,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e025
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e026-2020-10-13,e026-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,OGG audio,,e,m032,ogg,file extension for OGG audio,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e026
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e027-2020-10-13,e027-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,OGG video,,e,m033,ogv,file extension for OGG video,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e027
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e028-2020-10-13,e028-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,OGG multiplex,,e,m034,ogx,file extension for OGG multiplex,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e028
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e029-2020-10-13,e029-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,Kodak Photo CD image,,e,m035,pcd,file extension for Kodak Photo CD image,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e029
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e030-2020-10-13,e030-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,QuickTime,,e,m014,mov,file extension for Apple QuickTime video,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e030
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e031-2020-10-13,e031-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,Photoshop,,e,m036,psd,file extension for Photoshop images,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e031
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e032-2020-10-13,e032-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,FLAC,,e,m038,flac,file extension for Free Lossless Audio Codec audio,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e032
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e033-2020-10-13,e033-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,MWA,,e,m039,wma,file extension for Windows Media Audio,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e033
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e034-2020-10-13,e034-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,WMV,,e,m040,wmv,file extension for Windows Media Video,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e034
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e035-2020-10-13,e035-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,ASF,,e,m041,asf,file extension for Advanced Systems Format,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e035
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e036-2020-10-13,e036-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,SVG,,e,m042,svg,file extension for SVG images,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e036
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e037-2020-10-13,e037-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,OBJ,,e,m062,obj,file extension for OBJ,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e037
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e038-2020-10-13,e038-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,gLTF binary,,e,m063,glb,file extension for Binary GL Transmission Format,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e038
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e039-2020-10-13,e039-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,gLTF,,e,m064,gltf,file extension for GL Transmission Format,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e039
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e040-2020-10-13,e040-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,VRML,,e,m065,wrl,file extension for Virtual Reality Modeling Language,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e040
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e041-2020-10-13,e041-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,DICOM,,e,m066,dcm,file extension for Digital Imaging and Communications in Medicine,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e041
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e042-2020-10-13,e042-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,MTL,,e,m067,mtl,file extension for OBJ Material Template Library,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e042
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e043-2020-10-13,e043-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,X3D VRML,,e,m017,x3dv,file extension for X3D VRML models,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e043
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e044-2020-10-13,e044-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,X3D XML,,e,m068,x3d,file extension for X3D XML models,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e044
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e045-2020-10-13,e045-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,CIFF raw image,,e,m069,crw,file extension for Camera Image File Format raw image,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e045
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e046-2020-10-13,e046-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,CR3 raw image,,e,m070,cr3,file extension for Canon Raw 3 image,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e046
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e047-2020-10-13,e047-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,ARW raw image,,e,m071,arw,file extension for Sony raw image,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e047
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/e048-2020-10-13,e048-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,RW2 raw image,,e,m072,rw2,file extension for Panasonic raw image,,,,,http://www.w3.org/2004/02/skos/core#Concept,e,e048
