document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,skos_broader,skos_inScheme,skos_exactMatch,controlled_value_string,definition,usage,notes,examples,dcam_memberOf,type,tdwgutility_organizedInClass,term_localName
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m028-2020-10-13,m028-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,3GPP,m006,m,,video/3gpp,media subtype for 3GPP video,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept,m,m028
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m029-2020-10-13,m029-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,AVI,m006,m,,video/vnd.avi,media subtype for AVI video,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept,m,m029
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m030-2020-10-13,m030-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,AMR,m002,m,,audio/AMR,media subtype for Adaptive Multi-Rate audio,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept,m,m030
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m031-2020-10-13,m031-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,AIFF,m002,m,,audio/x-aiff,media subtype for Audio Interchange File Format audio,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept,m,m031
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m032-2020-10-13,m032-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,OGG audio,m002,m,,audio/ogg,media subtype for OGG audio,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept,m,m032
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m033-2020-10-13,m033-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,OGG video,m006,m,,video/ogg,media subtype for OGG video,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept,m,m033
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m034-2020-10-13,m034-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,OGG multiplex,m001,m,,application/ogg,media subtype for OGG multiplex,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept,m,m034
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m035-2020-10-13,m035-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,Kodak Photo CD image,m003,m,,image/x-photo-cd,media subtype for Kodak Photo CD image,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept,m,m035
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m036-2020-10-13,m036-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,Photoshop,m003,m,,image/vnd.adobe.photoshop,media subtype for Photoshop images,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept,m,m036
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m037-2020-10-13,m037-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,extended MPEG-2 Transport Stream,m006,m,,video/vnd.dlna.mpeg-tts,media subtype for extended MPEG-2 Transport Stream,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept,m,m037
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m038-2020-10-13,m038-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,FLAC,m002,m,,audio/x-flac,media subtype for Free Lossless Audio Codec audio,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept,m,m038
