document_modified,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,skos_broader,skos_inScheme,skos_exactMatch,controlled_value_string,definition,usage,notes,examples,dcam_memberOf,type
2020-10-18T17:30:22-04:00,m,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,media types and physical media concept scheme,,,,,concept scheme for IANA media types and various physical media items,,,,,http://www.w3.org/2004/02/skos/core#ConceptScheme
2020-10-18T17:30:22-04:00,e,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,file extensions concept scheme,,,,,concept scheme based on conventional file extensions for media types,,,,,http://www.w3.org/2004/02/skos/core#ConceptScheme
2020-10-18T17:30:22-04:00,m001,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,application,,m,,application,media type for application,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m002,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,audio,,m,,audio,media type for audio,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m003,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,image,,m,,image,media type for image,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m004,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,model,,m,,model,media type for model,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m005,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,text,,m,,text,media type for text,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m006,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,video,,m,,video,media type for video,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m007,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,PNG,m003,m,,image/png,media subtype for portable network graphics images,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m008,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,JPEG,m003,m,,image/jpeg,media subtype for JPEG images,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m009,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,BMP,m003,m,,image/bmp,media subtype for bitmap images,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m010,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,GIF,m003,m,,image/gif,media subtype for GIF images,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m011,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,TIFF,m003,m,,image/tiff,media subtype for TIFF images,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m012,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,MP4 video,m006,m,,video/mp4,media subtype for MP4 videos,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m013,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,MPEG,m006,m,,video/mpeg,media subtype for MPEG videos,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m014,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,QuickTime,m006,m,,video/quicktime,media subtype for QuickTime videos,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m015,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,MP4 audio,m002,m,,audio/mp4,media subtype for MP4 audio,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m016,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,MP3,m002,m,,audio/mpeg,media subtype for MP3 audio,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m017,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,X3D VRML,m004,m,,model/x3d-vrml,media subtype for X3D VRML models,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m018,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,PDF,m001,m,,application/pdf,media subtype for PDF documents,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m019,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,plain text,m005,m,,text/plain,media subtype for plain text,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m020,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,Word (pre-2003) document,m001,m,,application/msword,media subtype for Microsoft Word (2003 and before) documents,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m021,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,Word (post-2007) document,m001,m,,application/vnd.openxmlformats-officedocument.wordprocessingml.document,media subtype for Microsoft Word (2007 and after) documents,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m022,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,Digital Negative,m003,m,,image/x-adobe-dng,media subtype for Digital Negative images,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m023,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,CR2,m003,m,,image/x-canon-cr2,media subtype for Canon Raw images,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m024,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,JPEG 2000,m003,m,,image/jp2,media subtype for JPEG 2000 images,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m025,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,WAVE,m002,m,,audio/vnd.wave,media subtype for WAVE audio,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
