termListVersion,termVersion
http://rs.tdwg.org/dwc/version/terms/2009-01-21,http://rs.tdwg.org/dwc/terms/version/PreviousIdentifications-2008-11-19
http://rs.tdwg.org/dwc/version/terms/2009-01-21,http://rs.tdwg.org/dwc/terms/version/RelatedBasisOfRecord-2008-11-19
http://rs.tdwg.org/dwc/version/terms/2009-01-21,http://rs.tdwg.org/dwc/terms/version/ResourceRelationship-2009-01-21
http://rs.tdwg.org/dwc/version/terms/2009-01-21,http://rs.tdwg.org/dwc/terms/version/Sample-2008-11-19
http://rs.tdwg.org/dwc/version/terms/2009-01-21,http://rs.tdwg.org/dwc/terms/version/SampleAttribute-2008-11-19
http://rs.tdwg.org/dwc/version/terms/2009-01-21,http://rs.tdwg.org/dwc/terms/version/SampleAttributeAccuracy-2009-01-18
http://rs.tdwg.org/dwc/version/terms/2009-01-21,http://rs.tdwg.org/dwc/terms/version/SampleAttributeRemarks-2008-11-19
http://rs.tdwg.org/dwc/version/terms/2009-01-21,http://rs.tdwg.org/dwc/terms/version/SampleAttributeUnit-2008-11-19
http://rs.tdwg.org/dwc/version/terms/2009-01-21,http://rs.tdwg.org/dwc/terms/version/SampleAttributeValue-2008-11-19
http://rs.tdwg.org/dwc/version/terms/2009-01-21,http://rs.tdwg.org/dwc/terms/version/SampleRemarks-2009-01-18
http://rs.tdwg.org/dwc/version/terms/2009-01-21,http://rs.tdwg.org/dwc/terms/version/SamplingAttributeID-2008-11-19
http://rs.tdwg.org/dwc/version/terms/2009-01-21,http://rs.tdwg.org/dwc/terms/version/SamplingAttributeType-2008-11-19
http://rs.tdwg.org/dwc/version/terms/2009-01-21,http://rs.tdwg.org/dwc/terms/version/SamplingEvent-2008-11-19
http://rs.tdwg.org/dwc/version/terms/2009-01-21,http://rs.tdwg.org/dwc/terms/version/SamplingEventAttributes-2008-11-19
http://rs.tdwg.org/dwc/version/terms/2009-01-21,http://rs.tdwg.org/dwc/terms/version/SamplingEventID-2008-11-19
http://rs.tdwg.org/dwc/version/terms/2009-01-21,http://rs.tdwg.org/dwc/terms/version/SamplingEventRemarks-2009-01-18
http://rs.tdwg.org/dwc/version/terms/2009-01-21,http://rs.tdwg.org/dwc/terms/version/SamplingLocation-2008-11-19
http://rs.tdwg.org/dwc/version/terms/2009-01-21,http://rs.tdwg.org/dwc/terms/version/SamplingLocationID-2008-11-19
http://rs.tdwg.org/dwc/version/terms/2009-01-21,http://rs.tdwg.org/dwc/terms/version/SamplingLocationRemarks-2009-01-18
http://rs.tdwg.org/dwc/version/terms/2009-01-21,http://rs.tdwg.org/dwc/terms/version/StartTimeOfDay-2008-11-19
http://rs.tdwg.org/dwc/version/terms/2009-01-21,http://rs.tdwg.org/dwc/terms/version/Taxon-2008-11-19
