term_localName,label,rdfs_comment,dcterms_description,examples,rdf_type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_usageScope
Event,Event,An action that occurs at some location during some time.,,`a specimen collecting event`; `a camera trap image capture`;  `a marine trawl`,http://www.w3.org/2000/01/rdf-schema#Class,DataSets/DataSet/Units/Unit/Gathering,,,simple
GeologicalContext,Geological Context,"Geological information, such as stratigraphy, that qualifies a region or place.",,`a lithostratigraphic layer`,http://www.w3.org/2000/01/rdf-schema#Class,DataSets/DataSet/Units/Unit/Gathering/Stratigraphy,,,simple
Identification,Identification,"A taxonomic determination (e.g., the assignment to a dwc:Taxon).",,`a subspecies determination of an organism`,http://www.w3.org/2000/01/rdf-schema#Class,DataSets/DataSet/Units/Unit/Identifications/Identification,,,simple
Location,Location,A spatial region or named place.,,"`the municipality of San Carlos de Bariloche, Río Negro, Argentina`; `the place defined by a georeference`",http://www.w3.org/2000/01/rdf-schema#Class,not in ABCD,,,simple
Occurrence,Occurrence,An existence of a dwc:Organism at a particular place at a particular time.,,`a wolf pack on the shore of Kluane Lake in 1988`; `a virus in a plant leaf in the New York Botanical Garden at 15:29 on 2014-10-23`; `a fungus in Central Park in the summer of 1929`,http://www.w3.org/2000/01/rdf-schema#Class,DataSets/DataSet/Units/Unit,,,simple
Organism,Organism,A particular organism or defined group of organisms considered to be taxonomically homogeneous.,"Instances of the dwc:Organism class are intended to facilitate linking one or more dwc:Identification instances to one or more dwc:Occurrence instances. Therefore, things that are typically assigned scientific names (such as viruses, hybrids, and lichens) and aggregates whose dwc:Occurrences are typically recorded (such as packs, clones, and colonies) are included in the scope of this class.",`a specific bird`; `a specific wolf pack`; `a specific instance of a bacterial culture`,http://www.w3.org/2000/01/rdf-schema#Class,not in ABCD,,,simple
Taxon,Taxon,A group of organisms (sensu http://purl.obolibrary.org/obo/OBI_0100026) considered by taxonomists to form a homogeneous unit.,,`the genus Truncorotaloides as published by Brönnimann et al. in 1953 in the Journal of Paleontology Vol. 27(6) p. 817-820`,http://www.w3.org/2000/01/rdf-schema#Class,no simple equivalent in ABCD,,,simple
LivingSpecimen,Living Specimen,A specimen that is alive.,,`a living plant in a botanical garden`; `a living animal in a zoo`,http://www.w3.org/2000/01/rdf-schema#Class,RecordBasisEnum/LivingSpecimen,,,simple
PreservedSpecimen,Preserved Specimen,A specimen that has been preserved.,,`a plant on an herbarium sheet`; `a cataloged lot of fish in a jar`,http://www.w3.org/2000/01/rdf-schema#Class,RecordBasisEnum/PreservedSpecimen,,,simple
FossilSpecimen,Fossil Specimen,A preserved specimen that is a fossil.,,`a body fossil`; `a coprolite`; `a gastrolith`; `an ichnofossil`; `a piece of a petrified tree`,http://www.w3.org/2000/01/rdf-schema#Class,RecordBasisEnum/FossileSpecimen,,,simple
MaterialCitation,Material Citation,"A reference to or citation of one, a part of, or multiple specimens in scholarly publications.","This class constitutes a new value for the controlled vocabulary in the recommendations for basisOfRecord. When importing Darwin Core Archives of literature-based datasets to GBIF, the basisOfRecord should be changed from ""Occurrence"", ""PreservedSpecimen"" or ""Literature"" to ""MaterialCitation"".","`a citation of a physical specimen from a scientific collection in a taxonomic treatment in a scientific publication`; `a citation of a group of physical specimens, such as paratypes in a taxonomic treatment in a scientific publication`",http://www.w3.org/2000/01/rdf-schema#Class,not in ABCD,,,simple
HumanObservation,Human Observation,An output of a human observation process.,,`evidence of a dwc:Occurrence taken from field notes or literature`; `a record of a dwc:Occurrence without physical evidence or evidence captured with a machine`,http://www.w3.org/2000/01/rdf-schema#Class,RecordBasisEnum/HumanObservation,,,simple
MachineObservation,Machine Observation,An output of a machine observation process.,,`a photograph`; `a video`; `an audio recording`; `a remote sensing image`; `a dwc:Occurrence record based on telemetry`,http://www.w3.org/2000/01/rdf-schema#Class,RecordBasisEnum/MachineObservation,,,simple
