term_localName,label,skos_broader,definition,usage,notes,controlled_value_string,skos_inScheme,type
p011,botanic garden/zoo/aquaria (excluding domestic aquaria),p046,Organisms in public collections of plants and/or animals.,,See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129,publicGardenZooAquaria,p,http://www.w3.org/2004/02/skos/core#Concept
p012,pet/aquarium/terrarium species (including live food for such species),p046,Privately kept animals.,"Animals kept for hunting, such as falcons and ferrets SHOULD be included here, not under the hunting term",See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129,pet,p,http://www.w3.org/2004/02/skos/core#Concept
p045,release in nature,p051,Organisms transported and released by humans in a (semi)natural environment with the intention that they should live there without further human aid.,,See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129,releaseInNature,p,http://www.w3.org/2004/02/skos/core#Concept
