document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,rdfs_comment,dcterms_description,rdf_type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,term_localName
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/version/accuracy-2009-01-21,accuracy-2009-01-21,http://rs-test.tdwg.org/dwc/terms/version/,2009-01-21,deprecated,,,,Accuracy,Abstract term to capture error information about a measurement or fact.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSet/Units/Unit/Gathering/SiteMeasurementsOrFacts/SiteMeasurementOrFact/MeasurementOrFactAtomised/Accuracy or DataSets/DataSet/Units/Unit/Gathering/Aspect/Accuracy or DataSets/DataSet/Units/Unit/Gathering/Altitude/MeasurementOrFactAtomised/Accuracy or DataSets/DataSet/Units/Unit/Gathering/Depth/MeasurementOrFactAtomised/Accuracy or DataSets/DataSet/Units/Unit/Gathering/Biotope/MeasurementsOrFacts/MeasurementOrFactAtomised/Accuracy or DataSets/DataSet/Units/Unit/MeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised/Accuracy,,,accuracy
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/version/associatedMedia-2009-04-24,associatedMedia-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,2009-04-24,superseded,http://rs-test.tdwg.org/dwc/dwcore/version/ImageURL-2007-04-17,,,Associated Media,"A list (concatenated and separated) of identifiers (publication, global unique identifier, URI) of media associated with the Occurrence.","Example: ""http://arctos.database.museum/SpecimenImages/UAMObs/Mamm/2/P7291179.JPG""",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/MultimediaObjects,http://rs-test.tdwg.org/dwc/terms/Occurrence,http://rs-test.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-30_16,associatedMedia
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/version/associatedMedia-2014-10-23,associatedMedia-2014-10-23,http://rs-test.tdwg.org/dwc/terms/version/,2014-10-23,recommended,http://rs-test.tdwg.org/dwc/terms/version/associatedMedia-2009-04-24,,,Associated Media,"A list (concatenated and separated) of identifiers (publication, global unique identifier, URI) of media associated with the Occurrence.","The recommended best practice is to separate the values with a vertical bar (' | '). Examples: ""http://arctos.database.museum/SpecimenImages/UAMObs/Mamm/2/P7291179.JPG"", ""http://204.140.246.24/Fish/Collection%20Pictures/10118-00.jpg | http://204.140.246.24/Fish/Collection%20Pictures/10118-00a.jpg"".",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/MultimediaObjects,http://rs-test.tdwg.org/dwc/terms/Occurrence,http://rs-test.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-30_16,associatedMedia
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/version/associatedOccurrences-2009-04-24,associatedOccurrences-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,2009-04-24,superseded,http://rs-test.tdwg.org/dwc/curatorial/version/RelatedCatalogedItems-2007-04-17,,,Associated Occurrences,A list (concatenated and separated) of identifiers of other Occurrence records and their associations to this Occurrence.,"Example: ""sibling of FMNH:Mammal:1234; sibling of FMNH:Mammal:1235""",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Associations/UnitAssociation/AssociatedUnitSourceInstitutionCode + DataSets/DataSet/Units/Unit/Associations/UnitAssociation/AssociatedUnitSourceName + DataSets/DataSet/Units/Unit/Associations/UnitAssociation/AssociatedUnitID,http://rs-test.tdwg.org/dwc/terms/Occurrence,http://rs-test.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-30_16,associatedOccurrences
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/version/associatedOccurrences-2014-10-23,associatedOccurrences-2014-10-23,http://rs-test.tdwg.org/dwc/terms/version/,2014-10-23,recommended,http://rs-test.tdwg.org/dwc/terms/version/associatedOccurrences-2009-04-24,,,Associated Occurrences,A list (concatenated and separated) of identifiers of other Occurrence records and their associations to this Occurrence.,The recommended best practice is to separate the values with a vertical bar (' | ').,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Associations/UnitAssociation/AssociatedUnitSourceInstitutionCode + DataSets/DataSet/Units/Unit/Associations/UnitAssociation/AssociatedUnitSourceName + DataSets/DataSet/Units/Unit/Associations/UnitAssociation/AssociatedUnitID,http://rs-test.tdwg.org/dwc/terms/Organism,http://rs-test.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-30_16,associatedOccurrences
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/version/associatedOrganisms-2014-10-23,associatedOrganisms-2014-10-23,http://rs-test.tdwg.org/dwc/terms/version/,2014-10-23,recommended,,,,Associated Organisms,A list (concatenated and separated) of identifiers of other Organisms and their associations to this Organism.,"The recommended best practice is to separate the values with a vertical bar (' | '). Examples: ""sibling of MXA-232"", ""mother of MXA-231 | mother of MXA-232""",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs-test.tdwg.org/dwc/terms/Organism,http://rs-test.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_14,associatedOrganisms
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/version/associatedReferences-2009-04-24,associatedReferences-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,2009-04-24,superseded,,,,Associated References,"A list (concatenated and separated) of identifiers (publication, bibliographic reference, global unique identifier, URI) of literature associated with the Occurrence.","Examples: ""http://www.sciencemag.org/cgi/content/abstract/322/5899/261"", ""Christopher J. Conroy, Jennifer L. Neuwald. 2008. Phylogeographic study of the California vole, Microtus californicus Journal of Mammalogy, 89(3):755-767.""",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/UnitReferences,http://rs-test.tdwg.org/dwc/terms/Occurrence,http://rs-test.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-30_16,associatedReferences
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/version/associatedReferences-2014-10-23,associatedReferences-2014-10-23,http://rs-test.tdwg.org/dwc/terms/version/,2014-10-23,recommended,http://rs-test.tdwg.org/dwc/terms/version/associatedReferences-2009-04-24,,,Associated References,"A list (concatenated and separated) of identifiers (publication, bibliographic reference, global unique identifier, URI) of literature associated with the Occurrence.","The recommended best practice is to separate the values with a vertical bar (' | '). Examples: ""http://www.sciencemag.org/cgi/content/abstract/322/5899/261"", ""Christopher J. Conroy, Jennifer L. Neuwald. 2008. Phylogeographic study of the California vole, Microtus californicus Journal of Mammalogy, 89(3):755-767."", ""Steven R. Hoofer and Ronald A. Van Den Bussche. 2001. Phylogenetic Relationships of Plecotine Bats and Allies Based on Mitochondrial Ribosomal Sequences. Journal of Mammalogy 82(1):131-137. | Walker, Faith M., Jeffrey T. Foster, Kevin P. Drees, Carol L. Chambers. 2014. Spotted bat (Euderma maculatum) microsatellite discovery using illumina sequencing. Conservation Genetics Resources."".",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/UnitReferences,http://rs-test.tdwg.org/dwc/terms/Occurrence,http://rs-test.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-30_16,associatedReferences
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/version/associatedSequences-2009-04-24,associatedSequences-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,2009-04-24,superseded,http://rs-test.tdwg.org/dwc/curatorial/version/GenBankNumber-2007-04-17,,,Associated Sequences,"A list (concatenated and separated) of identifiers (publication, global unique identifier, URI) of genetic sequence information associated with the Occurrence.","Example: ""GenBank: U34853.1""",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Sequences/Sequence/ID-in-Database + constant,http://rs-test.tdwg.org/dwc/terms/Occurrence,http://rs-test.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-30_16,associatedSequences
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/version/associatedSequences-2014-10-23,associatedSequences-2014-10-23,http://rs-test.tdwg.org/dwc/terms/version/,2014-10-23,recommended,http://rs-test.tdwg.org/dwc/terms/version/associatedSequences-2009-04-24,,,Associated Sequences,"A list (concatenated and separated) of identifiers (publication, global unique identifier, URI) of genetic sequence information associated with the Occurrence.","The recommended best practice is to separate the values with a vertical bar (' | '). Examples: ""http://www.ncbi.nlm.nih.gov/nuccore/U34853.1"", ""http://www.ncbi.nlm.nih.gov/nuccore/GU328060 | http://www.ncbi.nlm.nih.gov/nuccore/AF326093"".",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Sequences/Sequence/ID-in-Database + constant,http://rs-test.tdwg.org/dwc/terms/Occurrence,http://rs-test.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-30_16,associatedSequences
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/version/associatedTaxa-2009-04-24,associatedTaxa-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,2009-04-24,superseded,,,,Associated Taxa,A list (concatenated and separated) of identifiers or names of taxa and their associations with the Occurrence.,"Example: ""host: Quercus alba""",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa,http://rs-test.tdwg.org/dwc/terms/Occurrence,http://rs-test.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-30_16,associatedTaxa
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/version/associatedTaxa-2014-10-23,associatedTaxa-2014-10-23,http://rs-test.tdwg.org/dwc/terms/version/,2014-10-23,recommended,http://rs-test.tdwg.org/dwc/terms/version/associatedTaxa-2009-04-24,,,Associated Taxa,A list (concatenated and separated) of identifiers or names of taxa and their associations with the Occurrence.,"The recommended best practice is to separate the values with a vertical bar (' | '), and to separate the relationship from the taxon with a colon (':'). Examples: ""host: Quercus alba"", ""parasitoid of:Cyclocephala signaticollis | predator of Apis mellifera"".",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa,http://rs-test.tdwg.org/dwc/terms/Occurrence,http://rs-test.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-30_16,associatedTaxa
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/version/basionym-2009-04-24,basionym-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,2009-04-24,deprecated,,,,Basionym,The basionym (botany) or basonym (bacteriology) of the scientificName.,"Example: ""Pinus abies""",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs-test.tdwg.org/dwc/terms/Taxon,,basionym
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/version/basionymID-2009-04-24,basionymID-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,2009-04-24,deprecated,,,,Basionym ID,A unique identifier for the basionym (botany) or basonym (bacteriology) of the scientificName.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs-test.tdwg.org/dwc/terms/Taxon,,basionymID
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/version/basisOfRecord-2009-04-24,basisOfRecord-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,2009-04-24,superseded,http://rs-test.tdwg.org/dwc/dwcore/version/BasisOfRecord-2007-04-17,,,Basis of Record,The specific nature of the data record - a subtype of the dcterms:type. Recommended best practice is to use a controlled vocabulary such as the Darwin Core Type Vocabulary (http://rs-test.tdwg.org/dwc/terms/type-vocabulary/index.htm).,"Examples: ""StillImage"", ""MovingImage"", ""Sound"", ""PreservedSpecimen"", FossilSpecimen"", LivingSpecimen"", ""HumanObservation"", ""MachineObservation""",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/RecordBasis,http://rs-test.tdwg.org/dwc/terms/all,,basisOfRecord
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/version/basisOfRecord-2009-09-11,basisOfRecord-2009-09-11,http://rs-test.tdwg.org/dwc/terms/version/,2009-09-11,superseded,http://rs-test.tdwg.org/dwc/terms/version/basisOfRecord-2009-04-24,,,Basis of Record,The specific nature of the data record - a subtype of the dcterms:type. Recommended best practice is to use a controlled vocabulary.,"Examples: ""StillImage"", ""MovingImage"", ""Sound"", ""PreservedSpecimen"", FossilSpecimen"", LivingSpecimen"", ""HumanObservation"", ""MachineObservation""",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/RecordBasis,http://rs-test.tdwg.org/dwc/terms/all,,basisOfRecord
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/version/basisOfRecord-2009-12-07,basisOfRecord-2009-12-07,http://rs-test.tdwg.org/dwc/terms/version/,2009-12-07,superseded,http://rs-test.tdwg.org/dwc/terms/version/basisOfRecord-2009-09-11,,,Basis of Record,The specific nature of the data record. Recommended best practice is to use a controlled vocabulary such as the Darwin Core Type Vocabulary (http://rs-test.tdwg.org/dwc/terms/type-vocabulary/index.htm).,"Examples: ""PreservedSpecimen"", ""FossilSpecimen"", ""LivingSpecimen"", ""HumanObservation"", ""MachineObservation""",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/RecordBasis,http://rs-test.tdwg.org/dwc/terms/all,http://rs-test.tdwg.org/dwc/terms/history/decisions/#Decision-2009-12-07_2,basisOfRecord
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/version/basisOfRecord-2014-10-23,basisOfRecord-2014-10-23,http://rs-test.tdwg.org/dwc/terms/version/,2014-10-23,recommended,http://rs-test.tdwg.org/dwc/terms/version/basisOfRecord-2009-12-07,,,Basis of Record,The specific nature of the data record.,"Recommended best practice is to use a controlled vocabulary such as the list of Darwin Core classes. Examples: ""PreservedSpecimen"", ""FossilSpecimen"", ""LivingSpecimen"", ""HumanObservation"", ""MachineObservation""",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/RecordBasis,http://rs-test.tdwg.org/dwc/terms/all,http://rs-test.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15,basisOfRecord
