replacing_version,replaced_version_localName
http://rs-test.tdwg.org/dwc/terms/version/organismID-2014-10-23,individualID-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/infraspecificEpithet-2009-08-24,infraspecificEpithet-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/institutionCode-2009-08-24,institutionCode-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/institutionCode-2009-09-11,institutionCode-2009-08-24
http://rs-test.tdwg.org/dwc/terms/version/kingdom-2009-08-24,kingdom-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/eventDate-2009-04-24,LatestDateCollected-2008-11-19
http://rs-test.tdwg.org/dwc/terms/version/latestEonOrHighestEonothem-2009-04-24,LatestEonOrLowestEonothem-2005-07-03
http://rs-test.tdwg.org/dwc/terms/version/MaterialSample-2014-10-23,MaterialSample-2013-03-28
http://rs-test.tdwg.org/dwc/terms/version/measurementDeterminedBy-2014-10-23,measurementDeterminedBy-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/MeasurementOrFact-2014-10-23,MeasurementOrFact-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/namePublishedInID-2009-09-21,namePublicationID-2009-05-18
http://rs-test.tdwg.org/dwc/terms/version/namePublishedIn-2009-09-21,namePublishedIn-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/nomenclaturalCode-2009-09-21,nomenclaturalCode-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/Occurrence-2014-10-23,Occurrence-2009-04-29
http://rs-test.tdwg.org/dwc/terms/version/MeasurementOrFact-2009-04-24,OccurrenceMeasurement-2008-11-19
http://rs-test.tdwg.org/dwc/terms/version/measurementAccuracy-2009-04-24,occurrenceMeasurementAccuracy-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/measurementDeterminedBy-2009-04-24,occurrenceMeasurementDeterminedBy-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/measurementDeterminedDate-2009-04-24,occurrenceMeasurementDeterminedDate-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/measurementID-2009-04-24,occurrenceMeasurementID-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/measurementRemarks-2009-04-24,occurrenceMeasurementRemarks-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/measurementType-2009-04-24,occurrenceMeasurementType-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/measurementUnit-2009-04-24,occurrenceMeasurementUnit-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/measurementValue-2009-04-24,occurrenceMeasurementValue-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/order-2009-08-24,order-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/otherCatalogNumbers-2014-10-23,otherCatalogNumbers-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/phylum-2009-08-24,phylum-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/preparations-2014-10-23,preparations-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/previousIdentifications-2009-04-24,PreviousIdentifications-2008-11-19
http://rs-test.tdwg.org/dwc/terms/version/previousIdentifications-2009-05-18,previousIdentifications-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/previousIdentifications-2014-10-23,previousIdentifications-2009-05-18
http://rs-test.tdwg.org/dwc/terms/version/recordedBy-2014-10-23,recordedBy-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/ResourceRelationship-2014-10-23,ResourceRelationship-2009-01-21
http://rs-test.tdwg.org/dwc/terms/version/Occurrence-2009-04-29,Sample-2008-11-19
http://rs-test.tdwg.org/dwc/terms/version/occurrenceMeasurementAccuracy-2009-04-24,SampleAttributeAccuracy-2009-01-18
http://rs-test.tdwg.org/dwc/terms/version/occurrenceMeasurementDeterminedBy-2009-04-24,SampleAttributeDeterminedBy-2009-01-23
http://rs-test.tdwg.org/dwc/terms/version/occurrenceMeasurementDeterminedDate-2009-04-24,SampleAttributeDeterminedDate-2009-01-23
http://rs-test.tdwg.org/dwc/terms/version/occurrenceMeasurementID-2009-04-24,SampleAttributeID-2008-11-19
http://rs-test.tdwg.org/dwc/terms/version/occurrenceMeasurementType-2009-04-24,SampleAttributeType-2008-11-19
http://rs-test.tdwg.org/dwc/terms/version/SamplingAttributeType-2008-11-19,SampleAttributeType-2008-11-19
http://rs-test.tdwg.org/dwc/terms/version/occurrenceMeasurementUnit-2009-04-24,SampleAttributeUnit-2008-11-19
http://rs-test.tdwg.org/dwc/terms/version/occurrenceMeasurementValue-2009-04-24,SampleAttributeValue-2008-11-19
http://rs-test.tdwg.org/dwc/terms/version/occurrenceRemarks-2009-04-24,SampleRemarks-2009-01-18
