link_column,link_property,suffix1,link_characters,suffix2,filename,forward_link
term_localName,dcterms:isVersionOf,version,http,,dcterms-for-ltc-versions.csv,dcterms:hasVersion
replaced_term_localName,dcterms:replaces,replacing_term,http,,dcterms-for-ltc-replacements.csv,dcterms:isReplacedBy
