"identifier","context","text"
"license:label","Label for License http://rs.tdwg.org/dwc/terms/license","Licence"
"license:definition","Definition for License http://rs.tdwg.org/dwc/terms/license","Právní dokument, který dává úřední povolení k určité činnosti se zdrojem."
"license:usage","Usage for License http://rs.tdwg.org/dwc/terms/license","Právní dokument, který dává úřední povolení k určitým úkonům se záznamem popisu sbírky."
"license:notes","Notes for License http://rs.tdwg.org/dwc/terms/license","Doporučeným postupem je identifikovat licenční dokument pomocí IRI. Pokud to není možné nebo proveditelné, lze uvést slovní hodnotu, která identifikuje licenci."
"rights:label","Label for Rights http://rs.tdwg.org/dwc/terms/rights","Práva"
"rights:definition","Definition for Rights http://rs.tdwg.org/dwc/terms/rights","Informace o právech ke zdroji a nad zdrojem."
"rights:usage","Usage for Rights http://rs.tdwg.org/dwc/terms/rights","Prohlášení o veškerých právech, která jsou držena k záznamu o popisu sbírky."
"rights:notes","Notes for Rights http://rs.tdwg.org/dwc/terms/rights","Informace o právech obvykle zahrnují prohlášení o různých vlastnických právech spojených s daným zdrojem, včetně práv duševního vlastnictví. Doporučeným postupem je odkazovat na prohlášení o právech pomocí IRI. Pokud to není možné nebo proveditelné, lze uvést doslovnou hodnotu (název, označení nebo krátký text)."
"rightsHolder:label","Label for Rights Holder http://rs.tdwg.org/dwc/terms/rightsHolder","Držitel práv"
"rightsHolder:definition","Definition for Rights Holder http://rs.tdwg.org/dwc/terms/rightsHolder","Osoba nebo organizace, která vlastní nebo spravuje práva k danému zdroji."
"rightsHolder:usage","Usage for Rights Holder http://rs.tdwg.org/dwc/terms/rightsHolder","Osoba nebo organizace, která vlastní nebo spravuje práva k záznamu popisu sbírky."
"rightsHolder:notes","Notes for Rights Holder http://rs.tdwg.org/dwc/terms/rightsHolder","Doporučeným postupem je odkazovat na držitele práv pomocí IRI. Pokud to není možné nebo proveditelné, lze uvést slovní hodnotu, která identifikuje držitele práv."
